rank,logo,name
1,https://i.img16888.com/dealer/flogo/125977.gif,上汽通用五菱
2,https://i.img16888.com/dealer/flogo/57412.gif,上汽大众
3,https://i.img16888.com/dealer/flogo/57605.gif,吉利汽车
4,https://i.img16888.com/dealer/flogo/57329.gif,比亚迪
5,https://i.img16888.com/dealer/flogo/57865.gif,东风日产
6,https://i.img16888.com/dealer/flogo/57420.gif,一汽-大众
7,https://i.img16888.com/dealer/flogo/57306.gif,东风本田
8,https://i.img16888.com/dealer/flogo/57505.gif,一汽丰田
9,https://i.img16888.com/dealer/flogo/57355.gif,上汽通用别克
10,https://i.img16888.com/dealer/flogo/57501.gif,广汽丰田
11,https://i.img16888.com/dealer/flogo/57310.gif,广汽本田
12,https://i.img16888.com/dealer/flogo/57379.gif,长安汽车
13,https://i.img16888.com/dealer/flogo/126027.gif,长城汽车
14,https://i.img16888.com/dealer/flogo/57824.gif,奇瑞汽车
15,https://i.img16888.com/dealer/flogo/57766.gif,上汽名爵
16,https://i.img16888.com/dealer/flogo/126362.gif,特斯拉中国
17,https://i.img16888.com/dealer/flogo/57230.gif,一汽-大众奥迪
18,https://i.img16888.com/dealer/flogo/57280.gif,北京奔驰
19,https://i.img16888.com/dealer/flogo/57249.gif,华晨宝马
20,https://i.img16888.com/dealer/flogo/57892.gif,上汽集团
21,https://i.img16888.com/dealer/flogo/57564.gif,广汽乘用车
22,https://i.img16888.com/dealer/flogo/58027.gif,上汽通用雪佛兰
23,https://i.img16888.com/dealer/flogo/58002.gif,北京现代
24,https://i.img16888.com/dealer/flogo/57585.gif,一汽红旗
25,https://i.img16888.com/dealer/flogo/57535.gif,长安福特
26,https://i.img16888.com/dealer/flogo/127598.gif,领克
27,https://i.img16888.com/dealer/flogo/57652.gif,通用凯迪拉克
28,https://i.img16888.com/dealer/flogo/126503.gif,沃尔沃亚太
29,https://i.img16888.com/dealer/flogo/127955.gif,奇瑞汽车
30,https://i.img16888.com/dealer/flogo/126293.gif,长安汽车
31,https://i.img16888.com/dealer/flogo/57773.gif,长安马自达
32,https://i.img16888.com/dealer/flogo/128307.gif,长城新能源
33,https://i.img16888.com/dealer/flogo/127960.gif,小鹏汽车
34,https://i.img16888.com/dealer/flogo/128066.gif,广汽埃安
35,https://i.img16888.com/dealer/flogo/128466.gif,一汽-大众捷达
36,https://i.img16888.com/dealer/flogo/57839.gif,东风悦达起亚
37,https://i.img16888.com/dealer/flogo/57475.gif,东风乘用车
38,https://i.img16888.com/dealer/flogo/129011.gif,江汽集团
39,https://i.img16888.com/dealer/flogo/128435.gif,理想
40,https://i.img16888.com/dealer/flogo/127365.gif,东风小康
41,https://i.img16888.com/dealer/flogo/126074.gif,东风启辰
42,https://i.img16888.com/dealer/flogo/127625.gif,蔚来
43,https://i.img16888.com/dealer/flogo/57468.gif,东风风行
44,https://i.img16888.com/dealer/flogo/129279.gif,长城汽车
45,https://i.img16888.com/dealer/flogo/128140.gif,合众汽车
46,https://i.img16888.com/dealer/flogo/58045.gif,东风雪铁龙
47,https://i.img16888.com/dealer/flogo/128045.gif,奇瑞新能源
48,https://i.img16888.com/dealer/flogo/126912.gif,华晨鑫源
49,https://i.img16888.com/dealer/flogo/57955.gif,上汽斯柯达
50,https://i.img16888.com/dealer/flogo/126149.gif,广汽三菱
51,https://i.img16888.com/dealer/flogo/57302.gif,一汽奔腾
52,https://i.img16888.com/dealer/flogo/128762.gif,长安林肯
53,https://i.img16888.com/dealer/flogo/126164.gif,上汽大通
54,https://i.img16888.com/dealer/flogo/126170.gif,BEIJING汽车
55,https://i.img16888.com/dealer/flogo/127629.gif,长城汽车
56,https://i.img16888.com/dealer/flogo/128162.gif,零跑汽车
57,https://i.img16888.com/dealer/flogo/126067.gif,江铃福特
58,https://i.img16888.com/dealer/flogo/128028.gif,威马汽车
59,https://i.img16888.com/dealer/flogo/57339.gif,东风标致
60,https://i.img16888.com/dealer/flogo/128464.gif,几何汽车
61,https://i.img16888.com/dealer/flogo/126699.gif,奇瑞捷豹路虎
62,https://i.img16888.com/dealer/flogo/126838.gif,雷丁
63,https://i.img16888.com/dealer/flogo/99926.gif,福建奔驰
64,https://i.img16888.com/dealer/flogo/125810.gif,上汽通用五菱
65,https://i.img16888.com/dealer/flogo/57273.gif,北京越野
66,https://i.img16888.com/dealer/flogo/127718.gif,SWM斯威汽车
67,https://i.img16888.com/dealer/flogo/128742.gif,上汽通用五菱
68,https://i.img16888.com/dealer/flogo/57266.gif,保时捷
69,https://i.img16888.com/dealer/flogo/128894.gif,吉麦新能源
70,https://i.img16888.com/dealer/flogo/57621.gif,江淮汽车
71,https://i.img16888.com/dealer/flogo/129129.gif,极氪
72,https://i.img16888.com/dealer/flogo/127154.gif,广汽菲克Jeep
73,https://i.img16888.com/dealer/flogo/127562.gif,奇瑞捷豹路虎
