,name,sales,type,portion,type_rank,sales_link,para_link
0,朗逸,46880,紧凑型车,36.86%,1,https://xl.16888.com/s/57415/,https://www.16888.com/57415/options/
1,帕萨特,14264,中型车,11.21%,5,https://xl.16888.com/s/125276/,https://www.16888.com/125276/options/
2,途观L,13465,SUV,10.59%,22,https://xl.16888.com/s/127642/,https://www.16888.com/127642/options/
3,桑塔纳,11593,紧凑型车,9.11%,15,https://xl.16888.com/s/126297/,https://www.16888.com/126297/options/
4,途岳,11142,SUV,8.76%,25,https://xl.16888.com/s/128185/,https://www.16888.com/128185/options/
5,凌渡,5882,紧凑型车,4.62%,25,https://xl.16888.com/s/126587/,https://www.16888.com/126587/options/
6,ID.4 X,3914,SUV,3.08%,83,https://xl.16888.com/s/129086/,https://www.16888.com/129086/options/
7,途昂,3663,SUV,2.88%,86,https://xl.16888.com/s/127596/,https://www.16888.com/127596/options/
8,途铠,2976,SUV,2.34%,96,https://xl.16888.com/s/128433/,https://www.16888.com/128433/options/
9,大众ID.3,2755,紧凑型车,2.17%,40,https://xl.16888.com/s/129301/,https://www.16888.com/129301/options/
10,帕萨特新能源,2157,中型车,1.7%,25,https://xl.16888.com/s/128252/,https://www.16888.com/128252/options/
11,Polo,2047,小型车,1.61%,9,https://xl.16888.com/s/57413/,https://www.16888.com/57413/options/
12,途观L新能源,1676,SUV,1.32%,127,https://xl.16888.com/s/128249/,https://www.16888.com/128249/options/
13,ID.6 X,1451,SUV,1.14%,139,https://xl.16888.com/s/129136/,https://www.16888.com/129136/options/
14,威然,1384,SUV,1.09%,143,https://xl.16888.com/s/128726/,https://www.16888.com/128726/options/
15,途观X,590,SUV,0.46%,185,https://xl.16888.com/s/128990/,https://www.16888.com/128990/options/
16,途昂X,560,SUV,0.44%,190,https://xl.16888.com/s/128470/,https://www.16888.com/128470/options/
17,途安,530,MPV,0.42%,36,https://xl.16888.com/s/57418/,https://www.16888.com/57418/options/
18,辉昂,239,中大型车,0.19%,16,https://xl.16888.com/s/127376/,https://www.16888.com/127376/options/
19,朗逸纯电,33,紧凑型车,0.03%,82,https://xl.16888.com/s/128595/,https://www.16888.com/128595/options/
20,朗行,--,紧凑型车,--,--,https://xl.16888.com/s/126398/,https://www.16888.com/126398/options/
21,桑塔纳·浩纳,--,紧凑型车,--,--,https://xl.16888.com/s/126971/,https://www.16888.com/126971/options/
22,途岳新能源,--,SUV,--,--,https://xl.16888.com/s/129038/,https://www.16888.com/129038/options/
23,途观,--,SUV,--,--,https://xl.16888.com/s/57414/,https://www.16888.com/57414/options/
