月份,月销量,月销量排名,月销量排名链接,占厂商份额,在厂商排名,厂商所有车型当月销量链接,在紧凑车排名,所有紧凑车当月销量链接
2021-11,3914,163,https://xl.16888.com/style-202111-202111-1.html,3.08%,7,https://xl.16888.com/f/57412/history-202111-202111-1.html,83,https://xl.16888.com/level-7-202111-202111-1.html
2021-10,4195,138,https://xl.16888.com/style-202110-202110-1.html,3.73%,7,https://xl.16888.com/f/57412/history-202110-202110-1.html,68,https://xl.16888.com/level-7-202110-202110-1.html
2021-09,3189,152,https://xl.16888.com/style-202109-202109-1.html,2.73%,6,https://xl.16888.com/f/57412/history-202109-202109-1.html,73,https://xl.16888.com/level-7-202109-202109-1.html
2021-08,1686,201,https://xl.16888.com/style-202108-202108-1.html,1.43%,10,https://xl.16888.com/f/57412/history-202108-202108-1.html,95,https://xl.16888.com/level-7-202108-202108-1.html
2021-07,2651,163,https://xl.16888.com/style-202107-202107-1.html,3.87%,8,https://xl.16888.com/f/57412/history-202107-202107-1.html,77,https://xl.16888.com/level-7-202107-202107-1.html
2021-06,1100,251,https://xl.16888.com/style-202106-202106-1.html,1.73%,9,https://xl.16888.com/f/57412/history-202106-202106-1.html,130,https://xl.16888.com/level-7-202106-202106-1.html
2021-05,847,273,https://xl.16888.com/style-202105-202105-1.html,0.79%,12,https://xl.16888.com/f/57412/history-202105-202105-1.html,142,https://xl.16888.com/level-7-202105-202105-1.html
2021-04,922,279,https://xl.16888.com/style-202104-202104-1.html,0.91%,12,https://xl.16888.com/f/57412/history-202104-202104-1.html,149,https://xl.16888.com/level-7-202104-202104-1.html
2021-03,625,306,https://xl.16888.com/style-202103-202103-1.html,0.58%,16,https://xl.16888.com/f/57412/history-202103-202103-1.html,108,https://xl.16888.com/level-7-202103-202103-1.html
2021-02,--,--,https://xl.16888.com/style-202102-202102-1.html,--,--,https://xl.16888.com/f/57412/history-202102-202102-1.html,--,https://xl.16888.com/level-7-202102-202102-1.html
