月份,月销量,月销量排名,月销量排名链接,占厂商份额,在厂商排名,厂商所有车型当月销量链接,在紧凑车排名,所有紧凑车当月销量链接
2021-11,2047,232,https://xl.16888.com/style-202111-202111-1.html,1.61%,12,https://xl.16888.com/f/57412/history-202111-202111-1.html,9,https://xl.16888.com/level-2-202111-202111-1.html
2021-10,2087,214,https://xl.16888.com/style-202110-202110-1.html,1.86%,9,https://xl.16888.com/f/57412/history-202110-202110-1.html,9,https://xl.16888.com/level-2-202110-202110-1.html
2021-09,1486,233,https://xl.16888.com/style-202109-202109-1.html,1.27%,10,https://xl.16888.com/f/57412/history-202109-202109-1.html,10,https://xl.16888.com/level-2-202109-202109-1.html
2021-08,3255,133,https://xl.16888.com/style-202108-202108-1.html,2.77%,8,https://xl.16888.com/f/57412/history-202108-202108-1.html,6,https://xl.16888.com/level-2-202108-202108-1.html
2021-07,5992,77,https://xl.16888.com/style-202107-202107-1.html,8.75%,3,https://xl.16888.com/f/57412/history-202107-202107-1.html,2,https://xl.16888.com/level-2-202107-202107-1.html
2021-06,7546,53,https://xl.16888.com/style-202106-202106-1.html,11.85%,3,https://xl.16888.com/f/57412/history-202106-202106-1.html,2,https://xl.16888.com/level-2-202106-202106-1.html
2021-05,5800,87,https://xl.16888.com/style-202105-202105-1.html,5.40%,7,https://xl.16888.com/f/57412/history-202105-202105-1.html,3,https://xl.16888.com/level-2-202105-202105-1.html
2021-04,4313,120,https://xl.16888.com/style-202104-202104-1.html,4.26%,7,https://xl.16888.com/f/57412/history-202104-202104-1.html,2,https://xl.16888.com/level-2-202104-202104-1.html
2021-03,704,295,https://xl.16888.com/style-202103-202103-1.html,0.65%,15,https://xl.16888.com/f/57412/history-202103-202103-1.html,14,https://xl.16888.com/level-2-202103-202103-1.html
2021-02,34,411,https://xl.16888.com/style-202102-202102-1.html,0.07%,13,https://xl.16888.com/f/57412/history-202102-202102-1.html,18,https://xl.16888.com/level-2-202102-202102-1.html
2021-01,3062,150,https://xl.16888.com/style-202101-202101-1.html,3.58%,4,https://xl.16888.com/f/57412/history-202101-202101-1.html,7,https://xl.16888.com/level-2-202101-202101-1.html
2020-12,4859,130,https://xl.16888.com/style-202012-202012-1.html,3.33%,7,https://xl.16888.com/f/57412/history-202012-202012-1.html,5,https://xl.16888.com/level-2-202012-202012-1.html
2020-11,5239,117,https://xl.16888.com/style-202011-202011-1.html,3.59%,7,https://xl.16888.com/f/57412/history-202011-202011-1.html,3,https://xl.16888.com/level-2-202011-202011-1.html
2020-10,5150,109,https://xl.16888.com/style-202010-202010-1.html,3.75%,7,https://xl.16888.com/f/57412/history-202010-202010-1.html,4,https://xl.16888.com/level-2-202010-202010-1.html
