月份,月销量,月销量排名,月销量排名链接,占厂商份额,在厂商排名,厂商所有车型当月销量链接,在紧凑车排名,所有紧凑车当月销量链接
2021-11,5882,112,https://xl.16888.com/style-202111-202111-1.html,4.62%,6,https://xl.16888.com/f/57412/history-202111-202111-1.html,25,https://xl.16888.com/level-3-202111-202111-1.html
2021-10,8129,75,https://xl.16888.com/style-202110-202110-1.html,7.23%,6,https://xl.16888.com/f/57412/history-202110-202110-1.html,19,https://xl.16888.com/level-3-202110-202110-1.html
2021-09,2495,175,https://xl.16888.com/style-202109-202109-1.html,2.14%,8,https://xl.16888.com/f/57412/history-202109-202109-1.html,35,https://xl.16888.com/level-3-202109-202109-1.html
2021-08,7285,65,https://xl.16888.com/style-202108-202108-1.html,6.19%,6,https://xl.16888.com/f/57412/history-202108-202108-1.html,18,https://xl.16888.com/level-3-202108-202108-1.html
2021-07,851,266,https://xl.16888.com/style-202107-202107-1.html,1.24%,11,https://xl.16888.com/f/57412/history-202107-202107-1.html,54,https://xl.16888.com/level-3-202107-202107-1.html
2021-06,1416,237,https://xl.16888.com/style-202106-202106-1.html,2.22%,8,https://xl.16888.com/f/57412/history-202106-202106-1.html,45,https://xl.16888.com/level-3-202106-202106-1.html
2021-05,6338,80,https://xl.16888.com/style-202105-202105-1.html,5.90%,6,https://xl.16888.com/f/57412/history-202105-202105-1.html,18,https://xl.16888.com/level-3-202105-202105-1.html
2021-04,4932,106,https://xl.16888.com/style-202104-202104-1.html,4.87%,6,https://xl.16888.com/f/57412/history-202104-202104-1.html,24,https://xl.16888.com/level-3-202104-202104-1.html
2021-03,5805,86,https://xl.16888.com/style-202103-202103-1.html,5.40%,6,https://xl.16888.com/f/57412/history-202103-202103-1.html,19,https://xl.16888.com/level-3-202103-202103-1.html
2021-02,3885,82,https://xl.16888.com/style-202102-202102-1.html,8.09%,5,https://xl.16888.com/f/57412/history-202102-202102-1.html,19,https://xl.16888.com/level-3-202102-202102-1.html
2021-01,221,379,https://xl.16888.com/style-202101-202101-1.html,0.26%,14,https://xl.16888.com/f/57412/history-202101-202101-1.html,67,https://xl.16888.com/level-3-202101-202101-1.html
2020-12,4853,131,https://xl.16888.com/style-202012-202012-1.html,3.32%,8,https://xl.16888.com/f/57412/history-202012-202012-1.html,32,https://xl.16888.com/level-3-202012-202012-1.html
2020-11,6694,94,https://xl.16888.com/style-202011-202011-1.html,4.59%,6,https://xl.16888.com/f/57412/history-202011-202011-1.html,22,https://xl.16888.com/level-3-202011-202011-1.html
2020-10,5322,107,https://xl.16888.com/style-202010-202010-1.html,3.88%,6,https://xl.16888.com/f/57412/history-202010-202010-1.html,26,https://xl.16888.com/level-3-202010-202010-1.html
2020-09,9163,63,https://xl.16888.com/style-202009-202009-1.html,5.84%,6,https://xl.16888.com/f/57412/history-202009-202009-1.html,15,https://xl.16888.com/level-3-202009-202009-1.html
2020-08,5304,95,https://xl.16888.com/style-202008-202008-1.html,4.11%,7,https://xl.16888.com/f/57412/history-202008-202008-1.html,26,https://xl.16888.com/level-3-202008-202008-1.html
2020-07,6249,78,https://xl.16888.com/style-202007-202007-1.html,5.12%,6,https://xl.16888.com/f/57412/history-202007-202007-1.html,18,https://xl.16888.com/level-3-202007-202007-1.html
2020-06,5658,91,https://xl.16888.com/style-202006-202006-1.html,4.43%,7,https://xl.16888.com/f/57412/history-202006-202006-1.html,23,https://xl.16888.com/level-3-202006-202006-1.html
2020-05,7022,71,https://xl.16888.com/style-202005-202005-1.html,5.90%,5,https://xl.16888.com/f/57412/history-202005-202005-1.html,18,https://xl.16888.com/level-3-202005-202005-1.html
2020-04,9581,48,https://xl.16888.com/style-202004-202004-1.html,8.41%,5,https://xl.16888.com/f/57412/history-202004-202004-1.html,13,https://xl.16888.com/level-3-202004-202004-1.html
2020-03,1838,146,https://xl.16888.com/style-202003-202003-1.html,3.24%,7,https://xl.16888.com/f/57412/history-202003-202003-1.html,36,https://xl.16888.com/level-3-202003-202003-1.html
2020-02,477,122,https://xl.16888.com/style-202002-202002-1.html,5.68%,6,https://xl.16888.com/f/57412/history-202002-202002-1.html,31,https://xl.16888.com/level-3-202002-202002-1.html
2020-01,3859,120,https://xl.16888.com/style-202001-202001-1.html,3.67%,6,https://xl.16888.com/f/57412/history-202001-202001-1.html,34,https://xl.16888.com/level-3-202001-202001-1.html
2019-12,5931,116,https://xl.16888.com/style-201912-201912-1.html,2.88%,8,https://xl.16888.com/f/57412/history-201912-201912-1.html,33,https://xl.16888.com/level-3-201912-201912-1.html
2019-11,9991,66,https://xl.16888.com/style-201911-201911-1.html,5.65%,6,https://xl.16888.com/f/57412/history-201911-201911-1.html,18,https://xl.16888.com/level-3-201911-201911-1.html
2019-10,7377,81,https://xl.16888.com/style-201910-201910-1.html,5.21%,6,https://xl.16888.com/f/57412/history-201910-201910-1.html,24,https://xl.16888.com/level-3-201910-201910-1.html
2019-09,8669,67,https://xl.16888.com/style-201909-201909-1.html,5.70%,6,https://xl.16888.com/f/57412/history-201909-201909-1.html,23,https://xl.16888.com/level-3-201909-201909-1.html
2019-08,8525,58,https://xl.16888.com/style-201908-201908-1.html,6.69%,6,https://xl.16888.com/f/57412/history-201908-201908-1.html,16,https://xl.16888.com/level-3-201908-201908-1.html
2019-07,5305,85,https://xl.16888.com/style-201907-201907-1.html,4.29%,7,https://xl.16888.com/f/57412/history-201907-201907-1.html,26,https://xl.16888.com/level-3-201907-201907-1.html
2019-06,8165,62,https://xl.16888.com/style-201906-201906-1.html,6.14%,7,https://xl.16888.com/f/57412/history-201906-201906-1.html,19,https://xl.16888.com/level-3-201906-201906-1.html
2019-05,9167,45,https://xl.16888.com/style-201905-201905-1.html,6.95%,6,https://xl.16888.com/f/57412/history-201905-201905-1.html,15,https://xl.16888.com/level-3-201905-201905-1.html
2019-04,8025,54,https://xl.16888.com/style-201904-201904-1.html,6.51%,6,https://xl.16888.com/f/57412/history-201904-201904-1.html,19,https://xl.16888.com/level-3-201904-201904-1.html
2019-03,11800,47,https://xl.16888.com/style-201903-201903-1.html,8.06%,5,https://xl.16888.com/f/57412/history-201903-201903-1.html,18,https://xl.16888.com/level-3-201903-201903-1.html
2019-02,6584,53,https://xl.16888.com/style-201902-201902-1.html,6.77%,6,https://xl.16888.com/f/57412/history-201902-201902-1.html,18,https://xl.16888.com/level-3-201902-201902-1.html
2019-01,11966,54,https://xl.16888.com/style-201901-201901-1.html,7.17%,6,https://xl.16888.com/f/57412/history-201901-201901-1.html,20,https://xl.16888.com/level-3-201901-201901-1.html
2018-12,6309,119,https://xl.16888.com/style-201812-201812-1.html,4.52%,8,https://xl.16888.com/f/57412/history-201812-201812-1.html,35,https://xl.16888.com/level-3-201812-201812-1.html
2018-11,12953,43,https://xl.16888.com/style-201811-201811-1.html,7.93%,5,https://xl.16888.com/f/57412/history-201811-201811-1.html,17,https://xl.16888.com/level-3-201811-201811-1.html
2018-10,9020,66,https://xl.16888.com/style-201810-201810-1.html,6.06%,5,https://xl.16888.com/f/57412/history-201810-201810-1.html,23,https://xl.16888.com/level-3-201810-201810-1.html
2018-09,9616,64,https://xl.16888.com/style-201809-201809-1.html,6.21%,6,https://xl.16888.com/f/57412/history-201809-201809-1.html,20,https://xl.16888.com/level-3-201809-201809-1.html
2018-08,10876,52,https://xl.16888.com/style-201808-201808-1.html,8.55%,6,https://xl.16888.com/f/57412/history-201808-201808-1.html,19,https://xl.16888.com/level-3-201808-201808-1.html
2018-07,10134,46,https://xl.16888.com/style-201807-201807-1.html,8.00%,5,https://xl.16888.com/f/57412/history-201807-201807-1.html,17,https://xl.16888.com/level-3-201807-201807-1.html
2018-06,15064,25,https://xl.16888.com/style-201806-201806-1.html,10.28%,4,https://xl.16888.com/f/57412/history-201806-201806-1.html,13,https://xl.16888.com/level-3-201806-201806-1.html
2018-05,9661,60,https://xl.16888.com/style-201805-201805-1.html,6.91%,6,https://xl.16888.com/f/57412/history-201805-201805-1.html,23,https://xl.16888.com/level-3-201805-201805-1.html
2018-04,11100,53,https://xl.16888.com/style-201804-201804-1.html,8.46%,6,https://xl.16888.com/f/57412/history-201804-201804-1.html,21,https://xl.16888.com/level-3-201804-201804-1.html
2018-03,15536,30,https://xl.16888.com/style-201803-201803-1.html,10.15%,5,https://xl.16888.com/f/57412/history-201803-201803-1.html,13,https://xl.16888.com/level-3-201803-201803-1.html
2018-02,9646,43,https://xl.16888.com/style-201802-201802-1.html,9.40%,5,https://xl.16888.com/f/57412/history-201802-201802-1.html,17,https://xl.16888.com/level-3-201802-201802-1.html
2018-01,14831,50,https://xl.16888.com/style-201801-201801-1.html,8.29%,6,https://xl.16888.com/f/57412/history-201801-201801-1.html,19,https://xl.16888.com/level-3-201801-201801-1.html
2017-12,16539,35,https://xl.16888.com/style-201712-201712-1.html,10.58%,4,https://xl.16888.com/f/57412/history-201712-201712-1.html,16,https://xl.16888.com/level-3-201712-201712-1.html
2017-11,13277,55,https://xl.16888.com/style-201711-201711-1.html,7.88%,6,https://xl.16888.com/f/57412/history-201711-201711-1.html,23,https://xl.16888.com/level-3-201711-201711-1.html
2017-10,13991,48,https://xl.16888.com/style-201710-201710-1.html,8.59%,5,https://xl.16888.com/f/57412/history-201710-201710-1.html,22,https://xl.16888.com/level-3-201710-201710-1.html
2017-09,17803,27,https://xl.16888.com/style-201709-201709-1.html,9.54%,4,https://xl.16888.com/f/57412/history-201709-201709-1.html,14,https://xl.16888.com/level-3-201709-201709-1.html
2017-08,8117,74,https://xl.16888.com/style-201708-201708-1.html,6.37%,7,https://xl.16888.com/f/57412/history-201708-201708-1.html,27,https://xl.16888.com/level-3-201708-201708-1.html
2017-07,4619,112,https://xl.16888.com/style-201707-201707-1.html,4.19%,8,https://xl.16888.com/f/57412/history-201707-201707-1.html,33,https://xl.16888.com/level-3-201707-201707-1.html
2017-06,19009,14,https://xl.16888.com/style-201706-201706-1.html,12.97%,2,https://xl.16888.com/f/57412/history-201706-201706-1.html,8,https://xl.16888.com/level-3-201706-201706-1.html
2017-05,5359,107,https://xl.16888.com/style-201705-201705-1.html,4.20%,8,https://xl.16888.com/f/57412/history-201705-201705-1.html,33,https://xl.16888.com/level-3-201705-201705-1.html
2017-04,8785,67,https://xl.16888.com/style-201704-201704-1.html,7.54%,6,https://xl.16888.com/f/57412/history-201704-201704-1.html,23,https://xl.16888.com/level-3-201704-201704-1.html
2017-03,11410,52,https://xl.16888.com/style-201703-201703-1.html,7.64%,6,https://xl.16888.com/f/57412/history-201703-201703-1.html,19,https://xl.16888.com/level-3-201703-201703-1.html
2017-02,8351,55,https://xl.16888.com/style-201702-201702-1.html,7.06%,6,https://xl.16888.com/f/57412/history-201702-201702-1.html,20,https://xl.16888.com/level-3-201702-201702-1.html
2017-01,15474,33,https://xl.16888.com/style-201701-201701-1.html,8.65%,6,https://xl.16888.com/f/57412/history-201701-201701-1.html,15,https://xl.16888.com/level-3-201701-201701-1.html
2016-12,15056,46,https://xl.16888.com/style-201612-201612-1.html,9.10%,5,https://xl.16888.com/f/57412/history-201612-201612-1.html,19,https://xl.16888.com/level-3-201612-201612-1.html
2016-11,16511,38,https://xl.16888.com/style-201611-201611-1.html,10.40%,5,https://xl.16888.com/f/57412/history-201611-201611-1.html,18,https://xl.16888.com/level-3-201611-201611-1.html
2016-10,10805,67,https://xl.16888.com/style-201610-201610-1.html,7.02%,6,https://xl.16888.com/f/57412/history-201610-201610-1.html,26,https://xl.16888.com/level-3-201610-201610-1.html
2016-09,12034,54,https://xl.16888.com/style-201609-201609-1.html,8.25%,6,https://xl.16888.com/f/57412/history-201609-201609-1.html,23,https://xl.16888.com/level-3-201609-201609-1.html
2016-08,9049,60,https://xl.16888.com/style-201608-201608-1.html,7.54%,6,https://xl.16888.com/f/57412/history-201608-201608-1.html,23,https://xl.16888.com/level-3-201608-201608-1.html
2016-07,8348,59,https://xl.16888.com/style-201607-201607-1.html,7.64%,5,https://xl.16888.com/f/57412/history-201607-201607-1.html,24,https://xl.16888.com/level-3-201607-201607-1.html
2016-06,9351,60,https://xl.16888.com/style-201606-201606-1.html,7.71%,6,https://xl.16888.com/f/57412/history-201606-201606-1.html,24,https://xl.16888.com/level-3-201606-201606-1.html
2016-05,9900,63,https://xl.16888.com/style-201605-201605-1.html,8.06%,6,https://xl.16888.com/f/57412/history-201605-201605-1.html,24,https://xl.16888.com/level-3-201605-201605-1.html
2016-04,10237,58,https://xl.16888.com/style-201604-201604-1.html,8.47%,6,https://xl.16888.com/f/57412/history-201604-201604-1.html,22,https://xl.16888.com/level-3-201604-201604-1.html
2016-03,16452,31,https://xl.16888.com/style-201603-201603-1.html,10.60%,4,https://xl.16888.com/f/57412/history-201603-201603-1.html,16,https://xl.16888.com/level-3-201603-201603-1.html
2016-02,10107,36,https://xl.16888.com/style-201602-201602-1.html,8.49%,6,https://xl.16888.com/f/57412/history-201602-201602-1.html,15,https://xl.16888.com/level-3-201602-201602-1.html
2016-01,15295,36,https://xl.16888.com/style-201601-201601-1.html,8.62%,6,https://xl.16888.com/f/57412/history-201601-201601-1.html,18,https://xl.16888.com/level-3-201601-201601-1.html
2015-12,11243,68,https://xl.16888.com/style-201512-201512-1.html,8.61%,6,https://xl.16888.com/f/57412/history-201512-201512-1.html,26,https://xl.16888.com/level-3-201512-201512-1.html
2015-11,15710,43,https://xl.16888.com/style-201511-201511-1.html,10.55%,5,https://xl.16888.com/f/57412/history-201511-201511-1.html,18,https://xl.16888.com/level-3-201511-201511-1.html
2015-10,10041,66,https://xl.16888.com/style-201510-201510-1.html,7.83%,6,https://xl.16888.com/f/57412/history-201510-201510-1.html,24,https://xl.16888.com/level-3-201510-201510-1.html
2015-09,9147,66,https://xl.16888.com/style-201509-201509-1.html,7.54%,6,https://xl.16888.com/f/57412/history-201509-201509-1.html,23,https://xl.16888.com/level-3-201509-201509-1.html
2015-08,7853,67,https://xl.16888.com/style-201508-201508-1.html,7.08%,6,https://xl.16888.com/f/57412/history-201508-201508-1.html,21,https://xl.16888.com/level-3-201508-201508-1.html
2015-07,6031,75,https://xl.16888.com/style-201507-201507-1.html,7.11%,5,https://xl.16888.com/f/57412/history-201507-201507-1.html,24,https://xl.16888.com/level-3-201507-201507-1.html
2015-06,7302,74,https://xl.16888.com/style-201506-201506-1.html,6.50%,6,https://xl.16888.com/f/57412/history-201506-201506-1.html,25,https://xl.16888.com/level-3-201506-201506-1.html
2015-05,8369,72,https://xl.16888.com/style-201505-201505-1.html,6.86%,7,https://xl.16888.com/f/57412/history-201505-201505-1.html,27,https://xl.16888.com/level-3-201505-201505-1.html
2015-04,6860,78,https://xl.16888.com/style-201504-201504-1.html,5.83%,6,https://xl.16888.com/f/57412/history-201504-201504-1.html,26,https://xl.16888.com/level-3-201504-201504-1.html
2015-03,5745,107,https://xl.16888.com/style-201503-201503-1.html,4.40%,6,https://xl.16888.com/f/57412/history-201503-201503-1.html,34,https://xl.16888.com/level-3-201503-201503-1.html
2015-02,10153,38,https://xl.16888.com/style-201502-201502-1.html,7.19%,6,https://xl.16888.com/f/57412/history-201502-201502-1.html,17,https://xl.16888.com/level-3-201502-201502-1.html
2015-01,5760,110,https://xl.16888.com/style-201501-201501-1.html,3.25%,7,https://xl.16888.com/f/57412/history-201501-201501-1.html,40,https://xl.16888.com/level-3-201501-201501-1.html
2014-12,1,353,https://xl.16888.com/style-201412-201412-1.html,0.00%,8,https://xl.16888.com/f/57412/history-201412-201412-1.html,105,https://xl.16888.com/level-3-201412-201412-1.html
2014-11,28,320,https://xl.16888.com/style-201411-201411-1.html,0.03%,8,https://xl.16888.com/f/57412/history-201411-201411-1.html,102,https://xl.16888.com/level-3-201411-201411-1.html
