月份,月销量,月销量排名,月销量排名链接,占厂商份额,在厂商排名,厂商所有车型当月销量链接,在紧凑车排名,所有紧凑车当月销量链接
2021-11,1384,279,https://xl.16888.com/style-202111-202111-1.html,1.09%,15,https://xl.16888.com/f/57412/history-202111-202111-1.html,143,https://xl.16888.com/level-7-202111-202111-1.html
2021-10,734,323,https://xl.16888.com/style-202110-202110-1.html,0.65%,15,https://xl.16888.com/f/57412/history-202110-202110-1.html,169,https://xl.16888.com/level-7-202110-202110-1.html
2021-09,1292,248,https://xl.16888.com/style-202109-202109-1.html,1.11%,12,https://xl.16888.com/f/57412/history-202109-202109-1.html,126,https://xl.16888.com/level-7-202109-202109-1.html
2021-08,1441,224,https://xl.16888.com/style-202108-202108-1.html,1.22%,11,https://xl.16888.com/f/57412/history-202108-202108-1.html,107,https://xl.16888.com/level-7-202108-202108-1.html
2021-07,283,345,https://xl.16888.com/style-202107-202107-1.html,0.41%,14,https://xl.16888.com/f/57412/history-202107-202107-1.html,175,https://xl.16888.com/level-7-202107-202107-1.html
2021-06,589,303,https://xl.16888.com/style-202106-202106-1.html,0.93%,11,https://xl.16888.com/f/57412/history-202106-202106-1.html,159,https://xl.16888.com/level-7-202106-202106-1.html
2021-05,808,280,https://xl.16888.com/style-202105-202105-1.html,0.75%,13,https://xl.16888.com/f/57412/history-202105-202105-1.html,148,https://xl.16888.com/level-7-202105-202105-1.html
2021-04,834,286,https://xl.16888.com/style-202104-202104-1.html,0.82%,13,https://xl.16888.com/f/57412/history-202104-202104-1.html,153,https://xl.16888.com/level-7-202104-202104-1.html
2021-03,1984,189,https://xl.16888.com/style-202103-202103-1.html,1.84%,9,https://xl.16888.com/f/57412/history-202103-202103-1.html,19,https://xl.16888.com/level-6-202103-202103-1.html
2021-02,3,464,https://xl.16888.com/style-202102-202102-1.html,0.01%,15,https://xl.16888.com/f/57412/history-202102-202102-1.html,47,https://xl.16888.com/level-6-202102-202102-1.html
2021-01,34,454,https://xl.16888.com/style-202101-202101-1.html,0.04%,16,https://xl.16888.com/f/57412/history-202101-202101-1.html,52,https://xl.16888.com/level-6-202101-202101-1.html
2020-12,2117,241,https://xl.16888.com/style-202012-202012-1.html,1.45%,14,https://xl.16888.com/f/57412/history-202012-202012-1.html,22,https://xl.16888.com/level-6-202012-202012-1.html
2020-11,946,304,https://xl.16888.com/style-202011-202011-1.html,0.65%,14,https://xl.16888.com/f/57412/history-202011-202011-1.html,31,https://xl.16888.com/level-6-202011-202011-1.html
2020-10,3195,169,https://xl.16888.com/style-202010-202010-1.html,2.33%,10,https://xl.16888.com/f/57412/history-202010-202010-1.html,17,https://xl.16888.com/level-6-202010-202010-1.html
2020-09,3815,132,https://xl.16888.com/style-202009-202009-1.html,2.43%,10,https://xl.16888.com/f/57412/history-202009-202009-1.html,11,https://xl.16888.com/level-6-202009-202009-1.html
2020-08,2769,154,https://xl.16888.com/style-202008-202008-1.html,2.15%,10,https://xl.16888.com/f/57412/history-202008-202008-1.html,18,https://xl.16888.com/level-6-202008-202008-1.html
2020-07,2744,151,https://xl.16888.com/style-202007-202007-1.html,2.25%,10,https://xl.16888.com/f/57412/history-202007-202007-1.html,15,https://xl.16888.com/level-6-202007-202007-1.html
2020-06,3289,144,https://xl.16888.com/style-202006-202006-1.html,2.57%,10,https://xl.16888.com/f/57412/history-202006-202006-1.html,10,https://xl.16888.com/level-6-202006-202006-1.html
2020-05,1714,215,https://xl.16888.com/style-202005-202005-1.html,1.44%,11,https://xl.16888.com/f/57412/history-202005-202005-1.html,--,https://xl.16888.com/level--202005-202005-1.html
2020-04,917,250,https://xl.16888.com/style-202004-202004-1.html,0.80%,14,https://xl.16888.com/f/57412/history-202004-202004-1.html,--,https://xl.16888.com/level--202004-202004-1.html
2020-03,--,--,https://xl.16888.com/style-202003-202003-1.html,--,--,https://xl.16888.com/f/0/history-202003-202003-1.html,--,https://xl.16888.com/level--202003-202003-1.html
