月份,月销量,月销量排名,月销量排名链接,占厂商份额,在厂商排名,厂商所有车型当月销量链接,在紧凑车排名,所有紧凑车当月销量链接
2021-11,14264,39,https://xl.16888.com/style-202111-202111-1.html,11.21%,2,https://xl.16888.com/f/57412/history-202111-202111-1.html,5,https://xl.16888.com/level-4-202111-202111-1.html
2021-10,11901,46,https://xl.16888.com/style-202110-202110-1.html,10.59%,4,https://xl.16888.com/f/57412/history-202110-202110-1.html,8,https://xl.16888.com/level-4-202110-202110-1.html
2021-09,13238,26,https://xl.16888.com/style-202109-202109-1.html,11.33%,4,https://xl.16888.com/f/57412/history-202109-202109-1.html,3,https://xl.16888.com/level-4-202109-202109-1.html
2021-08,13098,22,https://xl.16888.com/style-202108-202108-1.html,11.13%,4,https://xl.16888.com/f/57412/history-202108-202108-1.html,5,https://xl.16888.com/level-4-202108-202108-1.html
2021-07,5848,80,https://xl.16888.com/style-202107-202107-1.html,8.54%,4,https://xl.16888.com/f/57412/history-202107-202107-1.html,10,https://xl.16888.com/level-4-202107-202107-1.html
2021-06,2347,176,https://xl.16888.com/style-202106-202106-1.html,3.69%,6,https://xl.16888.com/f/57412/history-202106-202106-1.html,20,https://xl.16888.com/level-4-202106-202106-1.html
2021-05,10035,43,https://xl.16888.com/style-202105-202105-1.html,9.35%,4,https://xl.16888.com/f/57412/history-202105-202105-1.html,7,https://xl.16888.com/level-4-202105-202105-1.html
2021-04,10033,50,https://xl.16888.com/style-202104-202104-1.html,9.90%,5,https://xl.16888.com/f/57412/history-202104-202104-1.html,9,https://xl.16888.com/level-4-202104-202104-1.html
2021-03,6894,76,https://xl.16888.com/style-202103-202103-1.html,6.41%,5,https://xl.16888.com/f/57412/history-202103-202103-1.html,12,https://xl.16888.com/level-4-202103-202103-1.html
2021-02,10740,20,https://xl.16888.com/style-202102-202102-1.html,22.36%,2,https://xl.16888.com/f/57412/history-202102-202102-1.html,3,https://xl.16888.com/level-4-202102-202102-1.html
2021-01,1838,205,https://xl.16888.com/style-202101-202101-1.html,2.15%,7,https://xl.16888.com/f/57412/history-202101-202101-1.html,20,https://xl.16888.com/level-4-202101-202101-1.html
2020-12,14142,46,https://xl.16888.com/style-202012-202012-1.html,9.69%,4,https://xl.16888.com/f/57412/history-202012-202012-1.html,6,https://xl.16888.com/level-4-202012-202012-1.html
2020-11,10906,60,https://xl.16888.com/style-202011-202011-1.html,7.48%,5,https://xl.16888.com/f/57412/history-202011-202011-1.html,10,https://xl.16888.com/level-4-202011-202011-1.html
2020-10,12544,46,https://xl.16888.com/style-202010-202010-1.html,9.14%,5,https://xl.16888.com/f/57412/history-202010-202010-1.html,7,https://xl.16888.com/level-4-202010-202010-1.html
2020-09,16882,30,https://xl.16888.com/style-202009-202009-1.html,10.76%,5,https://xl.16888.com/f/57412/history-202009-202009-1.html,4,https://xl.16888.com/level-4-202009-202009-1.html
2020-08,10163,54,https://xl.16888.com/style-202008-202008-1.html,7.88%,5,https://xl.16888.com/f/57412/history-202008-202008-1.html,9,https://xl.16888.com/level-4-202008-202008-1.html
2020-07,12457,43,https://xl.16888.com/style-202007-202007-1.html,10.21%,5,https://xl.16888.com/f/57412/history-202007-202007-1.html,8,https://xl.16888.com/level-4-202007-202007-1.html
2020-06,10581,52,https://xl.16888.com/style-202006-202006-1.html,8.28%,5,https://xl.16888.com/f/57412/history-202006-202006-1.html,9,https://xl.16888.com/level-4-202006-202006-1.html
2020-05,5785,82,https://xl.16888.com/style-202005-202005-1.html,4.86%,7,https://xl.16888.com/f/57412/history-202005-202005-1.html,12,https://xl.16888.com/level-4-202005-202005-1.html
2020-04,15805,17,https://xl.16888.com/style-202004-202004-1.html,13.87%,2,https://xl.16888.com/f/57412/history-202004-202004-1.html,2,https://xl.16888.com/level-4-202004-202004-1.html
2020-03,5274,55,https://xl.16888.com/style-202003-202003-1.html,9.28%,3,https://xl.16888.com/f/57412/history-202003-202003-1.html,8,https://xl.16888.com/level-4-202003-202003-1.html
2020-02,742,91,https://xl.16888.com/style-202002-202002-1.html,8.83%,5,https://xl.16888.com/f/57412/history-202002-202002-1.html,8,https://xl.16888.com/level-4-202002-202002-1.html
2020-01,13601,25,https://xl.16888.com/style-202001-202001-1.html,12.93%,3,https://xl.16888.com/f/57412/history-202001-202001-1.html,3,https://xl.16888.com/level-4-202001-202001-1.html
2019-12,26014,11,https://xl.16888.com/style-201912-201912-1.html,12.65%,2,https://xl.16888.com/f/57412/history-201912-201912-1.html,1,https://xl.16888.com/level-4-201912-201912-1.html
