月份,月销量,月销量排名,月销量排名链接,占厂商份额,在厂商排名,厂商所有车型当月销量链接,在紧凑车排名,所有紧凑车当月销量链接
2021-11,2157,221,https://xl.16888.com/style-202111-202111-1.html,1.70%,11,https://xl.16888.com/f/57412/history-202111-202111-1.html,25,https://xl.16888.com/level-4-202111-202111-1.html
2021-10,152,417,https://xl.16888.com/style-202110-202110-1.html,0.14%,20,https://xl.16888.com/f/57412/history-202110-202110-1.html,41,https://xl.16888.com/level-4-202110-202110-1.html
2021-09,441,340,https://xl.16888.com/style-202109-202109-1.html,0.38%,18,https://xl.16888.com/f/57412/history-202109-202109-1.html,30,https://xl.16888.com/level-4-202109-202109-1.html
2021-08,1189,239,https://xl.16888.com/style-202108-202108-1.html,1.01%,13,https://xl.16888.com/f/57412/history-202108-202108-1.html,21,https://xl.16888.com/level-4-202108-202108-1.html
2021-07,265,348,https://xl.16888.com/style-202107-202107-1.html,0.39%,15,https://xl.16888.com/f/57412/history-202107-202107-1.html,29,https://xl.16888.com/level-4-202107-202107-1.html
2021-06,709,286,https://xl.16888.com/style-202106-202106-1.html,1.11%,10,https://xl.16888.com/f/57412/history-202106-202106-1.html,25,https://xl.16888.com/level-4-202106-202106-1.html
2021-05,1223,239,https://xl.16888.com/style-202105-202105-1.html,1.14%,11,https://xl.16888.com/f/57412/history-202105-202105-1.html,24,https://xl.16888.com/level-4-202105-202105-1.html
2021-04,1012,265,https://xl.16888.com/style-202104-202104-1.html,1.00%,10,https://xl.16888.com/f/57412/history-202104-202104-1.html,26,https://xl.16888.com/level-4-202104-202104-1.html
2021-03,1786,203,https://xl.16888.com/style-202103-202103-1.html,1.66%,11,https://xl.16888.com/f/57412/history-202103-202103-1.html,24,https://xl.16888.com/level-4-202103-202103-1.html
2021-02,639,244,https://xl.16888.com/style-202102-202102-1.html,1.33%,8,https://xl.16888.com/f/57412/history-202102-202102-1.html,24,https://xl.16888.com/level-4-202102-202102-1.html
2021-01,225,376,https://xl.16888.com/style-202101-202101-1.html,0.26%,13,https://xl.16888.com/f/57412/history-202101-202101-1.html,31,https://xl.16888.com/level-4-202101-202101-1.html
2020-12,1662,265,https://xl.16888.com/style-202012-202012-1.html,1.14%,16,https://xl.16888.com/f/57412/history-202012-202012-1.html,22,https://xl.16888.com/level-4-202012-202012-1.html
2020-11,2164,216,https://xl.16888.com/style-202011-202011-1.html,1.48%,11,https://xl.16888.com/f/57412/history-202011-202011-1.html,20,https://xl.16888.com/level-4-202011-202011-1.html
2020-10,1173,278,https://xl.16888.com/style-202010-202010-1.html,0.85%,14,https://xl.16888.com/f/57412/history-202010-202010-1.html,25,https://xl.16888.com/level-4-202010-202010-1.html
2020-09,3555,140,https://xl.16888.com/style-202009-202009-1.html,2.27%,11,https://xl.16888.com/f/57412/history-202009-202009-1.html,16,https://xl.16888.com/level-4-202009-202009-1.html
2020-08,992,266,https://xl.16888.com/style-202008-202008-1.html,0.77%,13,https://xl.16888.com/f/57412/history-202008-202008-1.html,24,https://xl.16888.com/level-4-202008-202008-1.html
2020-07,991,259,https://xl.16888.com/style-202007-202007-1.html,0.81%,12,https://xl.16888.com/f/57412/history-202007-202007-1.html,25,https://xl.16888.com/level-4-202007-202007-1.html
2020-06,1357,234,https://xl.16888.com/style-202006-202006-1.html,1.06%,14,https://xl.16888.com/f/57412/history-202006-202006-1.html,22,https://xl.16888.com/level-4-202006-202006-1.html
2020-05,1023,269,https://xl.16888.com/style-202005-202005-1.html,0.86%,12,https://xl.16888.com/f/57412/history-202005-202005-1.html,25,https://xl.16888.com/level-4-202005-202005-1.html
2020-04,1137,233,https://xl.16888.com/style-202004-202004-1.html,1.00%,11,https://xl.16888.com/f/57412/history-202004-202004-1.html,24,https://xl.16888.com/level-4-202004-202004-1.html
2020-03,519,276,https://xl.16888.com/style-202003-202003-1.html,0.91%,11,https://xl.16888.com/f/57412/history-202003-202003-1.html,24,https://xl.16888.com/level-4-202003-202003-1.html
2020-02,133,231,https://xl.16888.com/style-202002-202002-1.html,1.58%,10,https://xl.16888.com/f/57412/history-202002-202002-1.html,18,https://xl.16888.com/level-4-202002-202002-1.html
2020-01,2217,169,https://xl.16888.com/style-202001-202001-1.html,2.11%,9,https://xl.16888.com/f/57412/history-202001-202001-1.html,19,https://xl.16888.com/level-4-202001-202001-1.html
2019-12,3376,176,https://xl.16888.com/style-201912-201912-1.html,1.64%,10,https://xl.16888.com/f/57412/history-201912-201912-1.html,22,https://xl.16888.com/level-4-201912-201912-1.html
2019-11,409,349,https://xl.16888.com/style-201911-201911-1.html,0.23%,15,https://xl.16888.com/f/57412/history-201911-201911-1.html,30,https://xl.16888.com/level-4-201911-201911-1.html
2019-10,597,319,https://xl.16888.com/style-201910-201910-1.html,0.42%,14,https://xl.16888.com/f/57412/history-201910-201910-1.html,26,https://xl.16888.com/level-4-201910-201910-1.html
2019-09,949,285,https://xl.16888.com/style-201909-201909-1.html,0.62%,14,https://xl.16888.com/f/57412/history-201909-201909-1.html,28,https://xl.16888.com/level-4-201909-201909-1.html
2019-08,673,312,https://xl.16888.com/style-201908-201908-1.html,0.53%,14,https://xl.16888.com/f/57412/history-201908-201908-1.html,28,https://xl.16888.com/level-4-201908-201908-1.html
2019-07,994,265,https://xl.16888.com/style-201907-201907-1.html,0.80%,14,https://xl.16888.com/f/57412/history-201907-201907-1.html,23,https://xl.16888.com/level-4-201907-201907-1.html
2019-06,2086,214,https://xl.16888.com/style-201906-201906-1.html,1.57%,12,https://xl.16888.com/f/57412/history-201906-201906-1.html,19,https://xl.16888.com/level-4-201906-201906-1.html
2019-05,2629,173,https://xl.16888.com/style-201905-201905-1.html,1.99%,11,https://xl.16888.com/f/57412/history-201905-201905-1.html,18,https://xl.16888.com/level-4-201905-201905-1.html
2019-04,3767,136,https://xl.16888.com/style-201904-201904-1.html,3.06%,9,https://xl.16888.com/f/57412/history-201904-201904-1.html,14,https://xl.16888.com/level-4-201904-201904-1.html
2019-03,2731,200,https://xl.16888.com/style-201903-201903-1.html,1.86%,10,https://xl.16888.com/f/57412/history-201903-201903-1.html,18,https://xl.16888.com/level-4-201903-201903-1.html
2019-02,1475,201,https://xl.16888.com/style-201902-201902-1.html,1.52%,10,https://xl.16888.com/f/57412/history-201902-201902-1.html,17,https://xl.16888.com/level-4-201902-201902-1.html
2019-01,873,293,https://xl.16888.com/style-201901-201901-1.html,0.52%,13,https://xl.16888.com/f/57412/history-201901-201901-1.html,23,https://xl.16888.com/level-4-201901-201901-1.html
2018-12,859,337,https://xl.16888.com/style-201812-201812-1.html,0.61%,14,https://xl.16888.com/f/57412/history-201812-201812-1.html,28,https://xl.16888.com/level-4-201812-201812-1.html
2018-11,618,356,https://xl.16888.com/style-201811-201811-1.html,0.38%,15,https://xl.16888.com/f/57412/history-201811-201811-1.html,27,https://xl.16888.com/level-4-201811-201811-1.html
