月份,月销量,月销量排名,月销量排名链接,占厂商份额,在厂商排名,厂商所有车型当月销量链接,在紧凑车排名,所有紧凑车当月销量链接
2021-11,--,--,https://xl.16888.com/style-202111-202111-1.html,--,--,https://xl.16888.com/f/57412/history-202111-202111-1.html,--,https://xl.16888.com/level-3-202111-202111-1.html
2021-10,--,--,https://xl.16888.com/style-202110-202110-1.html,--,--,https://xl.16888.com/f/57412/history-202110-202110-1.html,--,https://xl.16888.com/level-3-202110-202110-1.html
2021-09,--,--,https://xl.16888.com/style-202109-202109-1.html,--,--,https://xl.16888.com/f/57412/history-202109-202109-1.html,--,https://xl.16888.com/level-3-202109-202109-1.html
2021-08,--,--,https://xl.16888.com/style-202108-202108-1.html,--,--,https://xl.16888.com/f/57412/history-202108-202108-1.html,--,https://xl.16888.com/level-3-202108-202108-1.html
2021-07,--,--,https://xl.16888.com/style-202107-202107-1.html,--,--,https://xl.16888.com/f/57412/history-202107-202107-1.html,--,https://xl.16888.com/level-3-202107-202107-1.html
2021-06,--,--,https://xl.16888.com/style-202106-202106-1.html,--,--,https://xl.16888.com/f/57412/history-202106-202106-1.html,--,https://xl.16888.com/level-3-202106-202106-1.html
2021-05,--,--,https://xl.16888.com/style-202105-202105-1.html,--,--,https://xl.16888.com/f/57412/history-202105-202105-1.html,--,https://xl.16888.com/level-3-202105-202105-1.html
2021-04,--,--,https://xl.16888.com/style-202104-202104-1.html,--,--,https://xl.16888.com/f/57412/history-202104-202104-1.html,--,https://xl.16888.com/level-3-202104-202104-1.html
2021-03,--,--,https://xl.16888.com/style-202103-202103-1.html,--,--,https://xl.16888.com/f/57412/history-202103-202103-1.html,--,https://xl.16888.com/level-3-202103-202103-1.html
2021-01,--,--,https://xl.16888.com/style-202101-202101-1.html,--,--,https://xl.16888.com/f/0/history-202101-202101-1.html,--,https://xl.16888.com/level-3-202101-202101-1.html
2020-12,--,--,https://xl.16888.com/style-202012-202012-1.html,--,--,https://xl.16888.com/f/57412/history-202012-202012-1.html,--,https://xl.16888.com/level-3-202012-202012-1.html
2020-11,--,--,https://xl.16888.com/style-202011-202011-1.html,--,--,https://xl.16888.com/f/57412/history-202011-202011-1.html,--,https://xl.16888.com/level-3-202011-202011-1.html
2020-10,--,--,https://xl.16888.com/style-202010-202010-1.html,--,--,https://xl.16888.com/f/57412/history-202010-202010-1.html,--,https://xl.16888.com/level-3-202010-202010-1.html
2020-09,--,--,https://xl.16888.com/style-202009-202009-1.html,--,--,https://xl.16888.com/f/57412/history-202009-202009-1.html,--,https://xl.16888.com/level-3-202009-202009-1.html
2020-08,--,--,https://xl.16888.com/style-202008-202008-1.html,--,--,https://xl.16888.com/f/57412/history-202008-202008-1.html,--,https://xl.16888.com/level-3-202008-202008-1.html
2020-07,--,--,https://xl.16888.com/style-202007-202007-1.html,--,--,https://xl.16888.com/f/57412/history-202007-202007-1.html,--,https://xl.16888.com/level-3-202007-202007-1.html
2020-06,1,500,https://xl.16888.com/style-202006-202006-1.html,0.00%,17,https://xl.16888.com/f/57412/history-202006-202006-1.html,95,https://xl.16888.com/level-3-202006-202006-1.html
2020-05,1,510,https://xl.16888.com/style-202005-202005-1.html,0.00%,17,https://xl.16888.com/f/57412/history-202005-202005-1.html,100,https://xl.16888.com/level-3-202005-202005-1.html
2020-04,2,492,https://xl.16888.com/style-202004-202004-1.html,0.00%,17,https://xl.16888.com/f/57412/history-202004-202004-1.html,93,https://xl.16888.com/level-3-202004-202004-1.html
2020-03,4,473,https://xl.16888.com/style-202003-202003-1.html,0.01%,16,https://xl.16888.com/f/57412/history-202003-202003-1.html,90,https://xl.16888.com/level-3-202003-202003-1.html
2020-02,--,--,https://xl.16888.com/style-202002-202002-1.html,--,--,https://xl.16888.com/f/57412/history-202002-202002-1.html,--,https://xl.16888.com/level-3-202002-202002-1.html
2020-01,--,--,https://xl.16888.com/style-202001-202001-1.html,--,--,https://xl.16888.com/f/57412/history-202001-202001-1.html,--,https://xl.16888.com/level-3-202001-202001-1.html
2019-12,2494,202,https://xl.16888.com/style-201912-201912-1.html,1.21%,11,https://xl.16888.com/f/57412/history-201912-201912-1.html,50,https://xl.16888.com/level-3-201912-201912-1.html
2019-11,1124,280,https://xl.16888.com/style-201911-201911-1.html,0.64%,12,https://xl.16888.com/f/57412/history-201911-201911-1.html,62,https://xl.16888.com/level-3-201911-201911-1.html
2019-10,286,361,https://xl.16888.com/style-201910-201910-1.html,0.20%,17,https://xl.16888.com/f/57412/history-201910-201910-1.html,78,https://xl.16888.com/level-3-201910-201910-1.html
2019-09,320,367,https://xl.16888.com/style-201909-201909-1.html,0.21%,17,https://xl.16888.com/f/57412/history-201909-201909-1.html,77,https://xl.16888.com/level-3-201909-201909-1.html
2019-08,253,369,https://xl.16888.com/style-201908-201908-1.html,0.20%,16,https://xl.16888.com/f/57412/history-201908-201908-1.html,79,https://xl.16888.com/level-3-201908-201908-1.html
2019-07,480,319,https://xl.16888.com/style-201907-201907-1.html,0.39%,16,https://xl.16888.com/f/57412/history-201907-201907-1.html,70,https://xl.16888.com/level-3-201907-201907-1.html
2019-06,513,340,https://xl.16888.com/style-201906-201906-1.html,0.39%,16,https://xl.16888.com/f/57412/history-201906-201906-1.html,74,https://xl.16888.com/level-3-201906-201906-1.html
2019-05,235,373,https://xl.16888.com/style-201905-201905-1.html,0.18%,16,https://xl.16888.com/f/57412/history-201905-201905-1.html,90,https://xl.16888.com/level-3-201905-201905-1.html
2019-04,410,337,https://xl.16888.com/style-201904-201904-1.html,0.33%,15,https://xl.16888.com/f/57412/history-201904-201904-1.html,77,https://xl.16888.com/level-3-201904-201904-1.html
2019-03,723,333,https://xl.16888.com/style-201903-201903-1.html,0.49%,14,https://xl.16888.com/f/57412/history-201903-201903-1.html,73,https://xl.16888.com/level-3-201903-201903-1.html
2019-02,479,316,https://xl.16888.com/style-201902-201902-1.html,0.49%,14,https://xl.16888.com/f/57412/history-201902-201902-1.html,67,https://xl.16888.com/level-3-201902-201902-1.html
2019-01,970,283,https://xl.16888.com/style-201901-201901-1.html,0.58%,12,https://xl.16888.com/f/57412/history-201901-201901-1.html,66,https://xl.16888.com/level-3-201901-201901-1.html
2018-12,164,449,https://xl.16888.com/style-201812-201812-1.html,0.12%,15,https://xl.16888.com/f/57412/history-201812-201812-1.html,95,https://xl.16888.com/level-3-201812-201812-1.html
2018-11,1751,253,https://xl.16888.com/style-201811-201811-1.html,1.07%,11,https://xl.16888.com/f/57412/history-201811-201811-1.html,61,https://xl.16888.com/level-3-201811-201811-1.html
