月份,月销量,月销量排名,月销量排名链接,占厂商份额,在厂商排名,厂商所有车型当月销量链接,在紧凑车排名,所有紧凑车当月销量链接
2021-11,46880,1,https://xl.16888.com/style-202111-202111-1.html,36.86%,1,https://xl.16888.com/f/57412/history-202111-202111-1.html,1,https://xl.16888.com/level-3-202111-202111-1.html
2021-10,34823,4,https://xl.16888.com/style-202110-202110-1.html,30.98%,1,https://xl.16888.com/f/57412/history-202110-202110-1.html,2,https://xl.16888.com/level-3-202110-202110-1.html
2021-09,31881,4,https://xl.16888.com/style-202109-202109-1.html,27.29%,1,https://xl.16888.com/f/57412/history-202109-202109-1.html,3,https://xl.16888.com/level-3-202109-202109-1.html
2021-08,38454,3,https://xl.16888.com/style-202108-202108-1.html,32.69%,1,https://xl.16888.com/f/57412/history-202108-202108-1.html,2,https://xl.16888.com/level-3-202108-202108-1.html
2021-07,22433,6,https://xl.16888.com/style-202107-202107-1.html,32.77%,1,https://xl.16888.com/f/57412/history-202107-202107-1.html,4,https://xl.16888.com/level-3-202107-202107-1.html
2021-06,18446,9,https://xl.16888.com/style-202106-202106-1.html,28.97%,1,https://xl.16888.com/f/57412/history-202106-202106-1.html,4,https://xl.16888.com/level-3-202106-202106-1.html
2021-05,34800,2,https://xl.16888.com/style-202105-202105-1.html,32.41%,1,https://xl.16888.com/f/57412/history-202105-202105-1.html,2,https://xl.16888.com/level-3-202105-202105-1.html
2021-04,31031,2,https://xl.16888.com/style-202104-202104-1.html,30.62%,1,https://xl.16888.com/f/57412/history-202104-202104-1.html,2,https://xl.16888.com/level-3-202104-202104-1.html
2021-03,41153,1,https://xl.16888.com/style-202103-202103-1.html,38.27%,1,https://xl.16888.com/f/57412/history-202103-202103-1.html,1,https://xl.16888.com/level-3-202103-202103-1.html
2021-02,13234,13,https://xl.16888.com/style-202102-202102-1.html,27.55%,1,https://xl.16888.com/f/57412/history-202102-202102-1.html,8,https://xl.16888.com/level-3-202102-202102-1.html
2021-01,42323,3,https://xl.16888.com/style-202101-202101-1.html,49.55%,1,https://xl.16888.com/f/57412/history-202101-202101-1.html,2,https://xl.16888.com/level-3-202101-202101-1.html
2020-12,36369,6,https://xl.16888.com/style-202012-202012-1.html,24.91%,1,https://xl.16888.com/f/57412/history-202012-202012-1.html,3,https://xl.16888.com/level-3-202012-202012-1.html
2020-11,48278,3,https://xl.16888.com/style-202011-202011-1.html,33.13%,1,https://xl.16888.com/f/57412/history-202011-202011-1.html,2,https://xl.16888.com/level-3-202011-202011-1.html
2020-10,40984,3,https://xl.16888.com/style-202010-202010-1.html,29.85%,1,https://xl.16888.com/f/57412/history-202010-202010-1.html,2,https://xl.16888.com/level-3-202010-202010-1.html
2020-09,39595,3,https://xl.16888.com/style-202009-202009-1.html,25.25%,1,https://xl.16888.com/f/57412/history-202009-202009-1.html,2,https://xl.16888.com/level-3-202009-202009-1.html
2020-08,45549,2,https://xl.16888.com/style-202008-202008-1.html,35.30%,1,https://xl.16888.com/f/57412/history-202008-202008-1.html,2,https://xl.16888.com/level-3-202008-202008-1.html
2020-07,35925,2,https://xl.16888.com/style-202007-202007-1.html,29.45%,1,https://xl.16888.com/f/57412/history-202007-202007-1.html,2,https://xl.16888.com/level-3-202007-202007-1.html
2020-06,34907,3,https://xl.16888.com/style-202006-202006-1.html,27.32%,1,https://xl.16888.com/f/57412/history-202006-202006-1.html,3,https://xl.16888.com/level-3-202006-202006-1.html
2020-05,36317,2,https://xl.16888.com/style-202005-202005-1.html,30.52%,1,https://xl.16888.com/f/57412/history-202005-202005-1.html,2,https://xl.16888.com/level-3-202005-202005-1.html
2020-04,35505,2,https://xl.16888.com/style-202004-202004-1.html,31.15%,1,https://xl.16888.com/f/57412/history-202004-202004-1.html,2,https://xl.16888.com/level-3-202004-202004-1.html
2020-03,24698,1,https://xl.16888.com/style-202003-202003-1.html,43.48%,1,https://xl.16888.com/f/57412/history-202003-202003-1.html,1,https://xl.16888.com/level-3-202003-202003-1.html
2020-02,3303,10,https://xl.16888.com/style-202002-202002-1.html,39.32%,1,https://xl.16888.com/f/57412/history-202002-202002-1.html,5,https://xl.16888.com/level-3-202002-202002-1.html
2020-01,35898,2,https://xl.16888.com/style-202001-202001-1.html,34.12%,1,https://xl.16888.com/f/57412/history-202001-202001-1.html,2,https://xl.16888.com/level-3-202001-202001-1.html
2019-12,62644,1,https://xl.16888.com/style-201912-201912-1.html,30.47%,1,https://xl.16888.com/f/57412/history-201912-201912-1.html,1,https://xl.16888.com/level-3-201912-201912-1.html
2019-11,51567,2,https://xl.16888.com/style-201911-201911-1.html,29.15%,1,https://xl.16888.com/f/57412/history-201911-201911-1.html,2,https://xl.16888.com/level-3-201911-201911-1.html
2019-10,40322,3,https://xl.16888.com/style-201910-201910-1.html,28.50%,1,https://xl.16888.com/f/57412/history-201910-201910-1.html,2,https://xl.16888.com/level-3-201910-201910-1.html
2019-09,48226,1,https://xl.16888.com/style-201909-201909-1.html,31.71%,1,https://xl.16888.com/f/57412/history-201909-201909-1.html,1,https://xl.16888.com/level-3-201909-201909-1.html
2019-08,31882,2,https://xl.16888.com/style-201908-201908-1.html,25.01%,1,https://xl.16888.com/f/57412/history-201908-201908-1.html,2,https://xl.16888.com/level-3-201908-201908-1.html
2019-07,35629,1,https://xl.16888.com/style-201907-201907-1.html,28.78%,1,https://xl.16888.com/f/57412/history-201907-201907-1.html,1,https://xl.16888.com/level-3-201907-201907-1.html
2019-06,33817,1,https://xl.16888.com/style-201906-201906-1.html,25.42%,1,https://xl.16888.com/f/57412/history-201906-201906-1.html,1,https://xl.16888.com/level-3-201906-201906-1.html
2019-05,35517,2,https://xl.16888.com/style-201905-201905-1.html,26.91%,1,https://xl.16888.com/f/57412/history-201905-201905-1.html,1,https://xl.16888.com/level-3-201905-201905-1.html
2019-04,36112,1,https://xl.16888.com/style-201904-201904-1.html,29.31%,1,https://xl.16888.com/f/57412/history-201904-201904-1.html,1,https://xl.16888.com/level-3-201904-201904-1.html
2019-03,49039,1,https://xl.16888.com/style-201903-201903-1.html,33.49%,1,https://xl.16888.com/f/57412/history-201903-201903-1.html,1,https://xl.16888.com/level-3-201903-201903-1.html
2019-02,33900,1,https://xl.16888.com/style-201902-201902-1.html,34.84%,1,https://xl.16888.com/f/57412/history-201902-201902-1.html,1,https://xl.16888.com/level-3-201902-201902-1.html
2019-01,58537,1,https://xl.16888.com/style-201901-201901-1.html,35.05%,1,https://xl.16888.com/f/57412/history-201901-201901-1.html,1,https://xl.16888.com/level-3-201901-201901-1.html
2018-12,40320,4,https://xl.16888.com/style-201812-201812-1.html,28.87%,1,https://xl.16888.com/f/57412/history-201812-201812-1.html,2,https://xl.16888.com/level-3-201812-201812-1.html
2018-11,46241,4,https://xl.16888.com/style-201811-201811-1.html,28.30%,1,https://xl.16888.com/f/57412/history-201811-201811-1.html,2,https://xl.16888.com/level-3-201811-201811-1.html
2018-10,43974,2,https://xl.16888.com/style-201810-201810-1.html,29.53%,1,https://xl.16888.com/f/57412/history-201810-201810-1.html,1,https://xl.16888.com/level-3-201810-201810-1.html
2018-09,44579,1,https://xl.16888.com/style-201809-201809-1.html,28.77%,1,https://xl.16888.com/f/57412/history-201809-201809-1.html,1,https://xl.16888.com/level-3-201809-201809-1.html
2018-08,38946,1,https://xl.16888.com/style-201808-201808-1.html,30.62%,1,https://xl.16888.com/f/57412/history-201808-201808-1.html,1,https://xl.16888.com/level-3-201808-201808-1.html
2018-07,33484,3,https://xl.16888.com/style-201807-201807-1.html,26.45%,1,https://xl.16888.com/f/57412/history-201807-201807-1.html,3,https://xl.16888.com/level-3-201807-201807-1.html
2018-06,41653,2,https://xl.16888.com/style-201806-201806-1.html,28.41%,1,https://xl.16888.com/f/57412/history-201806-201806-1.html,2,https://xl.16888.com/level-3-201806-201806-1.html
2018-05,40570,1,https://xl.16888.com/style-201805-201805-1.html,29.00%,1,https://xl.16888.com/f/57412/history-201805-201805-1.html,1,https://xl.16888.com/level-3-201805-201805-1.html
2018-04,30449,5,https://xl.16888.com/style-201804-201804-1.html,23.20%,1,https://xl.16888.com/f/57412/history-201804-201804-1.html,2,https://xl.16888.com/level-3-201804-201804-1.html
2018-03,38914,3,https://xl.16888.com/style-201803-201803-1.html,25.43%,1,https://xl.16888.com/f/57412/history-201803-201803-1.html,1,https://xl.16888.com/level-3-201803-201803-1.html
2018-02,25460,4,https://xl.16888.com/style-201802-201802-1.html,24.81%,1,https://xl.16888.com/f/57412/history-201802-201802-1.html,1,https://xl.16888.com/level-3-201802-201802-1.html
2018-01,44202,5,https://xl.16888.com/style-201801-201801-1.html,24.71%,1,https://xl.16888.com/f/57412/history-201801-201801-1.html,2,https://xl.16888.com/level-3-201801-201801-1.html
2017-12,44703,4,https://xl.16888.com/style-201712-201712-1.html,28.60%,1,https://xl.16888.com/f/57412/history-201712-201712-1.html,1,https://xl.16888.com/level-3-201712-201712-1.html
2017-11,47510,4,https://xl.16888.com/style-201711-201711-1.html,28.20%,1,https://xl.16888.com/f/57412/history-201711-201711-1.html,1,https://xl.16888.com/level-3-201711-201711-1.html
2017-10,21377,22,https://xl.16888.com/style-201710-201710-1.html,13.13%,3,https://xl.16888.com/f/57412/history-201710-201710-1.html,11,https://xl.16888.com/level-3-201710-201710-1.html
2017-09,53520,1,https://xl.16888.com/style-201709-201709-1.html,28.68%,1,https://xl.16888.com/f/57412/history-201709-201709-1.html,1,https://xl.16888.com/level-3-201709-201709-1.html
2017-08,34674,6,https://xl.16888.com/style-201708-201708-1.html,27.22%,1,https://xl.16888.com/f/57412/history-201708-201708-1.html,4,https://xl.16888.com/level-3-201708-201708-1.html
2017-07,25498,9,https://xl.16888.com/style-201707-201707-1.html,23.10%,1,https://xl.16888.com/f/57412/history-201707-201707-1.html,5,https://xl.16888.com/level-3-201707-201707-1.html
