月份,月销量,月销量排名,月销量排名链接,占厂商份额,在厂商排名,厂商所有车型当月销量链接,在紧凑车排名,所有紧凑车当月销量链接
2021-11,33,489,https://xl.16888.com/style-202111-202111-1.html,0.03%,20,https://xl.16888.com/f/57412/history-202111-202111-1.html,82,https://xl.16888.com/level-3-202111-202111-1.html
2021-10,301,388,https://xl.16888.com/style-202110-202110-1.html,0.27%,19,https://xl.16888.com/f/57412/history-202110-202110-1.html,67,https://xl.16888.com/level-3-202110-202110-1.html
2021-09,716,305,https://xl.16888.com/style-202109-202109-1.html,0.61%,17,https://xl.16888.com/f/57412/history-202109-202109-1.html,55,https://xl.16888.com/level-3-202109-202109-1.html
2021-08,747,300,https://xl.16888.com/style-202108-202108-1.html,0.63%,16,https://xl.16888.com/f/57412/history-202108-202108-1.html,62,https://xl.16888.com/level-3-202108-202108-1.html
2021-07,11,450,https://xl.16888.com/style-202107-202107-1.html,0.02%,17,https://xl.16888.com/f/57412/history-202107-202107-1.html,78,https://xl.16888.com/level-3-202107-202107-1.html
2021-06,43,453,https://xl.16888.com/style-202106-202106-1.html,0.07%,14,https://xl.16888.com/f/57412/history-202106-202106-1.html,77,https://xl.16888.com/level-3-202106-202106-1.html
2021-05,210,384,https://xl.16888.com/style-202105-202105-1.html,0.20%,17,https://xl.16888.com/f/57412/history-202105-202105-1.html,65,https://xl.16888.com/level-3-202105-202105-1.html
2021-04,2,482,https://xl.16888.com/style-202104-202104-1.html,0.00%,18,https://xl.16888.com/f/57412/history-202104-202104-1.html,86,https://xl.16888.com/level-3-202104-202104-1.html
2021-03,45,438,https://xl.16888.com/style-202103-202103-1.html,0.04%,18,https://xl.16888.com/f/57412/history-202103-202103-1.html,79,https://xl.16888.com/level-3-202103-202103-1.html
2021-02,31,417,https://xl.16888.com/style-202102-202102-1.html,0.06%,14,https://xl.16888.com/f/57412/history-202102-202102-1.html,71,https://xl.16888.com/level-3-202102-202102-1.html
2021-01,2,496,https://xl.16888.com/style-202101-202101-1.html,0.00%,18,https://xl.16888.com/f/57412/history-202101-202101-1.html,90,https://xl.16888.com/level-3-202101-202101-1.html
2020-12,517,361,https://xl.16888.com/style-202012-202012-1.html,0.35%,17,https://xl.16888.com/f/57412/history-202012-202012-1.html,71,https://xl.16888.com/level-3-202012-202012-1.html
2020-11,228,403,https://xl.16888.com/style-202011-202011-1.html,0.16%,17,https://xl.16888.com/f/57412/history-202011-202011-1.html,79,https://xl.16888.com/level-3-202011-202011-1.html
2020-10,131,421,https://xl.16888.com/style-202010-202010-1.html,0.10%,17,https://xl.16888.com/f/57412/history-202010-202010-1.html,81,https://xl.16888.com/level-3-202010-202010-1.html
2020-09,43,448,https://xl.16888.com/style-202009-202009-1.html,0.03%,16,https://xl.16888.com/f/57412/history-202009-202009-1.html,83,https://xl.16888.com/level-3-202009-202009-1.html
2020-08,--,--,https://xl.16888.com/style-202008-202008-1.html,--,--,https://xl.16888.com/f/57412/history-202008-202008-1.html,--,https://xl.16888.com/level-3-202008-202008-1.html
2020-07,72,427,https://xl.16888.com/style-202007-202007-1.html,0.06%,16,https://xl.16888.com/f/57412/history-202007-202007-1.html,80,https://xl.16888.com/level-3-202007-202007-1.html
2020-06,1365,233,https://xl.16888.com/style-202006-202006-1.html,1.07%,13,https://xl.16888.com/f/57412/history-202006-202006-1.html,46,https://xl.16888.com/level-3-202006-202006-1.html
2020-05,28,461,https://xl.16888.com/style-202005-202005-1.html,0.02%,16,https://xl.16888.com/f/57412/history-202005-202005-1.html,90,https://xl.16888.com/level-3-202005-202005-1.html
2020-04,86,404,https://xl.16888.com/style-202004-202004-1.html,0.08%,16,https://xl.16888.com/f/57412/history-202004-202004-1.html,80,https://xl.16888.com/level-3-202004-202004-1.html
2020-03,8,460,https://xl.16888.com/style-202003-202003-1.html,0.01%,15,https://xl.16888.com/f/57412/history-202003-202003-1.html,89,https://xl.16888.com/level-3-202003-202003-1.html
2020-02,2,398,https://xl.16888.com/style-202002-202002-1.html,0.02%,15,https://xl.16888.com/f/57412/history-202002-202002-1.html,75,https://xl.16888.com/level-3-202002-202002-1.html
2020-01,27,438,https://xl.16888.com/style-202001-202001-1.html,0.03%,15,https://xl.16888.com/f/57412/history-202001-202001-1.html,91,https://xl.16888.com/level-3-202001-202001-1.html
2019-12,3872,156,https://xl.16888.com/style-201912-201912-1.html,1.88%,9,https://xl.16888.com/f/57412/history-201912-201912-1.html,45,https://xl.16888.com/level-3-201912-201912-1.html
2019-11,321,364,https://xl.16888.com/style-201911-201911-1.html,0.18%,16,https://xl.16888.com/f/57412/history-201911-201911-1.html,79,https://xl.16888.com/level-3-201911-201911-1.html
2019-10,417,339,https://xl.16888.com/style-201910-201910-1.html,0.29%,16,https://xl.16888.com/f/57412/history-201910-201910-1.html,71,https://xl.16888.com/level-3-201910-201910-1.html
2019-09,1161,264,https://xl.16888.com/style-201909-201909-1.html,0.76%,13,https://xl.16888.com/f/57412/history-201909-201909-1.html,58,https://xl.16888.com/level-3-201909-201909-1.html
2019-08,1124,267,https://xl.16888.com/style-201908-201908-1.html,0.88%,12,https://xl.16888.com/f/57412/history-201908-201908-1.html,60,https://xl.16888.com/level-3-201908-201908-1.html
