月份,月销量,月销量排名,月销量排名链接,占厂商份额,在厂商排名,厂商所有车型当月销量链接,在紧凑车排名,所有紧凑车当月销量链接
2021-11,11593,51,https://xl.16888.com/style-202111-202111-1.html,9.11%,4,https://xl.16888.com/f/57412/history-202111-202111-1.html,15,https://xl.16888.com/level-3-202111-202111-1.html
2021-10,8899,67,https://xl.16888.com/style-202110-202110-1.html,7.92%,5,https://xl.16888.com/f/57412/history-202110-202110-1.html,18,https://xl.16888.com/level-3-202110-202110-1.html
2021-09,11259,38,https://xl.16888.com/style-202109-202109-1.html,9.64%,5,https://xl.16888.com/f/57412/history-202109-202109-1.html,13,https://xl.16888.com/level-3-202109-202109-1.html
2021-08,9140,45,https://xl.16888.com/style-202108-202108-1.html,7.77%,5,https://xl.16888.com/f/57412/history-202108-202108-1.html,10,https://xl.16888.com/level-3-202108-202108-1.html
2021-07,6666,67,https://xl.16888.com/style-202107-202107-1.html,9.74%,2,https://xl.16888.com/f/57412/history-202107-202107-1.html,19,https://xl.16888.com/level-3-202107-202107-1.html
2021-06,15431,16,https://xl.16888.com/style-202106-202106-1.html,24.24%,2,https://xl.16888.com/f/57412/history-202106-202106-1.html,6,https://xl.16888.com/level-3-202106-202106-1.html
2021-05,13701,22,https://xl.16888.com/style-202105-202105-1.html,12.76%,2,https://xl.16888.com/f/57412/history-202105-202105-1.html,9,https://xl.16888.com/level-3-202105-202105-1.html
2021-04,13899,27,https://xl.16888.com/style-202104-202104-1.html,13.71%,2,https://xl.16888.com/f/57412/history-202104-202104-1.html,9,https://xl.16888.com/level-3-202104-202104-1.html
2021-03,7635,67,https://xl.16888.com/style-202103-202103-1.html,7.10%,4,https://xl.16888.com/f/57412/history-202103-202103-1.html,16,https://xl.16888.com/level-3-202103-202103-1.html
2021-02,296,306,https://xl.16888.com/style-202102-202102-1.html,0.62%,10,https://xl.16888.com/f/57412/history-202102-202102-1.html,53,https://xl.16888.com/level-3-202102-202102-1.html
2021-01,22309,16,https://xl.16888.com/style-202101-202101-1.html,26.12%,2,https://xl.16888.com/f/57412/history-202101-202101-1.html,9,https://xl.16888.com/level-3-202101-202101-1.html
2020-12,16540,36,https://xl.16888.com/style-202012-202012-1.html,11.33%,3,https://xl.16888.com/f/57412/history-202012-202012-1.html,12,https://xl.16888.com/level-3-202012-202012-1.html
2020-11,20322,22,https://xl.16888.com/style-202011-202011-1.html,13.94%,2,https://xl.16888.com/f/57412/history-202011-202011-1.html,10,https://xl.16888.com/level-3-202011-202011-1.html
2020-10,13779,40,https://xl.16888.com/style-202010-202010-1.html,10.04%,4,https://xl.16888.com/f/57412/history-202010-202010-1.html,13,https://xl.16888.com/level-3-202010-202010-1.html
2020-09,20240,15,https://xl.16888.com/style-202009-202009-1.html,12.90%,2,https://xl.16888.com/f/57412/history-202009-202009-1.html,8,https://xl.16888.com/level-3-202009-202009-1.html
2020-08,17138,18,https://xl.16888.com/style-202008-202008-1.html,13.28%,2,https://xl.16888.com/f/57412/history-202008-202008-1.html,10,https://xl.16888.com/level-3-202008-202008-1.html
2020-07,15426,24,https://xl.16888.com/style-202007-202007-1.html,12.64%,3,https://xl.16888.com/f/57412/history-202007-202007-1.html,11,https://xl.16888.com/level-3-202007-202007-1.html
2020-06,15967,22,https://xl.16888.com/style-202006-202006-1.html,12.49%,3,https://xl.16888.com/f/57412/history-202006-202006-1.html,10,https://xl.16888.com/level-3-202006-202006-1.html
2020-05,16446,21,https://xl.16888.com/style-202005-202005-1.html,13.82%,2,https://xl.16888.com/f/57412/history-202005-202005-1.html,11,https://xl.16888.com/level-3-202005-202005-1.html
2020-04,9469,49,https://xl.16888.com/style-202004-202004-1.html,8.31%,6,https://xl.16888.com/f/57412/history-202004-202004-1.html,14,https://xl.16888.com/level-3-202004-202004-1.html
2020-03,10776,23,https://xl.16888.com/style-202003-202003-1.html,18.97%,2,https://xl.16888.com/f/57412/history-202003-202003-1.html,8,https://xl.16888.com/level-3-202003-202003-1.html
2020-02,939,73,https://xl.16888.com/style-202002-202002-1.html,11.18%,3,https://xl.16888.com/f/57412/history-202002-202002-1.html,20,https://xl.16888.com/level-3-202002-202002-1.html
2020-01,18683,13,https://xl.16888.com/style-202001-202001-1.html,17.76%,2,https://xl.16888.com/f/57412/history-202001-202001-1.html,8,https://xl.16888.com/level-3-202001-202001-1.html
2019-12,24900,12,https://xl.16888.com/style-201912-201912-1.html,12.11%,3,https://xl.16888.com/f/57412/history-201912-201912-1.html,8,https://xl.16888.com/level-3-201912-201912-1.html
2019-11,24043,12,https://xl.16888.com/style-201911-201911-1.html,13.59%,3,https://xl.16888.com/f/57412/history-201911-201911-1.html,6,https://xl.16888.com/level-3-201911-201911-1.html
2019-10,19946,14,https://xl.16888.com/style-201910-201910-1.html,14.10%,3,https://xl.16888.com/f/57412/history-201910-201910-1.html,8,https://xl.16888.com/level-3-201910-201910-1.html
2019-09,23118,9,https://xl.16888.com/style-201909-201909-1.html,15.20%,2,https://xl.16888.com/f/57412/history-201909-201909-1.html,7,https://xl.16888.com/level-3-201909-201909-1.html
2019-08,20517,9,https://xl.16888.com/style-201908-201908-1.html,16.09%,2,https://xl.16888.com/f/57412/history-201908-201908-1.html,7,https://xl.16888.com/level-3-201908-201908-1.html
2019-07,25315,4,https://xl.16888.com/style-201907-201907-1.html,20.45%,2,https://xl.16888.com/f/57412/history-201907-201907-1.html,4,https://xl.16888.com/level-3-201907-201907-1.html
2019-06,19038,11,https://xl.16888.com/style-201906-201906-1.html,14.31%,2,https://xl.16888.com/f/57412/history-201906-201906-1.html,7,https://xl.16888.com/level-3-201906-201906-1.html
2019-05,14319,20,https://xl.16888.com/style-201905-201905-1.html,10.85%,4,https://xl.16888.com/f/57412/history-201905-201905-1.html,9,https://xl.16888.com/level-3-201905-201905-1.html
2019-04,15356,12,https://xl.16888.com/style-201904-201904-1.html,12.46%,2,https://xl.16888.com/f/57412/history-201904-201904-1.html,7,https://xl.16888.com/level-3-201904-201904-1.html
2019-03,23077,10,https://xl.16888.com/style-201903-201903-1.html,15.76%,2,https://xl.16888.com/f/57412/history-201903-201903-1.html,7,https://xl.16888.com/level-3-201903-201903-1.html
2019-02,13037,12,https://xl.16888.com/style-201902-201902-1.html,13.40%,2,https://xl.16888.com/f/57412/history-201902-201902-1.html,9,https://xl.16888.com/level-3-201902-201902-1.html
2019-01,28508,8,https://xl.16888.com/style-201901-201901-1.html,17.07%,2,https://xl.16888.com/f/57412/history-201901-201901-1.html,6,https://xl.16888.com/level-3-201901-201901-1.html
2018-12,17933,21,https://xl.16888.com/style-201812-201812-1.html,12.84%,3,https://xl.16888.com/f/57412/history-201812-201812-1.html,13,https://xl.16888.com/level-3-201812-201812-1.html
2018-11,26856,10,https://xl.16888.com/style-201811-201811-1.html,16.44%,2,https://xl.16888.com/f/57412/history-201811-201811-1.html,7,https://xl.16888.com/level-3-201811-201811-1.html
2018-10,30051,5,https://xl.16888.com/style-201810-201810-1.html,20.18%,2,https://xl.16888.com/f/57412/history-201810-201810-1.html,3,https://xl.16888.com/level-3-201810-201810-1.html
2018-09,28451,7,https://xl.16888.com/style-201809-201809-1.html,18.36%,2,https://xl.16888.com/f/57412/history-201809-201809-1.html,5,https://xl.16888.com/level-3-201809-201809-1.html
2018-08,15890,24,https://xl.16888.com/style-201808-201808-1.html,12.49%,3,https://xl.16888.com/f/57412/history-201808-201808-1.html,13,https://xl.16888.com/level-3-201808-201808-1.html
2018-07,7287,72,https://xl.16888.com/style-201807-201807-1.html,5.76%,7,https://xl.16888.com/f/57412/history-201807-201807-1.html,23,https://xl.16888.com/level-3-201807-201807-1.html
2018-06,28209,4,https://xl.16888.com/style-201806-201806-1.html,19.24%,2,https://xl.16888.com/f/57412/history-201806-201806-1.html,4,https://xl.16888.com/level-3-201806-201806-1.html
2018-05,21775,10,https://xl.16888.com/style-201805-201805-1.html,15.56%,2,https://xl.16888.com/f/57412/history-201805-201805-1.html,6,https://xl.16888.com/level-3-201805-201805-1.html
2018-04,18523,19,https://xl.16888.com/style-201804-201804-1.html,14.11%,3,https://xl.16888.com/f/57412/history-201804-201804-1.html,11,https://xl.16888.com/level-3-201804-201804-1.html
2018-03,23489,12,https://xl.16888.com/style-201803-201803-1.html,15.35%,2,https://xl.16888.com/f/57412/history-201803-201803-1.html,6,https://xl.16888.com/level-3-201803-201803-1.html
2018-02,14527,22,https://xl.16888.com/style-201802-201802-1.html,14.16%,3,https://xl.16888.com/f/57412/history-201802-201802-1.html,12,https://xl.16888.com/level-3-201802-201802-1.html
2018-01,33793,10,https://xl.16888.com/style-201801-201801-1.html,18.89%,2,https://xl.16888.com/f/57412/history-201801-201801-1.html,6,https://xl.16888.com/level-3-201801-201801-1.html
2017-12,16922,34,https://xl.16888.com/style-201712-201712-1.html,10.83%,3,https://xl.16888.com/f/57412/history-201712-201712-1.html,15,https://xl.16888.com/level-3-201712-201712-1.html
2017-11,26977,14,https://xl.16888.com/style-201711-201711-1.html,16.01%,2,https://xl.16888.com/f/57412/history-201711-201711-1.html,8,https://xl.16888.com/level-3-201711-201711-1.html
