月份,月销量,月销量排名,月销量排名链接,占厂商份额,在厂商排名,厂商所有车型当月销量链接,在紧凑车排名,所有紧凑车当月销量链接
2021-11,--,--,https://xl.16888.com/style-202111-202111-1.html,--,--,https://xl.16888.com/f/57412/history-202111-202111-1.html,--,https://xl.16888.com/level-3-202111-202111-1.html
2021-10,--,--,https://xl.16888.com/style-202110-202110-1.html,--,--,https://xl.16888.com/f/57412/history-202110-202110-1.html,--,https://xl.16888.com/level-3-202110-202110-1.html
2021-09,--,--,https://xl.16888.com/style-202109-202109-1.html,--,--,https://xl.16888.com/f/57412/history-202109-202109-1.html,--,https://xl.16888.com/level-3-202109-202109-1.html
2021-08,--,--,https://xl.16888.com/style-202108-202108-1.html,--,--,https://xl.16888.com/f/57412/history-202108-202108-1.html,--,https://xl.16888.com/level-3-202108-202108-1.html
2021-07,--,--,https://xl.16888.com/style-202107-202107-1.html,--,--,https://xl.16888.com/f/57412/history-202107-202107-1.html,--,https://xl.16888.com/level-3-202107-202107-1.html
2021-06,--,--,https://xl.16888.com/style-202106-202106-1.html,--,--,https://xl.16888.com/f/57412/history-202106-202106-1.html,--,https://xl.16888.com/level-3-202106-202106-1.html
2021-05,--,--,https://xl.16888.com/style-202105-202105-1.html,--,--,https://xl.16888.com/f/57412/history-202105-202105-1.html,--,https://xl.16888.com/level-3-202105-202105-1.html
2021-04,--,--,https://xl.16888.com/style-202104-202104-1.html,--,--,https://xl.16888.com/f/57412/history-202104-202104-1.html,--,https://xl.16888.com/level-3-202104-202104-1.html
2021-03,--,--,https://xl.16888.com/style-202103-202103-1.html,--,--,https://xl.16888.com/f/57412/history-202103-202103-1.html,--,https://xl.16888.com/level-3-202103-202103-1.html
2021-02,--,--,https://xl.16888.com/style-202102-202102-1.html,--,--,https://xl.16888.com/f/57412/history-202102-202102-1.html,--,https://xl.16888.com/level-3-202102-202102-1.html
2021-01,--,--,https://xl.16888.com/style-202101-202101-1.html,--,--,https://xl.16888.com/f/57412/history-202101-202101-1.html,--,https://xl.16888.com/level-3-202101-202101-1.html
2020-12,--,--,https://xl.16888.com/style-202012-202012-1.html,--,--,https://xl.16888.com/f/57412/history-202012-202012-1.html,--,https://xl.16888.com/level-3-202012-202012-1.html
2020-11,--,--,https://xl.16888.com/style-202011-202011-1.html,--,--,https://xl.16888.com/f/57412/history-202011-202011-1.html,--,https://xl.16888.com/level-3-202011-202011-1.html
2020-10,--,--,https://xl.16888.com/style-202010-202010-1.html,--,--,https://xl.16888.com/f/57412/history-202010-202010-1.html,--,https://xl.16888.com/level-3-202010-202010-1.html
2020-09,--,--,https://xl.16888.com/style-202009-202009-1.html,--,--,https://xl.16888.com/f/57412/history-202009-202009-1.html,--,https://xl.16888.com/level-3-202009-202009-1.html
2020-08,--,--,https://xl.16888.com/style-202008-202008-1.html,--,--,https://xl.16888.com/f/57412/history-202008-202008-1.html,--,https://xl.16888.com/level-3-202008-202008-1.html
2020-07,--,--,https://xl.16888.com/style-202007-202007-1.html,--,--,https://xl.16888.com/f/57412/history-202007-202007-1.html,--,https://xl.16888.com/level-3-202007-202007-1.html
2020-06,--,--,https://xl.16888.com/style-202006-202006-1.html,--,--,https://xl.16888.com/f/57412/history-202006-202006-1.html,--,https://xl.16888.com/level-3-202006-202006-1.html
2020-05,--,--,https://xl.16888.com/style-202005-202005-1.html,--,--,https://xl.16888.com/f/57412/history-202005-202005-1.html,--,https://xl.16888.com/level-3-202005-202005-1.html
2020-04,--,--,https://xl.16888.com/style-202004-202004-1.html,--,--,https://xl.16888.com/f/57412/history-202004-202004-1.html,--,https://xl.16888.com/level-3-202004-202004-1.html
2020-03,--,--,https://xl.16888.com/style-202003-202003-1.html,--,--,https://xl.16888.com/f/57412/history-202003-202003-1.html,--,https://xl.16888.com/level-3-202003-202003-1.html
2020-02,--,--,https://xl.16888.com/style-202002-202002-1.html,--,--,https://xl.16888.com/f/57412/history-202002-202002-1.html,--,https://xl.16888.com/level-3-202002-202002-1.html
2020-01,3,481,https://xl.16888.com/style-202001-202001-1.html,0.00%,16,https://xl.16888.com/f/57412/history-202001-202001-1.html,100,https://xl.16888.com/level-3-202001-202001-1.html
2019-12,1872,235,https://xl.16888.com/style-201912-201912-1.html,0.91%,14,https://xl.16888.com/f/57412/history-201912-201912-1.html,57,https://xl.16888.com/level-3-201912-201912-1.html
2019-11,299,368,https://xl.16888.com/style-201911-201911-1.html,0.17%,17,https://xl.16888.com/f/57412/history-201911-201911-1.html,81,https://xl.16888.com/level-3-201911-201911-1.html
2019-10,440,336,https://xl.16888.com/style-201910-201910-1.html,0.31%,15,https://xl.16888.com/f/57412/history-201910-201910-1.html,70,https://xl.16888.com/level-3-201910-201910-1.html
2019-09,576,323,https://xl.16888.com/style-201909-201909-1.html,0.38%,16,https://xl.16888.com/f/57412/history-201909-201909-1.html,68,https://xl.16888.com/level-3-201909-201909-1.html
2019-08,17,469,https://xl.16888.com/style-201908-201908-1.html,0.01%,18,https://xl.16888.com/f/57412/history-201908-201908-1.html,97,https://xl.16888.com/level-3-201908-201908-1.html
2019-07,47,433,https://xl.16888.com/style-201907-201907-1.html,0.04%,17,https://xl.16888.com/f/57412/history-201907-201907-1.html,90,https://xl.16888.com/level-3-201907-201907-1.html
2019-06,197,399,https://xl.16888.com/style-201906-201906-1.html,0.15%,17,https://xl.16888.com/f/57412/history-201906-201906-1.html,90,https://xl.16888.com/level-3-201906-201906-1.html
2019-05,165,401,https://xl.16888.com/style-201905-201905-1.html,0.13%,17,https://xl.16888.com/f/57412/history-201905-201905-1.html,96,https://xl.16888.com/level-3-201905-201905-1.html
2019-04,145,409,https://xl.16888.com/style-201904-201904-1.html,0.12%,16,https://xl.16888.com/f/57412/history-201904-201904-1.html,91,https://xl.16888.com/level-3-201904-201904-1.html
2019-03,380,375,https://xl.16888.com/style-201903-201903-1.html,0.26%,15,https://xl.16888.com/f/57412/history-201903-201903-1.html,82,https://xl.16888.com/level-3-201903-201903-1.html
2019-02,192,378,https://xl.16888.com/style-201902-201902-1.html,0.20%,15,https://xl.16888.com/f/57412/history-201902-201902-1.html,82,https://xl.16888.com/level-3-201902-201902-1.html
2019-01,332,366,https://xl.16888.com/style-201901-201901-1.html,0.20%,15,https://xl.16888.com/f/57412/history-201901-201901-1.html,83,https://xl.16888.com/level-3-201901-201901-1.html
2018-12,942,326,https://xl.16888.com/style-201812-201812-1.html,0.67%,13,https://xl.16888.com/f/57412/history-201812-201812-1.html,77,https://xl.16888.com/level-3-201812-201812-1.html
