月份,月销量,月销量排名,月销量排名链接,占厂商份额,在厂商排名,厂商所有车型当月销量链接,在紧凑车排名,所有紧凑车当月销量链接
2021-11,530,370,https://xl.16888.com/style-202111-202111-1.html,0.42%,18,https://xl.16888.com/f/57412/history-202111-202111-1.html,36,https://xl.16888.com/level-6-202111-202111-1.html
2021-10,1215,270,https://xl.16888.com/style-202110-202110-1.html,1.08%,11,https://xl.16888.com/f/57412/history-202110-202110-1.html,25,https://xl.16888.com/level-6-202110-202110-1.html
2021-09,943,274,https://xl.16888.com/style-202109-202109-1.html,0.81%,14,https://xl.16888.com/f/57412/history-202109-202109-1.html,22,https://xl.16888.com/level-6-202109-202109-1.html
2021-08,409,343,https://xl.16888.com/style-202108-202108-1.html,0.35%,17,https://xl.16888.com/f/57412/history-202108-202108-1.html,36,https://xl.16888.com/level-6-202108-202108-1.html
2021-07,18,441,https://xl.16888.com/style-202107-202107-1.html,0.03%,16,https://xl.16888.com/f/57412/history-202107-202107-1.html,55,https://xl.16888.com/level-6-202107-202107-1.html
2021-06,6,481,https://xl.16888.com/style-202106-202106-1.html,0.01%,17,https://xl.16888.com/f/57412/history-202106-202106-1.html,55,https://xl.16888.com/level-6-202106-202106-1.html
2021-05,48,442,https://xl.16888.com/style-202105-202105-1.html,0.04%,18,https://xl.16888.com/f/57412/history-202105-202105-1.html,51,https://xl.16888.com/level-6-202105-202105-1.html
2021-04,374,344,https://xl.16888.com/style-202104-202104-1.html,0.37%,17,https://xl.16888.com/f/57412/history-202104-202104-1.html,35,https://xl.16888.com/level-6-202104-202104-1.html
2021-03,238,373,https://xl.16888.com/style-202103-202103-1.html,0.22%,17,https://xl.16888.com/f/57412/history-202103-202103-1.html,35,https://xl.16888.com/level-6-202103-202103-1.html
2021-02,--,--,https://xl.16888.com/style-202102-202102-1.html,--,--,https://xl.16888.com/f/57412/history-202102-202102-1.html,--,https://xl.16888.com/level-6-202102-202102-1.html
2021-01,4,493,https://xl.16888.com/style-202101-202101-1.html,0.00%,17,https://xl.16888.com/f/57412/history-202101-202101-1.html,56,https://xl.16888.com/level-6-202101-202101-1.html
2020-12,1748,260,https://xl.16888.com/style-202012-202012-1.html,1.20%,15,https://xl.16888.com/f/57412/history-202012-202012-1.html,24,https://xl.16888.com/level-6-202012-202012-1.html
2020-11,838,312,https://xl.16888.com/style-202011-202011-1.html,0.58%,15,https://xl.16888.com/f/57412/history-202011-202011-1.html,34,https://xl.16888.com/level-6-202011-202011-1.html
2020-10,1025,292,https://xl.16888.com/style-202010-202010-1.html,0.75%,15,https://xl.16888.com/f/57412/history-202010-202010-1.html,29,https://xl.16888.com/level-6-202010-202010-1.html
2020-09,2035,214,https://xl.16888.com/style-202009-202009-1.html,1.30%,13,https://xl.16888.com/f/57412/history-202009-202009-1.html,21,https://xl.16888.com/level-6-202009-202009-1.html
2020-08,1434,230,https://xl.16888.com/style-202008-202008-1.html,1.11%,11,https://xl.16888.com/f/57412/history-202008-202008-1.html,24,https://xl.16888.com/level-6-202008-202008-1.html
2020-07,572,314,https://xl.16888.com/style-202007-202007-1.html,0.47%,15,https://xl.16888.com/f/57412/history-202007-202007-1.html,30,https://xl.16888.com/level-6-202007-202007-1.html
2020-06,962,273,https://xl.16888.com/style-202006-202006-1.html,0.75%,15,https://xl.16888.com/f/57412/history-202006-202006-1.html,27,https://xl.16888.com/level-6-202006-202006-1.html
2020-05,783,286,https://xl.16888.com/style-202005-202005-1.html,0.66%,14,https://xl.16888.com/f/57412/history-202005-202005-1.html,28,https://xl.16888.com/level-6-202005-202005-1.html
2020-04,1059,239,https://xl.16888.com/style-202004-202004-1.html,0.93%,12,https://xl.16888.com/f/57412/history-202004-202004-1.html,26,https://xl.16888.com/level-6-202004-202004-1.html
2020-03,402,295,https://xl.16888.com/style-202003-202003-1.html,0.71%,12,https://xl.16888.com/f/57412/history-202003-202003-1.html,31,https://xl.16888.com/level-6-202003-202003-1.html
2020-02,62,282,https://xl.16888.com/style-202002-202002-1.html,0.74%,12,https://xl.16888.com/f/57412/history-202002-202002-1.html,30,https://xl.16888.com/level-6-202002-202002-1.html
2020-01,650,288,https://xl.16888.com/style-202001-202001-1.html,0.62%,12,https://xl.16888.com/f/57412/history-202001-202001-1.html,30,https://xl.16888.com/level-6-202001-202001-1.html
2019-12,1627,255,https://xl.16888.com/style-201912-201912-1.html,0.79%,15,https://xl.16888.com/f/57412/history-201912-201912-1.html,26,https://xl.16888.com/level-6-201912-201912-1.html
2019-11,1062,286,https://xl.16888.com/style-201911-201911-1.html,0.60%,13,https://xl.16888.com/f/57412/history-201911-201911-1.html,30,https://xl.16888.com/level-6-201911-201911-1.html
2019-10,971,278,https://xl.16888.com/style-201910-201910-1.html,0.69%,12,https://xl.16888.com/f/57412/history-201910-201910-1.html,30,https://xl.16888.com/level-6-201910-201910-1.html
2019-09,1295,250,https://xl.16888.com/style-201909-201909-1.html,0.85%,11,https://xl.16888.com/f/57412/history-201909-201909-1.html,26,https://xl.16888.com/level-6-201909-201909-1.html
2019-08,1456,232,https://xl.16888.com/style-201908-201908-1.html,1.14%,10,https://xl.16888.com/f/57412/history-201908-201908-1.html,20,https://xl.16888.com/level-6-201908-201908-1.html
2019-07,2692,166,https://xl.16888.com/style-201907-201907-1.html,2.17%,12,https://xl.16888.com/f/57412/history-201907-201907-1.html,12,https://xl.16888.com/level-6-201907-201907-1.html
2019-06,1126,272,https://xl.16888.com/style-201906-201906-1.html,0.85%,14,https://xl.16888.com/f/57412/history-201906-201906-1.html,28,https://xl.16888.com/level-6-201906-201906-1.html
2019-05,993,275,https://xl.16888.com/style-201905-201905-1.html,0.75%,15,https://xl.16888.com/f/57412/history-201905-201905-1.html,31,https://xl.16888.com/level-6-201905-201905-1.html
2019-04,1595,228,https://xl.16888.com/style-201904-201904-1.html,1.29%,12,https://xl.16888.com/f/57412/history-201904-201904-1.html,23,https://xl.16888.com/level-6-201904-201904-1.html
2019-03,1101,306,https://xl.16888.com/style-201903-201903-1.html,0.75%,13,https://xl.16888.com/f/57412/history-201903-201903-1.html,33,https://xl.16888.com/level-6-201903-201903-1.html
2019-02,936,246,https://xl.16888.com/style-201902-201902-1.html,0.96%,11,https://xl.16888.com/f/57412/history-201902-201902-1.html,24,https://xl.16888.com/level-6-201902-201902-1.html
2019-01,1566,242,https://xl.16888.com/style-201901-201901-1.html,0.94%,10,https://xl.16888.com/f/57412/history-201901-201901-1.html,23,https://xl.16888.com/level-6-201901-201901-1.html
2018-12,3435,181,https://xl.16888.com/style-201812-201812-1.html,2.46%,10,https://xl.16888.com/f/57412/history-201812-201812-1.html,16,https://xl.16888.com/level-6-201812-201812-1.html
2018-11,2413,223,https://xl.16888.com/style-201811-201811-1.html,1.48%,10,https://xl.16888.com/f/57412/history-201811-201811-1.html,19,https://xl.16888.com/level-6-201811-201811-1.html
2018-10,3262,186,https://xl.16888.com/style-201810-201810-1.html,2.19%,10,https://xl.16888.com/f/57412/history-201810-201810-1.html,15,https://xl.16888.com/level-6-201810-201810-1.html
2018-09,3342,172,https://xl.16888.com/style-201809-201809-1.html,2.16%,10,https://xl.16888.com/f/57412/history-201809-201809-1.html,17,https://xl.16888.com/level-6-201809-201809-1.html
2018-08,3136,165,https://xl.16888.com/style-201808-201808-1.html,2.47%,10,https://xl.16888.com/f/57412/history-201808-201808-1.html,15,https://xl.16888.com/level-6-201808-201808-1.html
2018-07,3641,123,https://xl.16888.com/style-201807-201807-1.html,2.88%,9,https://xl.16888.com/f/57412/history-201807-201807-1.html,12,https://xl.16888.com/level-6-201807-201807-1.html
2018-06,4380,125,https://xl.16888.com/style-201806-201806-1.html,2.99%,9,https://xl.16888.com/f/57412/history-201806-201806-1.html,12,https://xl.16888.com/level-6-201806-201806-1.html
2018-05,3541,157,https://xl.16888.com/style-201805-201805-1.html,2.53%,9,https://xl.16888.com/f/57412/history-201805-201805-1.html,13,https://xl.16888.com/level-6-201805-201805-1.html
2018-04,3414,161,https://xl.16888.com/style-201804-201804-1.html,2.60%,10,https://xl.16888.com/f/57412/history-201804-201804-1.html,13,https://xl.16888.com/level-6-201804-201804-1.html
2018-03,3816,166,https://xl.16888.com/style-201803-201803-1.html,2.49%,10,https://xl.16888.com/f/57412/history-201803-201803-1.html,16,https://xl.16888.com/level-6-201803-201803-1.html
2018-02,1366,216,https://xl.16888.com/style-201802-201802-1.html,1.33%,10,https://xl.16888.com/f/57412/history-201802-201802-1.html,20,https://xl.16888.com/level-6-201802-201802-1.html
2018-01,3979,163,https://xl.16888.com/style-201801-201801-1.html,2.22%,10,https://xl.16888.com/f/57412/history-201801-201801-1.html,13,https://xl.16888.com/level-6-201801-201801-1.html
2017-12,2710,234,https://xl.16888.com/style-201712-201712-1.html,1.73%,11,https://xl.16888.com/f/57412/history-201712-201712-1.html,28,https://xl.16888.com/level-6-201712-201712-1.html
2017-11,2947,213,https://xl.16888.com/style-201711-201711-1.html,1.75%,11,https://xl.16888.com/f/57412/history-201711-201711-1.html,23,https://xl.16888.com/level-6-201711-201711-1.html
2017-10,2264,228,https://xl.16888.com/style-201710-201710-1.html,1.39%,10,https://xl.16888.com/f/57412/history-201710-201710-1.html,25,https://xl.16888.com/level-6-201710-201710-1.html
2017-09,2196,234,https://xl.16888.com/style-201709-201709-1.html,1.18%,10,https://xl.16888.com/f/57412/history-201709-201709-1.html,23,https://xl.16888.com/level-6-201709-201709-1.html
