月份,月销量,月销量排名,月销量排名链接,占厂商份额,在厂商排名,厂商所有车型当月销量链接,在紧凑车排名,所有紧凑车当月销量链接
2021-11,11142,53,https://xl.16888.com/style-202111-202111-1.html,8.76%,5,https://xl.16888.com/f/57412/history-202111-202111-1.html,25,https://xl.16888.com/level-7-202111-202111-1.html
2021-10,13042,41,https://xl.16888.com/style-202110-202110-1.html,11.60%,3,https://xl.16888.com/f/57412/history-202110-202110-1.html,20,https://xl.16888.com/level-7-202110-202110-1.html
2021-09,20836,7,https://xl.16888.com/style-202109-202109-1.html,17.83%,2,https://xl.16888.com/f/57412/history-202109-202109-1.html,2,https://xl.16888.com/level-7-202109-202109-1.html
2021-08,13298,21,https://xl.16888.com/style-202108-202108-1.html,11.30%,3,https://xl.16888.com/f/57412/history-202108-202108-1.html,7,https://xl.16888.com/level-7-202108-202108-1.html
2021-07,2041,181,https://xl.16888.com/style-202107-202107-1.html,2.98%,9,https://xl.16888.com/f/57412/history-202107-202107-1.html,89,https://xl.16888.com/level-7-202107-202107-1.html
2021-06,2372,174,https://xl.16888.com/style-202106-202106-1.html,3.73%,5,https://xl.16888.com/f/57412/history-202106-202106-1.html,87,https://xl.16888.com/level-7-202106-202106-1.html
2021-05,9972,44,https://xl.16888.com/style-202105-202105-1.html,9.29%,5,https://xl.16888.com/f/57412/history-202105-202105-1.html,19,https://xl.16888.com/level-7-202105-202105-1.html
2021-04,11807,39,https://xl.16888.com/style-202104-202104-1.html,11.65%,4,https://xl.16888.com/f/57412/history-202104-202104-1.html,16,https://xl.16888.com/level-7-202104-202104-1.html
2021-03,10510,47,https://xl.16888.com/style-202103-202103-1.html,9.77%,3,https://xl.16888.com/f/57412/history-202103-202103-1.html,17,https://xl.16888.com/level-7-202103-202103-1.html
2021-02,7187,47,https://xl.16888.com/style-202102-202102-1.html,14.96%,4,https://xl.16888.com/f/57412/history-202102-202102-1.html,20,https://xl.16888.com/level-7-202102-202102-1.html
2021-01,1431,239,https://xl.16888.com/style-202101-202101-1.html,1.68%,8,https://xl.16888.com/f/57412/history-202101-202101-1.html,124,https://xl.16888.com/level-7-202101-202101-1.html
2020-12,12803,52,https://xl.16888.com/style-202012-202012-1.html,8.77%,5,https://xl.16888.com/f/57412/history-202012-202012-1.html,25,https://xl.16888.com/level-7-202012-202012-1.html
2020-11,14189,44,https://xl.16888.com/style-202011-202011-1.html,9.74%,4,https://xl.16888.com/f/57412/history-202011-202011-1.html,20,https://xl.16888.com/level-7-202011-202011-1.html
2020-10,15026,31,https://xl.16888.com/style-202010-202010-1.html,10.94%,3,https://xl.16888.com/f/57412/history-202010-202010-1.html,13,https://xl.16888.com/level-7-202010-202010-1.html
