月份,月销量,月销量排名,月销量排名链接,占厂商份额,在厂商排名,厂商所有车型当月销量链接,在紧凑车排名,所有紧凑车当月销量链接
2021-11,3663,167,https://xl.16888.com/style-202111-202111-1.html,2.88%,8,https://xl.16888.com/f/57412/history-202111-202111-1.html,86,https://xl.16888.com/level-7-202111-202111-1.html
2021-10,4121,142,https://xl.16888.com/style-202110-202110-1.html,3.67%,8,https://xl.16888.com/f/57412/history-202110-202110-1.html,70,https://xl.16888.com/level-7-202110-202110-1.html
2021-09,2911,159,https://xl.16888.com/style-202109-202109-1.html,2.49%,7,https://xl.16888.com/f/57412/history-202109-202109-1.html,78,https://xl.16888.com/level-7-202109-202109-1.html
2021-08,4084,114,https://xl.16888.com/style-202108-202108-1.html,3.47%,7,https://xl.16888.com/f/57412/history-202108-202108-1.html,57,https://xl.16888.com/level-7-202108-202108-1.html
2021-07,5353,91,https://xl.16888.com/style-202107-202107-1.html,7.82%,7,https://xl.16888.com/f/57412/history-202107-202107-1.html,41,https://xl.16888.com/level-7-202107-202107-1.html
2021-05,3834,129,https://xl.16888.com/style-202105-202105-1.html,3.57%,8,https://xl.16888.com/f/57412/history-202105-202105-1.html,65,https://xl.16888.com/level-7-202105-202105-1.html
2021-04,1435,222,https://xl.16888.com/style-202104-202104-1.html,1.42%,9,https://xl.16888.com/f/57412/history-202104-202104-1.html,119,https://xl.16888.com/level-7-202104-202104-1.html
2021-03,3679,131,https://xl.16888.com/style-202103-202103-1.html,3.42%,7,https://xl.16888.com/f/57412/history-202103-202103-1.html,54,https://xl.16888.com/level-7-202103-202103-1.html
2021-02,1329,172,https://xl.16888.com/style-202102-202102-1.html,2.77%,6,https://xl.16888.com/f/57412/history-202102-202102-1.html,84,https://xl.16888.com/level-7-202102-202102-1.html
2021-01,2485,172,https://xl.16888.com/style-202101-202101-1.html,2.91%,6,https://xl.16888.com/f/57412/history-202101-202101-1.html,90,https://xl.16888.com/level-7-202101-202101-1.html
2020-12,4264,147,https://xl.16888.com/style-202012-202012-1.html,2.92%,10,https://xl.16888.com/f/57412/history-202012-202012-1.html,72,https://xl.16888.com/level-7-202012-202012-1.html
2020-11,4688,129,https://xl.16888.com/style-202011-202011-1.html,3.22%,8,https://xl.16888.com/f/57412/history-202011-202011-1.html,64,https://xl.16888.com/level-7-202011-202011-1.html
2020-10,4265,134,https://xl.16888.com/style-202010-202010-1.html,3.11%,9,https://xl.16888.com/f/57412/history-202010-202010-1.html,62,https://xl.16888.com/level-7-202010-202010-1.html
2020-09,5035,114,https://xl.16888.com/style-202009-202009-1.html,3.21%,9,https://xl.16888.com/f/57412/history-202009-202009-1.html,56,https://xl.16888.com/level-7-202009-202009-1.html
2020-08,7740,67,https://xl.16888.com/style-202008-202008-1.html,6.00%,6,https://xl.16888.com/f/57412/history-202008-202008-1.html,33,https://xl.16888.com/level-7-202008-202008-1.html
