月份,月销量,月销量排名,月销量排名链接,占厂商份额,在厂商排名,厂商所有车型当月销量链接,在紧凑车排名,所有紧凑车当月销量链接
2021-11,560,363,https://xl.16888.com/style-202111-202111-1.html,0.44%,17,https://xl.16888.com/f/57412/history-202111-202111-1.html,190,https://xl.16888.com/level-7-202111-202111-1.html
2021-10,1092,283,https://xl.16888.com/style-202110-202110-1.html,0.97%,12,https://xl.16888.com/f/57412/history-202110-202110-1.html,145,https://xl.16888.com/level-7-202110-202110-1.html
2021-09,1486,234,https://xl.16888.com/style-202109-202109-1.html,1.27%,11,https://xl.16888.com/f/57412/history-202109-202109-1.html,119,https://xl.16888.com/level-7-202109-202109-1.html
2021-08,1295,234,https://xl.16888.com/style-202108-202108-1.html,1.10%,12,https://xl.16888.com/f/57412/history-202108-202108-1.html,116,https://xl.16888.com/level-7-202108-202108-1.html
2021-07,1715,204,https://xl.16888.com/style-202107-202107-1.html,2.51%,10,https://xl.16888.com/f/57412/history-202107-202107-1.html,103,https://xl.16888.com/level-7-202107-202107-1.html
2021-06,2259,181,https://xl.16888.com/style-202106-202106-1.html,3.55%,7,https://xl.16888.com/f/57412/history-202106-202106-1.html,92,https://xl.16888.com/level-7-202106-202106-1.html
2021-05,1694,208,https://xl.16888.com/style-202105-202105-1.html,1.58%,10,https://xl.16888.com/f/57412/history-202105-202105-1.html,107,https://xl.16888.com/level-7-202105-202105-1.html
2021-04,553,318,https://xl.16888.com/style-202104-202104-1.html,0.55%,16,https://xl.16888.com/f/57412/history-202104-202104-1.html,172,https://xl.16888.com/level-7-202104-202104-1.html
2021-03,2464,164,https://xl.16888.com/style-202103-202103-1.html,2.29%,8,https://xl.16888.com/f/57412/history-202103-202103-1.html,65,https://xl.16888.com/level-7-202103-202103-1.html
2021-02,742,233,https://xl.16888.com/style-202102-202102-1.html,1.54%,7,https://xl.16888.com/f/57412/history-202102-202102-1.html,120,https://xl.16888.com/level-7-202102-202102-1.html
2021-01,323,360,https://xl.16888.com/style-202101-202101-1.html,0.38%,12,https://xl.16888.com/f/57412/history-202101-202101-1.html,188,https://xl.16888.com/level-7-202101-202101-1.html
2020-12,3300,178,https://xl.16888.com/style-202012-202012-1.html,2.26%,11,https://xl.16888.com/f/57412/history-202012-202012-1.html,89,https://xl.16888.com/level-7-202012-202012-1.html
2020-11,2750,188,https://xl.16888.com/style-202011-202011-1.html,1.89%,10,https://xl.16888.com/f/57412/history-202011-202011-1.html,95,https://xl.16888.com/level-7-202011-202011-1.html
2020-10,3081,174,https://xl.16888.com/style-202010-202010-1.html,2.24%,11,https://xl.16888.com/f/57412/history-202010-202010-1.html,83,https://xl.16888.com/level-7-202010-202010-1.html
2020-09,3349,152,https://xl.16888.com/style-202009-202009-1.html,2.14%,12,https://xl.16888.com/f/57412/history-202009-202009-1.html,78,https://xl.16888.com/level-7-202009-202009-1.html
2020-08,--,--,https://xl.16888.com/style-202008-202008-1.html,--,--,https://xl.16888.com/f/57412/history-202008-202008-1.html,--,https://xl.16888.com/level-7-202008-202008-1.html
2020-07,3042,140,https://xl.16888.com/style-202007-202007-1.html,2.49%,9,https://xl.16888.com/f/57412/history-202007-202007-1.html,44,https://xl.16888.com/level-7-202007-202007-1.html
2020-06,2269,181,https://xl.16888.com/style-202006-202006-1.html,1.78%,11,https://xl.16888.com/f/57412/history-202006-202006-1.html,60,https://xl.16888.com/level-7-202006-202006-1.html
2020-05,2905,152,https://xl.16888.com/style-202005-202005-1.html,2.44%,10,https://xl.16888.com/f/57412/history-202005-202005-1.html,73,https://xl.16888.com/level-7-202005-202005-1.html
2020-04,1612,198,https://xl.16888.com/style-202004-202004-1.html,1.41%,9,https://xl.16888.com/f/57412/history-202004-202004-1.html,95,https://xl.16888.com/level-7-202004-202004-1.html
2020-03,565,267,https://xl.16888.com/style-202003-202003-1.html,0.99%,10,https://xl.16888.com/f/57412/history-202003-202003-1.html,131,https://xl.16888.com/level-7-202003-202003-1.html
2020-02,88,262,https://xl.16888.com/style-202002-202002-1.html,1.05%,11,https://xl.16888.com/f/57412/history-202002-202002-1.html,132,https://xl.16888.com/level-7-202002-202002-1.html
2020-01,828,270,https://xl.16888.com/style-202001-202001-1.html,0.79%,11,https://xl.16888.com/f/57412/history-202001-202001-1.html,136,https://xl.16888.com/level-7-202001-202001-1.html
2019-12,2078,223,https://xl.16888.com/style-201912-201912-1.html,1.01%,13,https://xl.16888.com/f/57412/history-201912-201912-1.html,100,https://xl.16888.com/level-7-201912-201912-1.html
2019-11,1802,233,https://xl.16888.com/style-201911-201911-1.html,1.02%,10,https://xl.16888.com/f/57412/history-201911-201911-1.html,110,https://xl.16888.com/level-7-201911-201911-1.html
2019-10,1573,239,https://xl.16888.com/style-201910-201910-1.html,1.11%,10,https://xl.16888.com/f/57412/history-201910-201910-1.html,120,https://xl.16888.com/level-7-201910-201910-1.html
2019-09,1455,238,https://xl.16888.com/style-201909-201909-1.html,0.96%,10,https://xl.16888.com/f/57412/history-201909-201909-1.html,118,https://xl.16888.com/level-7-201909-201909-1.html
2019-08,1453,233,https://xl.16888.com/style-201908-201908-1.html,1.14%,11,https://xl.16888.com/f/57412/history-201908-201908-1.html,115,https://xl.16888.com/level-7-201908-201908-1.html
2019-07,2747,163,https://xl.16888.com/style-201907-201907-1.html,2.22%,11,https://xl.16888.com/f/57412/history-201907-201907-1.html,79,https://xl.16888.com/level-7-201907-201907-1.html
2019-06,2141,208,https://xl.16888.com/style-201906-201906-1.html,1.61%,11,https://xl.16888.com/f/57412/history-201906-201906-1.html,98,https://xl.16888.com/level-7-201906-201906-1.html
2019-05,2502,178,https://xl.16888.com/style-201905-201905-1.html,1.90%,12,https://xl.16888.com/f/57412/history-201905-201905-1.html,79,https://xl.16888.com/level-7-201905-201905-1.html
2019-04,15,475,https://xl.16888.com/style-201904-201904-1.html,0.01%,17,https://xl.16888.com/f/57412/history-201904-201904-1.html,223,https://xl.16888.com/level-7-201904-201904-1.html
