月份,月销量,月销量排名,月销量排名链接,占厂商份额,在厂商排名,厂商所有车型当月销量链接,在紧凑车排名,所有紧凑车当月销量链接
2021-11,13465,44,https://xl.16888.com/style-202111-202111-1.html,10.59%,3,https://xl.16888.com/f/57412/history-202111-202111-1.html,22,https://xl.16888.com/level-7-202111-202111-1.html
2021-10,16571,26,https://xl.16888.com/style-202110-202110-1.html,14.74%,2,https://xl.16888.com/f/57412/history-202110-202110-1.html,10,https://xl.16888.com/level-7-202110-202110-1.html
2021-09,20133,8,https://xl.16888.com/style-202109-202109-1.html,17.23%,3,https://xl.16888.com/f/57412/history-202109-202109-1.html,3,https://xl.16888.com/level-7-202109-202109-1.html
2021-08,17513,9,https://xl.16888.com/style-202108-202108-1.html,14.89%,2,https://xl.16888.com/f/57412/history-202108-202108-1.html,2,https://xl.16888.com/level-7-202108-202108-1.html
2021-07,5594,82,https://xl.16888.com/style-202107-202107-1.html,8.17%,5,https://xl.16888.com/f/57412/history-202107-202107-1.html,36,https://xl.16888.com/level-7-202107-202107-1.html
2021-06,421,332,https://xl.16888.com/style-202106-202106-1.html,0.66%,12,https://xl.16888.com/f/57412/history-202106-202106-1.html,172,https://xl.16888.com/level-7-202106-202106-1.html
2021-05,13045,25,https://xl.16888.com/style-202105-202105-1.html,12.15%,3,https://xl.16888.com/f/57412/history-202105-202105-1.html,8,https://xl.16888.com/level-7-202105-202105-1.html
2021-04,13658,29,https://xl.16888.com/style-202104-202104-1.html,13.48%,3,https://xl.16888.com/f/57412/history-202104-202104-1.html,11,https://xl.16888.com/level-7-202104-202104-1.html
2021-03,18975,13,https://xl.16888.com/style-202103-202103-1.html,17.65%,2,https://xl.16888.com/f/57412/history-202103-202103-1.html,5,https://xl.16888.com/level-7-202103-202103-1.html
2021-02,9338,31,https://xl.16888.com/style-202102-202102-1.html,19.44%,3,https://xl.16888.com/f/57412/history-202102-202102-1.html,11,https://xl.16888.com/level-7-202102-202102-1.html
2021-01,6390,84,https://xl.16888.com/style-202101-202101-1.html,7.48%,3,https://xl.16888.com/f/57412/history-202101-202101-1.html,44,https://xl.16888.com/level-7-202101-202101-1.html
2020-12,22471,15,https://xl.16888.com/style-202012-202012-1.html,15.39%,2,https://xl.16888.com/f/57412/history-202012-202012-1.html,6,https://xl.16888.com/level-7-202012-202012-1.html
2020-11,18118,28,https://xl.16888.com/style-202011-202011-1.html,12.43%,3,https://xl.16888.com/f/57412/history-202011-202011-1.html,12,https://xl.16888.com/level-7-202011-202011-1.html
2020-10,18526,19,https://xl.16888.com/style-202010-202010-1.html,13.49%,2,https://xl.16888.com/f/57412/history-202010-202010-1.html,7,https://xl.16888.com/level-7-202010-202010-1.html
2020-09,17183,29,https://xl.16888.com/style-202009-202009-1.html,10.96%,4,https://xl.16888.com/f/57412/history-202009-202009-1.html,13,https://xl.16888.com/level-7-202009-202009-1.html
2020-08,13410,35,https://xl.16888.com/style-202008-202008-1.html,10.39%,3,https://xl.16888.com/f/57412/history-202008-202008-1.html,13,https://xl.16888.com/level-7-202008-202008-1.html
2020-07,17967,14,https://xl.16888.com/style-202007-202007-1.html,14.73%,2,https://xl.16888.com/f/57412/history-202007-202007-1.html,4,https://xl.16888.com/level-7-202007-202007-1.html
2020-06,15898,24,https://xl.16888.com/style-202006-202006-1.html,12.44%,4,https://xl.16888.com/f/57412/history-202006-202006-1.html,5,https://xl.16888.com/level-7-202006-202006-1.html
2020-05,14906,27,https://xl.16888.com/style-202005-202005-1.html,12.53%,4,https://xl.16888.com/f/57412/history-202005-202005-1.html,12,https://xl.16888.com/level-7-202005-202005-1.html
2020-04,14953,22,https://xl.16888.com/style-202004-202004-1.html,13.12%,3,https://xl.16888.com/f/57412/history-202004-202004-1.html,8,https://xl.16888.com/level-7-202004-202004-1.html
2020-03,4895,64,https://xl.16888.com/style-202003-202003-1.html,8.62%,4,https://xl.16888.com/f/57412/history-202003-202003-1.html,33,https://xl.16888.com/level-7-202003-202003-1.html
2020-02,749,90,https://xl.16888.com/style-202002-202002-1.html,8.92%,4,https://xl.16888.com/f/57412/history-202002-202002-1.html,44,https://xl.16888.com/level-7-202002-202002-1.html
2020-01,11132,41,https://xl.16888.com/style-202001-202001-1.html,10.58%,4,https://xl.16888.com/f/57412/history-202001-202001-1.html,19,https://xl.16888.com/level-7-202001-202001-1.html
2019-12,23689,14,https://xl.16888.com/style-201912-201912-1.html,11.52%,4,https://xl.16888.com/f/57412/history-201912-201912-1.html,4,https://xl.16888.com/level-7-201912-201912-1.html
2019-11,20843,16,https://xl.16888.com/style-201911-201911-1.html,11.78%,4,https://xl.16888.com/f/57412/history-201911-201911-1.html,6,https://xl.16888.com/level-7-201911-201911-1.html
2019-10,16952,19,https://xl.16888.com/style-201910-201910-1.html,11.98%,4,https://xl.16888.com/f/57412/history-201910-201910-1.html,7,https://xl.16888.com/level-7-201910-201910-1.html
2019-09,19492,17,https://xl.16888.com/style-201909-201909-1.html,12.82%,3,https://xl.16888.com/f/57412/history-201909-201909-1.html,6,https://xl.16888.com/level-7-201909-201909-1.html
2019-08,18624,13,https://xl.16888.com/style-201908-201908-1.html,14.61%,3,https://xl.16888.com/f/57412/history-201908-201908-1.html,4,https://xl.16888.com/level-7-201908-201908-1.html
2019-07,8500,51,https://xl.16888.com/style-201907-201907-1.html,6.87%,5,https://xl.16888.com/f/57412/history-201907-201907-1.html,21,https://xl.16888.com/level-7-201907-201907-1.html
2019-06,14167,24,https://xl.16888.com/style-201906-201906-1.html,10.65%,3,https://xl.16888.com/f/57412/history-201906-201906-1.html,6,https://xl.16888.com/level-7-201906-201906-1.html
2019-05,16703,10,https://xl.16888.com/style-201905-201905-1.html,12.65%,2,https://xl.16888.com/f/57412/history-201905-201905-1.html,2,https://xl.16888.com/level-7-201905-201905-1.html
2019-04,12798,24,https://xl.16888.com/style-201904-201904-1.html,10.39%,4,https://xl.16888.com/f/57412/history-201904-201904-1.html,5,https://xl.16888.com/level-7-201904-201904-1.html
2019-03,13938,37,https://xl.16888.com/style-201903-201903-1.html,9.52%,4,https://xl.16888.com/f/57412/history-201903-201903-1.html,11,https://xl.16888.com/level-7-201903-201903-1.html
2019-02,11948,17,https://xl.16888.com/style-201902-201902-1.html,12.28%,3,https://xl.16888.com/f/57412/history-201902-201902-1.html,5,https://xl.16888.com/level-7-201902-201902-1.html
2019-01,10841,57,https://xl.16888.com/style-201901-201901-1.html,6.49%,7,https://xl.16888.com/f/57412/history-201901-201901-1.html,23,https://xl.16888.com/level-7-201901-201901-1.html
2018-12,20184,16,https://xl.16888.com/style-201812-201812-1.html,14.45%,2,https://xl.16888.com/f/57412/history-201812-201812-1.html,5,https://xl.16888.com/level-7-201812-201812-1.html
2018-11,19793,17,https://xl.16888.com/style-201811-201811-1.html,12.11%,3,https://xl.16888.com/f/57412/history-201811-201811-1.html,4,https://xl.16888.com/level-7-201811-201811-1.html
2018-10,18422,18,https://xl.16888.com/style-201810-201810-1.html,12.37%,3,https://xl.16888.com/f/57412/history-201810-201810-1.html,8,https://xl.16888.com/level-7-201810-201810-1.html
2018-09,20117,18,https://xl.16888.com/style-201809-201809-1.html,12.98%,3,https://xl.16888.com/f/57412/history-201809-201809-1.html,5,https://xl.16888.com/level-7-201809-201809-1.html
2018-08,17894,18,https://xl.16888.com/style-201808-201808-1.html,14.07%,2,https://xl.16888.com/f/57412/history-201808-201808-1.html,5,https://xl.16888.com/level-7-201808-201808-1.html
2018-07,15655,20,https://xl.16888.com/style-201807-201807-1.html,12.37%,3,https://xl.16888.com/f/57412/history-201807-201807-1.html,8,https://xl.16888.com/level-7-201807-201807-1.html
2018-06,14453,28,https://xl.16888.com/style-201806-201806-1.html,9.86%,5,https://xl.16888.com/f/57412/history-201806-201806-1.html,8,https://xl.16888.com/level-7-201806-201806-1.html
2018-05,19727,15,https://xl.16888.com/style-201805-201805-1.html,14.10%,3,https://xl.16888.com/f/57412/history-201805-201805-1.html,5,https://xl.16888.com/level-7-201805-201805-1.html
2018-04,18854,18,https://xl.16888.com/style-201804-201804-1.html,14.36%,2,https://xl.16888.com/f/57412/history-201804-201804-1.html,6,https://xl.16888.com/level-7-201804-201804-1.html
2018-03,22180,13,https://xl.16888.com/style-201803-201803-1.html,14.50%,3,https://xl.16888.com/f/57412/history-201803-201803-1.html,4,https://xl.16888.com/level-7-201803-201803-1.html
2018-02,16649,15,https://xl.16888.com/style-201802-201802-1.html,16.22%,2,https://xl.16888.com/f/57412/history-201802-201802-1.html,6,https://xl.16888.com/level-7-201802-201802-1.html
