月份,月销量,月销量排名,月销量排名链接,占厂商份额,在厂商排名,厂商所有车型当月销量链接,在紧凑车排名,所有紧凑车当月销量链接
2021-11,1676,253,https://xl.16888.com/style-202111-202111-1.html,1.32%,13,https://xl.16888.com/f/57412/history-202111-202111-1.html,127,https://xl.16888.com/level-7-202111-202111-1.html
2021-10,507,353,https://xl.16888.com/style-202110-202110-1.html,0.45%,18,https://xl.16888.com/f/57412/history-202110-202110-1.html,184,https://xl.16888.com/level-7-202110-202110-1.html
2021-09,778,300,https://xl.16888.com/style-202109-202109-1.html,0.67%,16,https://xl.16888.com/f/57412/history-202109-202109-1.html,155,https://xl.16888.com/level-7-202109-202109-1.html
2021-08,296,365,https://xl.16888.com/style-202108-202108-1.html,0.25%,18,https://xl.16888.com/f/57412/history-202108-202108-1.html,186,https://xl.16888.com/level-7-202108-202108-1.html
2021-07,1,478,https://xl.16888.com/style-202107-202107-1.html,0.00%,18,https://xl.16888.com/f/57412/history-202107-202107-1.html,243,https://xl.16888.com/level-7-202107-202107-1.html
2021-06,21,463,https://xl.16888.com/style-202106-202106-1.html,0.03%,15,https://xl.16888.com/f/57412/history-202106-202106-1.html,246,https://xl.16888.com/level-7-202106-202106-1.html
2021-05,625,303,https://xl.16888.com/style-202105-202105-1.html,0.58%,14,https://xl.16888.com/f/57412/history-202105-202105-1.html,162,https://xl.16888.com/level-7-202105-202105-1.html
2021-04,786,292,https://xl.16888.com/style-202104-202104-1.html,0.78%,14,https://xl.16888.com/f/57412/history-202104-202104-1.html,156,https://xl.16888.com/level-7-202104-202104-1.html
2021-03,780,286,https://xl.16888.com/style-202103-202103-1.html,0.73%,14,https://xl.16888.com/f/57412/history-202103-202103-1.html,103,https://xl.16888.com/level-7-202103-202103-1.html
2021-02,153,347,https://xl.16888.com/style-202102-202102-1.html,0.32%,11,https://xl.16888.com/f/57412/history-202102-202102-1.html,176,https://xl.16888.com/level-7-202102-202102-1.html
2021-01,530,316,https://xl.16888.com/style-202101-202101-1.html,0.62%,11,https://xl.16888.com/f/57412/history-202101-202101-1.html,167,https://xl.16888.com/level-7-202101-202101-1.html
2020-12,2645,206,https://xl.16888.com/style-202012-202012-1.html,1.81%,12,https://xl.16888.com/f/57412/history-202012-202012-1.html,101,https://xl.16888.com/level-7-202012-202012-1.html
2020-11,1531,259,https://xl.16888.com/style-202011-202011-1.html,1.05%,12,https://xl.16888.com/f/57412/history-202011-202011-1.html,130,https://xl.16888.com/level-7-202011-202011-1.html
2020-10,969,298,https://xl.16888.com/style-202010-202010-1.html,0.71%,16,https://xl.16888.com/f/57412/history-202010-202010-1.html,151,https://xl.16888.com/level-7-202010-202010-1.html
2020-09,1112,272,https://xl.16888.com/style-202009-202009-1.html,0.71%,14,https://xl.16888.com/f/57412/history-202009-202009-1.html,138,https://xl.16888.com/level-7-202009-202009-1.html
2020-08,877,277,https://xl.16888.com/style-202008-202008-1.html,0.68%,14,https://xl.16888.com/f/57412/history-202008-202008-1.html,144,https://xl.16888.com/level-7-202008-202008-1.html
2020-07,983,261,https://xl.16888.com/style-202007-202007-1.html,0.81%,13,https://xl.16888.com/f/57412/history-202007-202007-1.html,96,https://xl.16888.com/level-7-202007-202007-1.html
2020-06,1446,227,https://xl.16888.com/style-202006-202006-1.html,1.13%,12,https://xl.16888.com/f/57412/history-202006-202006-1.html,73,https://xl.16888.com/level-7-202006-202006-1.html
2020-05,1004,273,https://xl.16888.com/style-202005-202005-1.html,0.84%,13,https://xl.16888.com/f/57412/history-202005-202005-1.html,133,https://xl.16888.com/level-7-202005-202005-1.html
2020-04,1035,240,https://xl.16888.com/style-202004-202004-1.html,0.91%,13,https://xl.16888.com/f/57412/history-202004-202004-1.html,112,https://xl.16888.com/level-7-202004-202004-1.html
2020-03,29,427,https://xl.16888.com/style-202003-202003-1.html,0.05%,14,https://xl.16888.com/f/57412/history-202003-202003-1.html,219,https://xl.16888.com/level-7-202003-202003-1.html
2020-02,5,381,https://xl.16888.com/style-202002-202002-1.html,0.06%,14,https://xl.16888.com/f/57412/history-202002-202002-1.html,198,https://xl.16888.com/level-7-202002-202002-1.html
2020-01,234,357,https://xl.16888.com/style-202001-202001-1.html,0.22%,14,https://xl.16888.com/f/57412/history-202001-202001-1.html,184,https://xl.16888.com/level-7-202001-202001-1.html
2019-12,543,357,https://xl.16888.com/style-201912-201912-1.html,0.26%,17,https://xl.16888.com/f/57412/history-201912-201912-1.html,177,https://xl.16888.com/level-7-201912-201912-1.html
2019-11,554,331,https://xl.16888.com/style-201911-201911-1.html,0.31%,14,https://xl.16888.com/f/57412/history-201911-201911-1.html,163,https://xl.16888.com/level-7-201911-201911-1.html
2019-10,695,303,https://xl.16888.com/style-201910-201910-1.html,0.49%,13,https://xl.16888.com/f/57412/history-201910-201910-1.html,153,https://xl.16888.com/level-7-201910-201910-1.html
2019-09,649,315,https://xl.16888.com/style-201909-201909-1.html,0.43%,15,https://xl.16888.com/f/57412/history-201909-201909-1.html,156,https://xl.16888.com/level-7-201909-201909-1.html
2019-08,587,322,https://xl.16888.com/style-201908-201908-1.html,0.46%,15,https://xl.16888.com/f/57412/history-201908-201908-1.html,163,https://xl.16888.com/level-7-201908-201908-1.html
2019-07,730,293,https://xl.16888.com/style-201907-201907-1.html,0.59%,15,https://xl.16888.com/f/57412/history-201907-201907-1.html,149,https://xl.16888.com/level-7-201907-201907-1.html
2019-06,1503,244,https://xl.16888.com/style-201906-201906-1.html,1.13%,13,https://xl.16888.com/f/57412/history-201906-201906-1.html,115,https://xl.16888.com/level-7-201906-201906-1.html
2019-05,1259,248,https://xl.16888.com/style-201905-201905-1.html,0.95%,13,https://xl.16888.com/f/57412/history-201905-201905-1.html,113,https://xl.16888.com/level-7-201905-201905-1.html
2019-04,1455,238,https://xl.16888.com/style-201904-201904-1.html,1.18%,13,https://xl.16888.com/f/57412/history-201904-201904-1.html,109,https://xl.16888.com/level-7-201904-201904-1.html
2019-03,1574,265,https://xl.16888.com/style-201903-201903-1.html,1.07%,11,https://xl.16888.com/f/57412/history-201903-201903-1.html,126,https://xl.16888.com/level-7-201903-201903-1.html
2019-02,849,260,https://xl.16888.com/style-201902-201902-1.html,0.87%,12,https://xl.16888.com/f/57412/history-201902-201902-1.html,130,https://xl.16888.com/level-7-201902-201902-1.html
2019-01,769,304,https://xl.16888.com/style-201901-201901-1.html,0.46%,14,https://xl.16888.com/f/57412/history-201901-201901-1.html,147,https://xl.16888.com/level-7-201901-201901-1.html
2018-12,1184,308,https://xl.16888.com/style-201812-201812-1.html,0.85%,12,https://xl.16888.com/f/57412/history-201812-201812-1.html,143,https://xl.16888.com/level-7-201812-201812-1.html
2018-11,1513,275,https://xl.16888.com/style-201811-201811-1.html,0.93%,13,https://xl.16888.com/f/57412/history-201811-201811-1.html,128,https://xl.16888.com/level-7-201811-201811-1.html
