月份,月销量,月销量排名,月销量排名链接,占厂商份额,在厂商排名,厂商所有车型当月销量链接,在紧凑车排名,所有紧凑车当月销量链接
2021-11,2976,190,https://xl.16888.com/style-202111-202111-1.html,2.34%,9,https://xl.16888.com/f/57412/history-202111-202111-1.html,96,https://xl.16888.com/level-7-202111-202111-1.html
2021-10,720,327,https://xl.16888.com/style-202110-202110-1.html,0.64%,16,https://xl.16888.com/f/57412/history-202110-202110-1.html,171,https://xl.16888.com/level-7-202110-202110-1.html
2021-09,1674,220,https://xl.16888.com/style-202109-202109-1.html,1.43%,9,https://xl.16888.com/f/57412/history-202109-202109-1.html,111,https://xl.16888.com/level-7-202109-202109-1.html
2021-08,2761,160,https://xl.16888.com/style-202108-202108-1.html,2.35%,9,https://xl.16888.com/f/57412/history-202108-202108-1.html,75,https://xl.16888.com/level-7-202108-202108-1.html
2021-07,5520,85,https://xl.16888.com/style-202107-202107-1.html,8.06%,6,https://xl.16888.com/f/57412/history-202107-202107-1.html,37,https://xl.16888.com/level-7-202107-202107-1.html
2021-06,4867,101,https://xl.16888.com/style-202106-202106-1.html,7.64%,4,https://xl.16888.com/f/57412/history-202106-202106-1.html,49,https://xl.16888.com/level-7-202106-202106-1.html
2021-05,2223,182,https://xl.16888.com/style-202105-202105-1.html,2.07%,9,https://xl.16888.com/f/57412/history-202105-202105-1.html,93,https://xl.16888.com/level-7-202105-202105-1.html
2021-04,2850,154,https://xl.16888.com/style-202104-202104-1.html,2.81%,8,https://xl.16888.com/f/57412/history-202104-202104-1.html,80,https://xl.16888.com/level-7-202104-202104-1.html
2021-03,1910,191,https://xl.16888.com/style-202103-202103-1.html,1.78%,10,https://xl.16888.com/f/57412/history-202103-202103-1.html,72,https://xl.16888.com/level-7-202103-202103-1.html
2021-02,343,294,https://xl.16888.com/style-202102-202102-1.html,0.71%,9,https://xl.16888.com/f/57412/history-202102-202102-1.html,152,https://xl.16888.com/level-7-202102-202102-1.html
2021-01,2590,165,https://xl.16888.com/style-202101-202101-1.html,3.03%,5,https://xl.16888.com/f/57412/history-202101-202101-1.html,85,https://xl.16888.com/level-7-202101-202101-1.html
2020-12,8113,79,https://xl.16888.com/style-202012-202012-1.html,5.56%,6,https://xl.16888.com/f/57412/history-202012-202012-1.html,37,https://xl.16888.com/level-7-202012-202012-1.html
2020-11,3205,167,https://xl.16888.com/style-202011-202011-1.html,2.20%,9,https://xl.16888.com/f/57412/history-202011-202011-1.html,81,https://xl.16888.com/level-7-202011-202011-1.html
2020-10,5097,110,https://xl.16888.com/style-202010-202010-1.html,3.71%,8,https://xl.16888.com/f/57412/history-202010-202010-1.html,55,https://xl.16888.com/level-7-202010-202010-1.html
2020-09,6918,84,https://xl.16888.com/style-202009-202009-1.html,4.41%,7,https://xl.16888.com/f/57412/history-202009-202009-1.html,42,https://xl.16888.com/level-7-202009-202009-1.html
2020-08,4699,106,https://xl.16888.com/style-202008-202008-1.html,3.64%,9,https://xl.16888.com/f/57412/history-202008-202008-1.html,54,https://xl.16888.com/level-7-202008-202008-1.html
2020-07,2193,169,https://xl.16888.com/style-202007-202007-1.html,1.80%,11,https://xl.16888.com/f/57412/history-202007-202007-1.html,57,https://xl.16888.com/level-7-202007-202007-1.html
2020-06,5309,98,https://xl.16888.com/style-202006-202006-1.html,4.15%,8,https://xl.16888.com/f/57412/history-202006-202006-1.html,35,https://xl.16888.com/level-7-202006-202006-1.html
2020-05,3542,129,https://xl.16888.com/style-202005-202005-1.html,2.98%,9,https://xl.16888.com/f/57412/history-202005-202005-1.html,64,https://xl.16888.com/level-7-202005-202005-1.html
2020-04,1354,219,https://xl.16888.com/style-202004-202004-1.html,1.19%,10,https://xl.16888.com/f/57412/history-202004-202004-1.html,102,https://xl.16888.com/level-7-202004-202004-1.html
2020-03,1034,204,https://xl.16888.com/style-202003-202003-1.html,1.82%,9,https://xl.16888.com/f/57412/history-202003-202003-1.html,100,https://xl.16888.com/level-7-202003-202003-1.html
2020-02,287,168,https://xl.16888.com/style-202002-202002-1.html,3.42%,8,https://xl.16888.com/f/57412/history-202002-202002-1.html,78,https://xl.16888.com/level-7-202002-202002-1.html
2020-01,2772,150,https://xl.16888.com/style-202001-202001-1.html,2.63%,8,https://xl.16888.com/f/57412/history-202001-202001-1.html,71,https://xl.16888.com/level-7-202001-202001-1.html
2019-12,10732,64,https://xl.16888.com/style-201912-201912-1.html,5.22%,7,https://xl.16888.com/f/57412/history-201912-201912-1.html,31,https://xl.16888.com/level-7-201912-201912-1.html
2019-11,7922,81,https://xl.16888.com/style-201911-201911-1.html,4.48%,8,https://xl.16888.com/f/57412/history-201911-201911-1.html,40,https://xl.16888.com/level-7-201911-201911-1.html
2019-10,7177,86,https://xl.16888.com/style-201910-201910-1.html,5.07%,7,https://xl.16888.com/f/57412/history-201910-201910-1.html,41,https://xl.16888.com/level-7-201910-201910-1.html
2019-09,7203,81,https://xl.16888.com/style-201909-201909-1.html,4.74%,7,https://xl.16888.com/f/57412/history-201909-201909-1.html,35,https://xl.16888.com/level-7-201909-201909-1.html
2019-08,6981,72,https://xl.16888.com/style-201908-201908-1.html,5.48%,7,https://xl.16888.com/f/57412/history-201908-201908-1.html,34,https://xl.16888.com/level-7-201908-201908-1.html
2019-07,5833,78,https://xl.16888.com/style-201907-201907-1.html,4.71%,6,https://xl.16888.com/f/57412/history-201907-201907-1.html,35,https://xl.16888.com/level-7-201907-201907-1.html
2019-06,5230,95,https://xl.16888.com/style-201906-201906-1.html,3.93%,9,https://xl.16888.com/f/57412/history-201906-201906-1.html,41,https://xl.16888.com/level-7-201906-201906-1.html
2019-05,5768,79,https://xl.16888.com/style-201905-201905-1.html,4.37%,8,https://xl.16888.com/f/57412/history-201905-201905-1.html,33,https://xl.16888.com/level-7-201905-201905-1.html
2019-04,3719,137,https://xl.16888.com/style-201904-201904-1.html,3.02%,10,https://xl.16888.com/f/57412/history-201904-201904-1.html,58,https://xl.16888.com/level-7-201904-201904-1.html
