月份,月销量,月销量排名,月销量排名链接,占厂商份额,在厂商排名,厂商所有车型当月销量链接,在紧凑车排名,所有紧凑车当月销量链接
2021-11,6521,99,https://xl.16888.com/style-202111-202111-1.html,6.71%,6,https://xl.16888.com/f/57329/history-202111-202111-1.html,50,https://xl.16888.com/level-7-202111-202111-1.html
2021-10,6507,91,https://xl.16888.com/style-202110-202110-1.html,7.32%,6,https://xl.16888.com/f/57329/history-202110-202110-1.html,45,https://xl.16888.com/level-7-202110-202110-1.html
2021-09,5372,93,https://xl.16888.com/style-202109-202109-1.html,6.80%,6,https://xl.16888.com/f/57329/history-202109-202109-1.html,44,https://xl.16888.com/level-7-202109-202109-1.html
2021-08,--,--,https://xl.16888.com/style-202108-202108-1.html,--,--,https://xl.16888.com/f/57329/history-202108-202108-1.html,--,https://xl.16888.com/level-7-202108-202108-1.html
2021-07,4255,--,https://xl.16888.com/style-202107-202107-1.html,0.00%,5,https://xl.16888.com/f/57329/history-202107-202107-1.html,351,https://xl.16888.com/level-7-202107-202107-1.html
2021-06,1238,244,https://xl.16888.com/style-202106-202106-1.html,2.49%,9,https://xl.16888.com/f/57329/history-202106-202106-1.html,127,https://xl.16888.com/level-7-202106-202106-1.html
2021-05,373,347,https://xl.16888.com/style-202105-202105-1.html,0.83%,12,https://xl.16888.com/f/57329/history-202105-202105-1.html,186,https://xl.16888.com/level-7-202105-202105-1.html
2021-04,1997,187,https://xl.16888.com/style-202104-202104-1.html,4.48%,7,https://xl.16888.com/f/57329/history-202104-202104-1.html,99,https://xl.16888.com/level-7-202104-202104-1.html
2021-03,926,272,https://xl.16888.com/style-202103-202103-1.html,2.49%,11,https://xl.16888.com/f/57329/history-202103-202103-1.html,99,https://xl.16888.com/level-7-202103-202103-1.html
2021-02,361,285,https://xl.16888.com/style-202102-202102-1.html,1.85%,10,https://xl.16888.com/f/57329/history-202102-202102-1.html,149,https://xl.16888.com/level-7-202102-202102-1.html
2021-01,493,322,https://xl.16888.com/style-202101-202101-1.html,1.17%,12,https://xl.16888.com/f/57329/history-202101-202101-1.html,170,https://xl.16888.com/level-7-202101-202101-1.html
2020-12,1062,307,https://xl.16888.com/style-202012-202012-1.html,1.93%,11,https://xl.16888.com/f/57329/history-202012-202012-1.html,157,https://xl.16888.com/level-7-202012-202012-1.html
2020-11,1260,273,https://xl.16888.com/style-202011-202011-1.html,2.39%,10,https://xl.16888.com/f/57329/history-202011-202011-1.html,140,https://xl.16888.com/level-7-202011-202011-1.html
2020-10,1112,283,https://xl.16888.com/style-202010-202010-1.html,2.39%,11,https://xl.16888.com/f/57329/history-202010-202010-1.html,141,https://xl.16888.com/level-7-202010-202010-1.html
2020-09,1066,273,https://xl.16888.com/style-202009-202009-1.html,2.61%,11,https://xl.16888.com/f/57329/history-202009-202009-1.html,139,https://xl.16888.com/level-7-202009-202009-1.html
2020-08,1015,263,https://xl.16888.com/style-202008-202008-1.html,3.38%,13,https://xl.16888.com/f/57329/history-202008-202008-1.html,137,https://xl.16888.com/level-7-202008-202008-1.html
2020-07,1801,196,https://xl.16888.com/style-202007-202007-1.html,6.46%,6,https://xl.16888.com/f/57329/history-202007-202007-1.html,68,https://xl.16888.com/level-7-202007-202007-1.html
2020-06,1737,210,https://xl.16888.com/style-202006-202006-1.html,5.47%,5,https://xl.16888.com/f/57329/history-202006-202006-1.html,68,https://xl.16888.com/level-7-202006-202006-1.html
2020-05,1714,214,https://xl.16888.com/style-202005-202005-1.html,6.00%,4,https://xl.16888.com/f/57329/history-202005-202005-1.html,101,https://xl.16888.com/level-7-202005-202005-1.html
2020-04,1591,203,https://xl.16888.com/style-202004-202004-1.html,5.12%,4,https://xl.16888.com/f/57329/history-202004-202004-1.html,98,https://xl.16888.com/level-7-202004-202004-1.html
2020-03,2009,136,https://xl.16888.com/style-202003-202003-1.html,6.99%,3,https://xl.16888.com/f/57329/history-202003-202003-1.html,68,https://xl.16888.com/level-7-202003-202003-1.html
2020-02,505,118,https://xl.16888.com/style-202002-202002-1.html,9.72%,4,https://xl.16888.com/f/57329/history-202002-202002-1.html,58,https://xl.16888.com/level-7-202002-202002-1.html
2020-01,1434,214,https://xl.16888.com/style-202001-202001-1.html,5.58%,4,https://xl.16888.com/f/57329/history-202001-202001-1.html,104,https://xl.16888.com/level-7-202001-202001-1.html
2019-12,1434,267,https://xl.16888.com/style-201912-201912-1.html,3.66%,9,https://xl.16888.com/f/57329/history-201912-201912-1.html,123,https://xl.16888.com/level-7-201912-201912-1.html
2019-11,2412,206,https://xl.16888.com/style-201911-201911-1.html,6.00%,5,https://xl.16888.com/f/57329/history-201911-201911-1.html,95,https://xl.16888.com/level-7-201911-201911-1.html
2019-10,3072,179,https://xl.16888.com/style-201910-201910-1.html,7.36%,6,https://xl.16888.com/f/57329/history-201910-201910-1.html,83,https://xl.16888.com/level-7-201910-201910-1.html
2019-09,3051,175,https://xl.16888.com/style-201909-201909-1.html,7.65%,4,https://xl.16888.com/f/57329/history-201909-201909-1.html,81,https://xl.16888.com/level-7-201909-201909-1.html
2019-08,4127,133,https://xl.16888.com/style-201908-201908-1.html,11.85%,3,https://xl.16888.com/f/57329/history-201908-201908-1.html,59,https://xl.16888.com/level-7-201908-201908-1.html
2019-07,4320,114,https://xl.16888.com/style-201907-201907-1.html,15.50%,3,https://xl.16888.com/f/57329/history-201907-201907-1.html,54,https://xl.16888.com/level-7-201907-201907-1.html
2019-06,6566,76,https://xl.16888.com/style-201906-201906-1.html,17.62%,2,https://xl.16888.com/f/57329/history-201906-201906-1.html,33,https://xl.16888.com/level-7-201906-201906-1.html
2019-05,6044,74,https://xl.16888.com/style-201905-201905-1.html,18.94%,1,https://xl.16888.com/f/57329/history-201905-201905-1.html,31,https://xl.16888.com/level-7-201905-201905-1.html
2019-04,6428,78,https://xl.16888.com/style-201904-201904-1.html,18.41%,2,https://xl.16888.com/f/57329/history-201904-201904-1.html,35,https://xl.16888.com/level-7-201904-201904-1.html
2019-03,10021,58,https://xl.16888.com/style-201903-201903-1.html,22.58%,1,https://xl.16888.com/f/57329/history-201903-201903-1.html,24,https://xl.16888.com/level-7-201903-201903-1.html
2019-02,4332,93,https://xl.16888.com/style-201902-201902-1.html,16.40%,2,https://xl.16888.com/f/57329/history-201902-201902-1.html,43,https://xl.16888.com/level-7-201902-201902-1.html
2019-01,10093,67,https://xl.16888.com/style-201901-201901-1.html,23.33%,1,https://xl.16888.com/f/57329/history-201901-201901-1.html,30,https://xl.16888.com/level-7-201901-201901-1.html
2018-12,8021,99,https://xl.16888.com/style-201812-201812-1.html,13.37%,4,https://xl.16888.com/f/57329/history-201812-201812-1.html,44,https://xl.16888.com/level-7-201812-201812-1.html
2018-11,6188,105,https://xl.16888.com/style-201811-201811-1.html,12.46%,4,https://xl.16888.com/f/57329/history-201811-201811-1.html,45,https://xl.16888.com/level-7-201811-201811-1.html
2018-10,5803,107,https://xl.16888.com/style-201810-201810-1.html,12.37%,4,https://xl.16888.com/f/57329/history-201810-201810-1.html,49,https://xl.16888.com/level-7-201810-201810-1.html
2018-09,5008,124,https://xl.16888.com/style-201809-201809-1.html,11.12%,4,https://xl.16888.com/f/57329/history-201809-201809-1.html,56,https://xl.16888.com/level-7-201809-201809-1.html
2018-08,4487,115,https://xl.16888.com/style-201808-201808-1.html,10.98%,5,https://xl.16888.com/f/57329/history-201808-201808-1.html,50,https://xl.16888.com/level-7-201808-201808-1.html
2018-07,4174,111,https://xl.16888.com/style-201807-201807-1.html,11.37%,3,https://xl.16888.com/f/57329/history-201807-201807-1.html,48,https://xl.16888.com/level-7-201807-201807-1.html
2018-06,2018,211,https://xl.16888.com/style-201806-201806-1.html,5.49%,7,https://xl.16888.com/f/57329/history-201806-201806-1.html,93,https://xl.16888.com/level-7-201806-201806-1.html
