月份,月销量,月销量排名,月销量排名链接,占厂商份额,在厂商排名,厂商所有车型当月销量链接,在紧凑车排名,所有紧凑车当月销量链接
2021-11,--,--,https://xl.16888.com/style-202111-202111-1.html,--,--,https://xl.16888.com/f/57329/history-202111-202111-1.html,--,https://xl.16888.com/level-7-202111-202111-1.html
2021-10,--,--,https://xl.16888.com/style-202110-202110-1.html,--,--,https://xl.16888.com/f/57329/history-202110-202110-1.html,--,https://xl.16888.com/level-7-202110-202110-1.html
2021-09,--,--,https://xl.16888.com/style-202109-202109-1.html,--,--,https://xl.16888.com/f/57329/history-202109-202109-1.html,--,https://xl.16888.com/level-7-202109-202109-1.html
2021-08,--,--,https://xl.16888.com/style-202108-202108-1.html,--,--,https://xl.16888.com/f/57329/history-202108-202108-1.html,--,https://xl.16888.com/level-7-202108-202108-1.html
2021-07,--,--,https://xl.16888.com/style-202107-202107-1.html,--,--,https://xl.16888.com/f/57329/history-202107-202107-1.html,--,https://xl.16888.com/level-7-202107-202107-1.html
2021-06,--,--,https://xl.16888.com/style-202106-202106-1.html,--,--,https://xl.16888.com/f/57329/history-202106-202106-1.html,--,https://xl.16888.com/level-7-202106-202106-1.html
2021-05,--,--,https://xl.16888.com/style-202105-202105-1.html,--,--,https://xl.16888.com/f/57329/history-202105-202105-1.html,--,https://xl.16888.com/level-7-202105-202105-1.html
2021-04,128,407,https://xl.16888.com/style-202104-202104-1.html,0.29%,14,https://xl.16888.com/f/57329/history-202104-202104-1.html,215,https://xl.16888.com/level-7-202104-202104-1.html
2021-03,216,376,https://xl.16888.com/style-202103-202103-1.html,0.58%,14,https://xl.16888.com/f/57329/history-202103-202103-1.html,138,https://xl.16888.com/level-7-202103-202103-1.html
2021-02,144,350,https://xl.16888.com/style-202102-202102-1.html,0.74%,13,https://xl.16888.com/f/57329/history-202102-202102-1.html,178,https://xl.16888.com/level-7-202102-202102-1.html
2021-01,502,321,https://xl.16888.com/style-202101-202101-1.html,1.19%,11,https://xl.16888.com/f/57329/history-202101-202101-1.html,169,https://xl.16888.com/level-7-202101-202101-1.html
2020-12,1081,306,https://xl.16888.com/style-202012-202012-1.html,1.96%,10,https://xl.16888.com/f/57329/history-202012-202012-1.html,156,https://xl.16888.com/level-7-202012-202012-1.html
2020-11,965,299,https://xl.16888.com/style-202011-202011-1.html,1.83%,12,https://xl.16888.com/f/57329/history-202011-202011-1.html,152,https://xl.16888.com/level-7-202011-202011-1.html
2020-10,1175,277,https://xl.16888.com/style-202010-202010-1.html,2.52%,10,https://xl.16888.com/f/57329/history-202010-202010-1.html,140,https://xl.16888.com/level-7-202010-202010-1.html
2020-09,2039,212,https://xl.16888.com/style-202009-202009-1.html,4.98%,8,https://xl.16888.com/f/57329/history-202009-202009-1.html,105,https://xl.16888.com/level-7-202009-202009-1.html
2020-08,1653,212,https://xl.16888.com/style-202008-202008-1.html,5.51%,6,https://xl.16888.com/f/57329/history-202008-202008-1.html,110,https://xl.16888.com/level-7-202008-202008-1.html
2020-07,1007,257,https://xl.16888.com/style-202007-202007-1.html,3.61%,9,https://xl.16888.com/f/57329/history-202007-202007-1.html,95,https://xl.16888.com/level-7-202007-202007-1.html
2020-06,1182,247,https://xl.16888.com/style-202006-202006-1.html,3.72%,8,https://xl.16888.com/f/57329/history-202006-202006-1.html,86,https://xl.16888.com/level-7-202006-202006-1.html
2020-05,1176,255,https://xl.16888.com/style-202005-202005-1.html,4.12%,9,https://xl.16888.com/f/57329/history-202005-202005-1.html,121,https://xl.16888.com/level-7-202005-202005-1.html
2020-04,874,255,https://xl.16888.com/style-202004-202004-1.html,2.81%,9,https://xl.16888.com/f/57329/history-202004-202004-1.html,120,https://xl.16888.com/level-7-202004-202004-1.html
2020-03,1399,178,https://xl.16888.com/style-202003-202003-1.html,4.86%,7,https://xl.16888.com/f/57329/history-202003-202003-1.html,86,https://xl.16888.com/level-7-202003-202003-1.html
2020-02,204,200,https://xl.16888.com/style-202002-202002-1.html,3.93%,9,https://xl.16888.com/f/57329/history-202002-202002-1.html,96,https://xl.16888.com/level-7-202002-202002-1.html
2020-01,1236,229,https://xl.16888.com/style-202001-202001-1.html,4.81%,6,https://xl.16888.com/f/57329/history-202001-202001-1.html,114,https://xl.16888.com/level-7-202001-202001-1.html
2019-12,2037,226,https://xl.16888.com/style-201912-201912-1.html,5.20%,4,https://xl.16888.com/f/57329/history-201912-201912-1.html,102,https://xl.16888.com/level-7-201912-201912-1.html
2019-11,2014,222,https://xl.16888.com/style-201911-201911-1.html,5.01%,6,https://xl.16888.com/f/57329/history-201911-201911-1.html,106,https://xl.16888.com/level-7-201911-201911-1.html
