月份,月销量,月销量排名,月销量排名链接,占厂商份额,在厂商排名,厂商所有车型当月销量链接,在紧凑车排名,所有紧凑车当月销量链接
2021-11,8125,82,https://xl.16888.com/style-202111-202111-1.html,8.36%,5,https://xl.16888.com/f/57329/history-202111-202111-1.html,40,https://xl.16888.com/level-7-202111-202111-1.html
2021-10,6862,89,https://xl.16888.com/style-202110-202110-1.html,7.72%,5,https://xl.16888.com/f/57329/history-202110-202110-1.html,43,https://xl.16888.com/level-7-202110-202110-1.html
2021-09,6254,85,https://xl.16888.com/style-202109-202109-1.html,7.91%,5,https://xl.16888.com/f/57329/history-202109-202109-1.html,41,https://xl.16888.com/level-7-202109-202109-1.html
2021-08,6240,79,https://xl.16888.com/style-202108-202108-1.html,9.93%,4,https://xl.16888.com/f/57329/history-202108-202108-1.html,36,https://xl.16888.com/level-7-202108-202108-1.html
2021-07,4676,100,https://xl.16888.com/style-202107-202107-1.html,8.21%,3,https://xl.16888.com/f/57329/history-202107-202107-1.html,45,https://xl.16888.com/level-7-202107-202107-1.html
2021-06,3139,142,https://xl.16888.com/style-202106-202106-1.html,6.31%,6,https://xl.16888.com/f/57329/history-202106-202106-1.html,70,https://xl.16888.com/level-7-202106-202106-1.html
2021-05,2301,178,https://xl.16888.com/style-202105-202105-1.html,5.09%,7,https://xl.16888.com/f/57329/history-202105-202105-1.html,91,https://xl.16888.com/level-7-202105-202105-1.html
2021-04,1508,216,https://xl.16888.com/style-202104-202104-1.html,3.38%,8,https://xl.16888.com/f/57329/history-202104-202104-1.html,113,https://xl.16888.com/level-7-202104-202104-1.html
2021-03,1891,194,https://xl.16888.com/style-202103-202103-1.html,5.08%,6,https://xl.16888.com/f/57329/history-202103-202103-1.html,74,https://xl.16888.com/level-7-202103-202103-1.html
2021-02,1169,180,https://xl.16888.com/style-202102-202102-1.html,5.99%,6,https://xl.16888.com/f/57329/history-202102-202102-1.html,88,https://xl.16888.com/level-7-202102-202102-1.html
2021-01,2049,195,https://xl.16888.com/style-202101-202101-1.html,4.87%,4,https://xl.16888.com/f/57329/history-202101-202101-1.html,104,https://xl.16888.com/level-7-202101-202101-1.html
2020-12,3618,162,https://xl.16888.com/style-202012-202012-1.html,6.57%,4,https://xl.16888.com/f/57329/history-202012-202012-1.html,81,https://xl.16888.com/level-7-202012-202012-1.html
2020-11,3007,177,https://xl.16888.com/style-202011-202011-1.html,5.69%,5,https://xl.16888.com/f/57329/history-202011-202011-1.html,86,https://xl.16888.com/level-7-202011-202011-1.html
2020-10,3721,145,https://xl.16888.com/style-202010-202010-1.html,7.99%,4,https://xl.16888.com/f/57329/history-202010-202010-1.html,69,https://xl.16888.com/level-7-202010-202010-1.html
2020-09,3046,162,https://xl.16888.com/style-202009-202009-1.html,7.45%,5,https://xl.16888.com/f/57329/history-202009-202009-1.html,81,https://xl.16888.com/level-7-202009-202009-1.html
2020-08,1635,214,https://xl.16888.com/style-202008-202008-1.html,5.45%,7,https://xl.16888.com/f/57329/history-202008-202008-1.html,111,https://xl.16888.com/level-7-202008-202008-1.html
2020-07,1594,211,https://xl.16888.com/style-202007-202007-1.html,5.72%,7,https://xl.16888.com/f/57329/history-202007-202007-1.html,74,https://xl.16888.com/level-7-202007-202007-1.html
2020-06,1455,225,https://xl.16888.com/style-202006-202006-1.html,4.58%,7,https://xl.16888.com/f/57329/history-202006-202006-1.html,71,https://xl.16888.com/level-7-202006-202006-1.html
2020-05,1366,239,https://xl.16888.com/style-202005-202005-1.html,4.79%,8,https://xl.16888.com/f/57329/history-202005-202005-1.html,113,https://xl.16888.com/level-7-202005-202005-1.html
2020-04,1122,234,https://xl.16888.com/style-202004-202004-1.html,3.61%,8,https://xl.16888.com/f/57329/history-202004-202004-1.html,108,https://xl.16888.com/level-7-202004-202004-1.html
2020-03,807,228,https://xl.16888.com/style-202003-202003-1.html,2.81%,10,https://xl.16888.com/f/57329/history-202003-202003-1.html,125,https://xl.16888.com/level-7-202003-202003-1.html
2020-02,121,234,https://xl.16888.com/style-202002-202002-1.html,2.33%,10,https://xl.16888.com/f/57329/history-202002-202002-1.html,120,https://xl.16888.com/level-7-202002-202002-1.html
2020-01,1005,249,https://xl.16888.com/style-202001-202001-1.html,3.91%,9,https://xl.16888.com/f/57329/history-202001-202001-1.html,124,https://xl.16888.com/level-7-202001-202001-1.html
2019-12,1150,290,https://xl.16888.com/style-201912-201912-1.html,2.94%,11,https://xl.16888.com/f/57329/history-201912-201912-1.html,147,https://xl.16888.com/level-7-201912-201912-1.html
2019-11,1130,279,https://xl.16888.com/style-201911-201911-1.html,2.81%,9,https://xl.16888.com/f/57329/history-201911-201911-1.html,138,https://xl.16888.com/level-7-201911-201911-1.html
2019-10,2016,222,https://xl.16888.com/style-201910-201910-1.html,4.83%,8,https://xl.16888.com/f/57329/history-201910-201910-1.html,108,https://xl.16888.com/level-7-201910-201910-1.html
2019-09,2215,207,https://xl.16888.com/style-201909-201909-1.html,5.55%,7,https://xl.16888.com/f/57329/history-201909-201909-1.html,106,https://xl.16888.com/level-7-201909-201909-1.html
2019-08,2208,199,https://xl.16888.com/style-201908-201908-1.html,6.34%,7,https://xl.16888.com/f/57329/history-201908-201908-1.html,109,https://xl.16888.com/level-7-201908-201908-1.html
2019-07,2670,167,https://xl.16888.com/style-201907-201907-1.html,9.58%,5,https://xl.16888.com/f/57329/history-201907-201907-1.html,95,https://xl.16888.com/level-7-201907-201907-1.html
2019-06,3755,152,https://xl.16888.com/style-201906-201906-1.html,10.08%,5,https://xl.16888.com/f/57329/history-201906-201906-1.html,75,https://xl.16888.com/level-7-201906-201906-1.html
2019-05,3519,141,https://xl.16888.com/style-201905-201905-1.html,11.03%,4,https://xl.16888.com/f/57329/history-201905-201905-1.html,80,https://xl.16888.com/level-7-201905-201905-1.html
2019-04,5484,99,https://xl.16888.com/style-201904-201904-1.html,15.71%,3,https://xl.16888.com/f/57329/history-201904-201904-1.html,54,https://xl.16888.com/level-7-201904-201904-1.html
2019-03,6357,103,https://xl.16888.com/style-201903-201903-1.html,14.32%,4,https://xl.16888.com/f/57329/history-201903-201903-1.html,59,https://xl.16888.com/level-7-201903-201903-1.html
2019-02,3216,120,https://xl.16888.com/style-201902-201902-1.html,12.18%,4,https://xl.16888.com/f/57329/history-201902-201902-1.html,58,https://xl.16888.com/level-7-201902-201902-1.html
2019-01,6908,96,https://xl.16888.com/style-201901-201901-1.html,15.97%,2,https://xl.16888.com/f/57329/history-201901-201901-1.html,48,https://xl.16888.com/level-7-201901-201901-1.html
2018-12,6807,112,https://xl.16888.com/style-201812-201812-1.html,11.35%,5,https://xl.16888.com/f/57329/history-201812-201812-1.html,51,https://xl.16888.com/level-7-201812-201812-1.html
