月份,月销量,月销量排名,月销量排名链接,占厂商份额,在厂商排名,厂商所有车型当月销量链接,在紧凑车排名,所有紧凑车当月销量链接
2021-11,5371,118,https://xl.16888.com/style-202111-202111-1.html,5.52%,7,https://xl.16888.com/f/57329/history-202111-202111-1.html,59,https://xl.16888.com/level-7-202111-202111-1.html
2021-10,7019,88,https://xl.16888.com/style-202110-202110-1.html,7.90%,4,https://xl.16888.com/f/57329/history-202110-202110-1.html,42,https://xl.16888.com/level-7-202110-202110-1.html
2021-09,6634,15,https://xl.16888.com/style-202109-202109-1.html,21.40%,4,https://xl.16888.com/f/57329/history-202109-202109-1.html,5,https://xl.16888.com/level-7-202109-202109-1.html
2021-08,5386,88,https://xl.16888.com/style-202108-202108-1.html,8.57%,5,https://xl.16888.com/f/57329/history-202108-202108-1.html,42,https://xl.16888.com/level-7-202108-202108-1.html
2021-07,4556,105,https://xl.16888.com/style-202107-202107-1.html,8.00%,4,https://xl.16888.com/f/57329/history-202107-202107-1.html,48,https://xl.16888.com/level-7-202107-202107-1.html
2021-06,6930,64,https://xl.16888.com/style-202106-202106-1.html,13.93%,4,https://xl.16888.com/f/57329/history-202106-202106-1.html,33,https://xl.16888.com/level-7-202106-202106-1.html
2021-05,9291,49,https://xl.16888.com/style-202105-202105-1.html,20.57%,1,https://xl.16888.com/f/57329/history-202105-202105-1.html,22,https://xl.16888.com/level-7-202105-202105-1.html
2021-04,12876,34,https://xl.16888.com/style-202104-202104-1.html,28.87%,1,https://xl.16888.com/f/57329/history-202104-202104-1.html,14,https://xl.16888.com/level-7-202104-202104-1.html
2021-03,10125,51,https://xl.16888.com/style-202103-202103-1.html,27.23%,2,https://xl.16888.com/f/57329/history-202103-202103-1.html,20,https://xl.16888.com/level-7-202103-202103-1.html
2021-02,6025,57,https://xl.16888.com/style-202102-202102-1.html,30.85%,2,https://xl.16888.com/f/57329/history-202102-202102-1.html,26,https://xl.16888.com/level-7-202102-202102-1.html
2021-01,14595,40,https://xl.16888.com/style-202101-202101-1.html,34.67%,2,https://xl.16888.com/f/57329/history-202101-202101-1.html,16,https://xl.16888.com/level-7-202101-202101-1.html
2020-12,19423,25,https://xl.16888.com/style-202012-202012-1.html,35.27%,2,https://xl.16888.com/f/57329/history-202012-202012-1.html,12,https://xl.16888.com/level-7-202012-202012-1.html
2020-11,19096,25,https://xl.16888.com/style-202011-202011-1.html,36.16%,1,https://xl.16888.com/f/57329/history-202011-202011-1.html,11,https://xl.16888.com/level-7-202011-202011-1.html
2020-10,15657,29,https://xl.16888.com/style-202010-202010-1.html,33.63%,1,https://xl.16888.com/f/57329/history-202010-202010-1.html,12,https://xl.16888.com/level-7-202010-202010-1.html
2020-09,12860,49,https://xl.16888.com/style-202009-202009-1.html,31.44%,1,https://xl.16888.com/f/57329/history-202009-202009-1.html,22,https://xl.16888.com/level-7-202009-202009-1.html
2020-08,2067,183,https://xl.16888.com/style-202008-202008-1.html,6.88%,5,https://xl.16888.com/f/57329/history-202008-202008-1.html,93,https://xl.16888.com/level-7-202008-202008-1.html
2020-07,2040,183,https://xl.16888.com/style-202007-202007-1.html,7.31%,5,https://xl.16888.com/f/57329/history-202007-202007-1.html,62,https://xl.16888.com/level-7-202007-202007-1.html
2020-06,2384,174,https://xl.16888.com/style-202006-202006-1.html,7.51%,3,https://xl.16888.com/f/57329/history-202006-202006-1.html,57,https://xl.16888.com/level-7-202006-202006-1.html
2020-05,2347,171,https://xl.16888.com/style-202005-202005-1.html,8.22%,3,https://xl.16888.com/f/57329/history-202005-202005-1.html,81,https://xl.16888.com/level-7-202005-202005-1.html
2020-04,2176,166,https://xl.16888.com/style-202004-202004-1.html,7.00%,3,https://xl.16888.com/f/57329/history-202004-202004-1.html,77,https://xl.16888.com/level-7-202004-202004-1.html
2020-03,1109,198,https://xl.16888.com/style-202003-202003-1.html,3.86%,9,https://xl.16888.com/f/57329/history-202003-202003-1.html,95,https://xl.16888.com/level-7-202003-202003-1.html
2020-02,--,--,https://xl.16888.com/style-202002-202002-1.html,--,--,https://xl.16888.com/f/57329/history-202002-202002-1.html,--,https://xl.16888.com/level-7-202002-202002-1.html
2020-01,--,--,https://xl.16888.com/style-202001-202001-1.html,--,--,https://xl.16888.com/f/57329/history-202001-202001-1.html,--,https://xl.16888.com/level-7-202001-202001-1.html
2019-12,--,--,https://xl.16888.com/style-201912-201912-1.html,--,--,https://xl.16888.com/f/57329/history-201912-201912-1.html,--,https://xl.16888.com/level-7-201912-201912-1.html
2019-11,--,--,https://xl.16888.com/style-201911-201911-1.html,--,--,https://xl.16888.com/f/57329/history-201911-201911-1.html,--,https://xl.16888.com/level-7-201911-201911-1.html
2019-10,--,--,https://xl.16888.com/style-201910-201910-1.html,--,--,https://xl.16888.com/f/57329/history-201910-201910-1.html,--,https://xl.16888.com/level-7-201910-201910-1.html
2019-09,--,--,https://xl.16888.com/style-201909-201909-1.html,--,--,https://xl.16888.com/f/57329/history-201909-201909-1.html,--,https://xl.16888.com/level-7-201909-201909-1.html
2019-08,--,--,https://xl.16888.com/style-201908-201908-1.html,--,--,https://xl.16888.com/f/57329/history-201908-201908-1.html,--,https://xl.16888.com/level-7-201908-201908-1.html
2019-07,--,--,https://xl.16888.com/style-201907-201907-1.html,--,--,https://xl.16888.com/f/57329/history-201907-201907-1.html,--,https://xl.16888.com/level-7-201907-201907-1.html
2019-06,696,320,https://xl.16888.com/style-201906-201906-1.html,1.87%,12,https://xl.16888.com/f/57329/history-201906-201906-1.html,152,https://xl.16888.com/level-7-201906-201906-1.html
2019-05,383,347,https://xl.16888.com/style-201905-201905-1.html,1.20%,11,https://xl.16888.com/f/57329/history-201905-201905-1.html,160,https://xl.16888.com/level-7-201905-201905-1.html
2019-04,546,319,https://xl.16888.com/style-201904-201904-1.html,1.56%,11,https://xl.16888.com/f/57329/history-201904-201904-1.html,149,https://xl.16888.com/level-7-201904-201904-1.html
2019-03,1504,270,https://xl.16888.com/style-201903-201903-1.html,3.39%,9,https://xl.16888.com/f/57329/history-201903-201903-1.html,131,https://xl.16888.com/level-7-201903-201903-1.html
2019-02,1009,239,https://xl.16888.com/style-201902-201902-1.html,3.82%,9,https://xl.16888.com/f/57329/history-201902-201902-1.html,118,https://xl.16888.com/level-7-201902-201902-1.html
2019-01,1866,218,https://xl.16888.com/style-201901-201901-1.html,4.31%,9,https://xl.16888.com/f/57329/history-201901-201901-1.html,109,https://xl.16888.com/level-7-201901-201901-1.html
2018-12,3521,177,https://xl.16888.com/style-201812-201812-1.html,5.87%,9,https://xl.16888.com/f/57329/history-201812-201812-1.html,86,https://xl.16888.com/level-7-201812-201812-1.html
2018-11,3346,186,https://xl.16888.com/style-201811-201811-1.html,6.74%,8,https://xl.16888.com/f/57329/history-201811-201811-1.html,84,https://xl.16888.com/level-7-201811-201811-1.html
2018-10,3219,187,https://xl.16888.com/style-201810-201810-1.html,6.86%,8,https://xl.16888.com/f/57329/history-201810-201810-1.html,84,https://xl.16888.com/level-7-201810-201810-1.html
2018-09,3157,177,https://xl.16888.com/style-201809-201809-1.html,7.01%,7,https://xl.16888.com/f/57329/history-201809-201809-1.html,79,https://xl.16888.com/level-7-201809-201809-1.html
2018-08,1057,266,https://xl.16888.com/style-201808-201808-1.html,2.59%,9,https://xl.16888.com/f/57329/history-201808-201808-1.html,129,https://xl.16888.com/level-7-201808-201808-1.html
2018-07,1046,252,https://xl.16888.com/style-201807-201807-1.html,2.85%,9,https://xl.16888.com/f/57329/history-201807-201807-1.html,116,https://xl.16888.com/level-7-201807-201807-1.html
2018-06,2623,183,https://xl.16888.com/style-201806-201806-1.html,7.13%,6,https://xl.16888.com/f/57329/history-201806-201806-1.html,78,https://xl.16888.com/level-7-201806-201806-1.html
2018-05,3586,153,https://xl.16888.com/style-201805-201805-1.html,9.71%,5,https://xl.16888.com/f/57329/history-201805-201805-1.html,67,https://xl.16888.com/level-7-201805-201805-1.html
2018-04,3077,175,https://xl.16888.com/style-201804-201804-1.html,8.42%,6,https://xl.16888.com/f/57329/history-201804-201804-1.html,78,https://xl.16888.com/level-7-201804-201804-1.html
2018-03,4012,159,https://xl.16888.com/style-201803-201803-1.html,9.48%,4,https://xl.16888.com/f/57329/history-201803-201803-1.html,77,https://xl.16888.com/level-7-201803-201803-1.html
2018-02,5013,91,https://xl.16888.com/style-201802-201802-1.html,19.17%,2,https://xl.16888.com/f/57329/history-201802-201802-1.html,36,https://xl.16888.com/level-7-201802-201802-1.html
2018-01,7036,108,https://xl.16888.com/style-201801-201801-1.html,16.69%,3,https://xl.16888.com/f/57329/history-201801-201801-1.html,51,https://xl.16888.com/level-7-201801-201801-1.html
2017-12,6223,135,https://xl.16888.com/style-201712-201712-1.html,12.15%,3,https://xl.16888.com/f/57329/history-201712-201712-1.html,64,https://xl.16888.com/level-7-201712-201712-1.html
2017-11,6916,118,https://xl.16888.com/style-201711-201711-1.html,15.17%,3,https://xl.16888.com/f/57329/history-201711-201711-1.html,56,https://xl.16888.com/level-7-201711-201711-1.html
2017-10,5886,128,https://xl.16888.com/style-201710-201710-1.html,16.77%,2,https://xl.16888.com/f/57329/history-201710-201710-1.html,57,https://xl.16888.com/level-7-201710-201710-1.html
2017-09,4556,147,https://xl.16888.com/style-201709-201709-1.html,13.98%,2,https://xl.16888.com/f/57329/history-201709-201709-1.html,67,https://xl.16888.com/level-7-201709-201709-1.html
2017-08,4485,120,https://xl.16888.com/style-201708-201708-1.html,15.23%,3,https://xl.16888.com/f/57329/history-201708-201708-1.html,51,https://xl.16888.com/level-7-201708-201708-1.html
2017-07,4464,116,https://xl.16888.com/style-201707-201707-1.html,15.75%,3,https://xl.16888.com/f/57329/history-201707-201707-1.html,47,https://xl.16888.com/level-7-201707-201707-1.html
2017-06,5250,111,https://xl.16888.com/style-201706-201706-1.html,16.65%,2,https://xl.16888.com/f/57329/history-201706-201706-1.html,46,https://xl.16888.com/level-7-201706-201706-1.html
2017-05,5617,100,https://xl.16888.com/style-201705-201705-1.html,18.79%,2,https://xl.16888.com/f/57329/history-201705-201705-1.html,45,https://xl.16888.com/level-7-201705-201705-1.html
2017-04,5784,98,https://xl.16888.com/style-201704-201704-1.html,19.04%,2,https://xl.16888.com/f/57329/history-201704-201704-1.html,39,https://xl.16888.com/level-7-201704-201704-1.html
2017-03,5200,117,https://xl.16888.com/style-201703-201703-1.html,13.51%,2,https://xl.16888.com/f/57329/history-201703-201703-1.html,48,https://xl.16888.com/level-7-201703-201703-1.html
2017-02,3525,130,https://xl.16888.com/style-201702-201702-1.html,14.99%,2,https://xl.16888.com/f/57329/history-201702-201702-1.html,--,https://xl.16888.com/level--201702-201702-1.html
2017-01,8704,86,https://xl.16888.com/style-201701-201701-1.html,30.34%,2,https://xl.16888.com/f/57329/history-201701-201701-1.html,34,https://xl.16888.com/level-7-201701-201701-1.html
2016-12,18178,33,https://xl.16888.com/style-201612-201612-1.html,32.76%,1,https://xl.16888.com/f/57329/history-201612-201612-1.html,12,https://xl.16888.com/level-7-201612-201612-1.html
2016-11,16191,41,https://xl.16888.com/style-201611-201611-1.html,29.90%,2,https://xl.16888.com/f/57329/history-201611-201611-1.html,16,https://xl.16888.com/level-7-201611-201611-1.html
2016-10,15503,38,https://xl.16888.com/style-201610-201610-1.html,30.80%,1,https://xl.16888.com/f/57329/history-201610-201610-1.html,13,https://xl.16888.com/level-7-201610-201610-1.html
2016-09,10087,70,https://xl.16888.com/style-201609-201609-1.html,21.98%,2,https://xl.16888.com/f/57329/history-201609-201609-1.html,26,https://xl.16888.com/level-7-201609-201609-1.html
2016-08,6136,101,https://xl.16888.com/style-201608-201608-1.html,16.03%,2,https://xl.16888.com/f/57329/history-201608-201608-1.html,37,https://xl.16888.com/level-7-201608-201608-1.html
2016-07,5321,99,https://xl.16888.com/style-201607-201607-1.html,15.55%,2,https://xl.16888.com/f/57329/history-201607-201607-1.html,36,https://xl.16888.com/level-7-201607-201607-1.html
2016-06,5286,110,https://xl.16888.com/style-201606-201606-1.html,14.02%,3,https://xl.16888.com/f/57329/history-201606-201606-1.html,41,https://xl.16888.com/level-7-201606-201606-1.html
2016-05,5029,120,https://xl.16888.com/style-201605-201605-1.html,13.65%,4,https://xl.16888.com/f/57329/history-201605-201605-1.html,46,https://xl.16888.com/level-7-201605-201605-1.html
2016-04,4056,129,https://xl.16888.com/style-201604-201604-1.html,11.61%,3,https://xl.16888.com/f/57329/history-201604-201604-1.html,46,https://xl.16888.com/level-7-201604-201604-1.html
2016-03,4689,133,https://xl.16888.com/style-201603-201603-1.html,11.72%,3,https://xl.16888.com/f/57329/history-201603-201603-1.html,47,https://xl.16888.com/level-7-201603-201603-1.html
2016-02,3053,130,https://xl.16888.com/style-201602-201602-1.html,16.77%,3,https://xl.16888.com/f/57329/history-201602-201602-1.html,51,https://xl.16888.com/level-7-201602-201602-1.html
2016-01,6513,116,https://xl.16888.com/style-201601-201601-1.html,15.16%,3,https://xl.16888.com/f/57329/history-201601-201601-1.html,44,https://xl.16888.com/level-7-201601-201601-1.html
2015-12,6199,124,https://xl.16888.com/style-201512-201512-1.html,11.90%,5,https://xl.16888.com/f/57329/history-201512-201512-1.html,46,https://xl.16888.com/level-7-201512-201512-1.html
