月份,月销量,月销量排名,月销量排名链接,占厂商份额,在厂商排名,厂商所有车型当月销量链接,在紧凑车排名,所有紧凑车当月销量链接
2021-11,701,343,https://xl.16888.com/style-202111-202111-1.html,0.72%,11,https://xl.16888.com/f/57329/history-202111-202111-1.html,29,https://xl.16888.com/level-6-202111-202111-1.html
2021-10,652,338,https://xl.16888.com/style-202110-202110-1.html,0.73%,12,https://xl.16888.com/f/57329/history-202110-202110-1.html,31,https://xl.16888.com/level-6-202110-202110-1.html
2021-09,618,318,https://xl.16888.com/style-202109-202109-1.html,0.78%,12,https://xl.16888.com/f/57329/history-202109-202109-1.html,33,https://xl.16888.com/level-6-202109-202109-1.html
2021-08,582,324,https://xl.16888.com/style-202108-202108-1.html,0.93%,10,https://xl.16888.com/f/57329/history-202108-202108-1.html,32,https://xl.16888.com/level-6-202108-202108-1.html
2021-07,487,311,https://xl.16888.com/style-202107-202107-1.html,0.85%,11,https://xl.16888.com/f/57329/history-202107-202107-1.html,29,https://xl.16888.com/level-6-202107-202107-1.html
2021-06,700,289,https://xl.16888.com/style-202106-202106-1.html,1.41%,10,https://xl.16888.com/f/57329/history-202106-202106-1.html,25,https://xl.16888.com/level-6-202106-202106-1.html
2021-05,884,268,https://xl.16888.com/style-202105-202105-1.html,1.96%,10,https://xl.16888.com/f/57329/history-202105-202105-1.html,26,https://xl.16888.com/level-6-202105-202105-1.html
2021-04,935,278,https://xl.16888.com/style-202104-202104-1.html,2.10%,10,https://xl.16888.com/f/57329/history-202104-202104-1.html,24,https://xl.16888.com/level-6-202104-202104-1.html
2021-03,1551,221,https://xl.16888.com/style-202103-202103-1.html,4.17%,8,https://xl.16888.com/f/57329/history-202103-202103-1.html,22,https://xl.16888.com/level-6-202103-202103-1.html
2021-02,1467,162,https://xl.16888.com/style-202102-202102-1.html,7.51%,4,https://xl.16888.com/f/57329/history-202102-202102-1.html,14,https://xl.16888.com/level-6-202102-202102-1.html
2021-01,1176,252,https://xl.16888.com/style-202101-202101-1.html,2.79%,7,https://xl.16888.com/f/57329/history-202101-202101-1.html,22,https://xl.16888.com/level-6-202101-202101-1.html
2020-12,2470,218,https://xl.16888.com/style-202012-202012-1.html,4.48%,6,https://xl.16888.com/f/57329/history-202012-202012-1.html,21,https://xl.16888.com/level-6-202012-202012-1.html
2020-11,3136,171,https://xl.16888.com/style-202011-202011-1.html,5.94%,4,https://xl.16888.com/f/57329/history-202011-202011-1.html,16,https://xl.16888.com/level-6-202011-202011-1.html
2020-10,3014,176,https://xl.16888.com/style-202010-202010-1.html,6.47%,5,https://xl.16888.com/f/57329/history-202010-202010-1.html,18,https://xl.16888.com/level-6-202010-202010-1.html
2020-09,3511,144,https://xl.16888.com/style-202009-202009-1.html,8.58%,4,https://xl.16888.com/f/57329/history-202009-202009-1.html,12,https://xl.16888.com/level-6-202009-202009-1.html
2020-08,3402,132,https://xl.16888.com/style-202008-202008-1.html,11.33%,3,https://xl.16888.com/f/57329/history-202008-202008-1.html,12,https://xl.16888.com/level-6-202008-202008-1.html
2020-07,955,265,https://xl.16888.com/style-202007-202007-1.html,3.42%,10,https://xl.16888.com/f/57329/history-202007-202007-1.html,26,https://xl.16888.com/level-6-202007-202007-1.html
2020-06,1015,265,https://xl.16888.com/style-202006-202006-1.html,3.20%,10,https://xl.16888.com/f/57329/history-202006-202006-1.html,25,https://xl.16888.com/level-6-202006-202006-1.html
2020-05,1140,258,https://xl.16888.com/style-202005-202005-1.html,3.99%,10,https://xl.16888.com/f/57329/history-202005-202005-1.html,25,https://xl.16888.com/level-6-202005-202005-1.html
2020-04,1575,204,https://xl.16888.com/style-202004-202004-1.html,5.07%,5,https://xl.16888.com/f/57329/history-202004-202004-1.html,18,https://xl.16888.com/level-6-202004-202004-1.html
2020-03,1669,154,https://xl.16888.com/style-202003-202003-1.html,5.80%,4,https://xl.16888.com/f/57329/history-202003-202003-1.html,15,https://xl.16888.com/level-6-202003-202003-1.html
2020-02,221,196,https://xl.16888.com/style-202002-202002-1.html,4.25%,7,https://xl.16888.com/f/57329/history-202002-202002-1.html,23,https://xl.16888.com/level-6-202002-202002-1.html
2020-01,1302,224,https://xl.16888.com/style-202001-202001-1.html,5.07%,5,https://xl.16888.com/f/57329/history-202001-202001-1.html,22,https://xl.16888.com/level-6-202001-202001-1.html
2019-12,2255,214,https://xl.16888.com/style-201912-201912-1.html,5.76%,3,https://xl.16888.com/f/57329/history-201912-201912-1.html,22,https://xl.16888.com/level-6-201912-201912-1.html
2019-11,2727,188,https://xl.16888.com/style-201911-201911-1.html,6.79%,4,https://xl.16888.com/f/57329/history-201911-201911-1.html,20,https://xl.16888.com/level-6-201911-201911-1.html
2019-10,6618,90,https://xl.16888.com/style-201910-201910-1.html,15.85%,2,https://xl.16888.com/f/57329/history-201910-201910-1.html,6,https://xl.16888.com/level-6-201910-201910-1.html
2019-09,6383,92,https://xl.16888.com/style-201909-201909-1.html,16.00%,2,https://xl.16888.com/f/57329/history-201909-201909-1.html,7,https://xl.16888.com/level-6-201909-201909-1.html
2019-08,4127,132,https://xl.16888.com/style-201908-201908-1.html,11.85%,2,https://xl.16888.com/f/57329/history-201908-201908-1.html,9,https://xl.16888.com/level-6-201908-201908-1.html
2019-07,4100,123,https://xl.16888.com/style-201907-201907-1.html,14.71%,4,https://xl.16888.com/f/57329/history-201907-201907-1.html,5,https://xl.16888.com/level-6-201907-201907-1.html
2019-06,6053,86,https://xl.16888.com/style-201906-201906-1.html,16.25%,3,https://xl.16888.com/f/57329/history-201906-201906-1.html,5,https://xl.16888.com/level-6-201906-201906-1.html
2019-05,6037,75,https://xl.16888.com/style-201905-201905-1.html,18.92%,2,https://xl.16888.com/f/57329/history-201905-201905-1.html,4,https://xl.16888.com/level-6-201905-201905-1.html
2019-04,7059,66,https://xl.16888.com/style-201904-201904-1.html,20.22%,1,https://xl.16888.com/f/57329/history-201904-201904-1.html,4,https://xl.16888.com/level-6-201904-201904-1.html
2019-03,7551,89,https://xl.16888.com/style-201903-201903-1.html,17.02%,3,https://xl.16888.com/f/57329/history-201903-201903-1.html,8,https://xl.16888.com/level-6-201903-201903-1.html
2019-02,5075,73,https://xl.16888.com/style-201902-201902-1.html,19.22%,1,https://xl.16888.com/f/57329/history-201902-201902-1.html,6,https://xl.16888.com/level-6-201902-201902-1.html
2019-01,5033,125,https://xl.16888.com/style-201901-201901-1.html,11.64%,4,https://xl.16888.com/f/57329/history-201901-201901-1.html,8,https://xl.16888.com/level-6-201901-201901-1.html
2018-12,9056,80,https://xl.16888.com/style-201812-201812-1.html,15.09%,1,https://xl.16888.com/f/57329/history-201812-201812-1.html,6,https://xl.16888.com/level-6-201812-201812-1.html
2018-11,10032,70,https://xl.16888.com/style-201811-201811-1.html,20.21%,1,https://xl.16888.com/f/57329/history-201811-201811-1.html,4,https://xl.16888.com/level-6-201811-201811-1.html
2018-10,10016,58,https://xl.16888.com/style-201810-201810-1.html,21.36%,1,https://xl.16888.com/f/57329/history-201810-201810-1.html,4,https://xl.16888.com/level-6-201810-201810-1.html
2018-09,10009,59,https://xl.16888.com/style-201809-201809-1.html,22.23%,1,https://xl.16888.com/f/57329/history-201809-201809-1.html,5,https://xl.16888.com/level-6-201809-201809-1.html
2018-08,10459,55,https://xl.16888.com/style-201808-201808-1.html,25.60%,1,https://xl.16888.com/f/57329/history-201808-201808-1.html,3,https://xl.16888.com/level-6-201808-201808-1.html
2018-07,10408,44,https://xl.16888.com/style-201807-201807-1.html,28.34%,1,https://xl.16888.com/f/57329/history-201807-201807-1.html,5,https://xl.16888.com/level-6-201807-201807-1.html
2018-06,12176,39,https://xl.16888.com/style-201806-201806-1.html,33.12%,1,https://xl.16888.com/f/57329/history-201806-201806-1.html,4,https://xl.16888.com/level-6-201806-201806-1.html
2018-05,14285,31,https://xl.16888.com/style-201805-201805-1.html,38.68%,1,https://xl.16888.com/f/57329/history-201805-201805-1.html,4,https://xl.16888.com/level-6-201805-201805-1.html
2018-04,14117,31,https://xl.16888.com/style-201804-201804-1.html,38.62%,1,https://xl.16888.com/f/57329/history-201804-201804-1.html,4,https://xl.16888.com/level-6-201804-201804-1.html
2018-03,15074,33,https://xl.16888.com/style-201803-201803-1.html,35.61%,1,https://xl.16888.com/f/57329/history-201803-201803-1.html,3,https://xl.16888.com/level-6-201803-201803-1.html
2018-02,10368,36,https://xl.16888.com/style-201802-201802-1.html,39.65%,1,https://xl.16888.com/f/57329/history-201802-201802-1.html,4,https://xl.16888.com/level-6-201802-201802-1.html
2018-01,15068,47,https://xl.16888.com/style-201801-201801-1.html,35.74%,1,https://xl.16888.com/f/57329/history-201801-201801-1.html,4,https://xl.16888.com/level-6-201801-201801-1.html
