月份,月销量,月销量排名,月销量排名链接,占厂商份额,在厂商排名,厂商所有车型当月销量链接,在紧凑车排名,所有紧凑车当月销量链接
2021-11,--,--,https://xl.16888.com/style-202111-202111-1.html,--,--,https://xl.16888.com/f/57329/history-202111-202111-1.html,--,https://xl.16888.com/level-6-202111-202111-1.html
2021-10,--,--,https://xl.16888.com/style-202110-202110-1.html,--,--,https://xl.16888.com/f/57329/history-202110-202110-1.html,--,https://xl.16888.com/level-6-202110-202110-1.html
2021-09,--,--,https://xl.16888.com/style-202109-202109-1.html,--,--,https://xl.16888.com/f/57329/history-202109-202109-1.html,--,https://xl.16888.com/level-6-202109-202109-1.html
2021-08,87,412,https://xl.16888.com/style-202108-202108-1.html,0.14%,12,https://xl.16888.com/f/57329/history-202108-202108-1.html,46,https://xl.16888.com/level-6-202108-202108-1.html
2021-07,60,413,https://xl.16888.com/style-202107-202107-1.html,0.11%,13,https://xl.16888.com/f/57329/history-202107-202107-1.html,49,https://xl.16888.com/level-6-202107-202107-1.html
2021-06,--,--,https://xl.16888.com/style-202106-202106-1.html,--,--,https://xl.16888.com/f/57329/history-202106-202106-1.html,--,https://xl.16888.com/level-6-202106-202106-1.html
2021-05,83,425,https://xl.16888.com/style-202105-202105-1.html,0.18%,14,https://xl.16888.com/f/57329/history-202105-202105-1.html,48,https://xl.16888.com/level-6-202105-202105-1.html
2021-04,172,389,https://xl.16888.com/style-202104-202104-1.html,0.39%,13,https://xl.16888.com/f/57329/history-202104-202104-1.html,40,https://xl.16888.com/level-6-202104-202104-1.html
2021-03,77,419,https://xl.16888.com/style-202103-202103-1.html,0.21%,16,https://xl.16888.com/f/57329/history-202103-202103-1.html,39,https://xl.16888.com/level-6-202103-202103-1.html
2021-02,60,394,https://xl.16888.com/style-202102-202102-1.html,0.31%,15,https://xl.16888.com/f/57329/history-202102-202102-1.html,43,https://xl.16888.com/level-6-202102-202102-1.html
2021-01,194,385,https://xl.16888.com/style-202101-202101-1.html,0.46%,14,https://xl.16888.com/f/57329/history-202101-202101-1.html,40,https://xl.16888.com/level-6-202101-202101-1.html
2020-12,404,376,https://xl.16888.com/style-202012-202012-1.html,0.73%,13,https://xl.16888.com/f/57329/history-202012-202012-1.html,41,https://xl.16888.com/level-6-202012-202012-1.html
2020-11,215,404,https://xl.16888.com/style-202011-202011-1.html,0.41%,14,https://xl.16888.com/f/57329/history-202011-202011-1.html,44,https://xl.16888.com/level-6-202011-202011-1.html
2020-10,95,436,https://xl.16888.com/style-202010-202010-1.html,0.20%,15,https://xl.16888.com/f/57329/history-202010-202010-1.html,47,https://xl.16888.com/level-6-202010-202010-1.html
2020-09,145,390,https://xl.16888.com/style-202009-202009-1.html,0.35%,14,https://xl.16888.com/f/57329/history-202009-202009-1.html,46,https://xl.16888.com/level-6-202009-202009-1.html
2020-08,274,365,https://xl.16888.com/style-202008-202008-1.html,0.91%,16,https://xl.16888.com/f/57329/history-202008-202008-1.html,39,https://xl.16888.com/level-6-202008-202008-1.html
2020-07,268,367,https://xl.16888.com/style-202007-202007-1.html,0.96%,15,https://xl.16888.com/f/57329/history-202007-202007-1.html,34,https://xl.16888.com/level-6-202007-202007-1.html
2020-06,249,362,https://xl.16888.com/style-202006-202006-1.html,0.78%,14,https://xl.16888.com/f/57329/history-202006-202006-1.html,35,https://xl.16888.com/level-6-202006-202006-1.html
2020-05,154,395,https://xl.16888.com/style-202005-202005-1.html,0.54%,14,https://xl.16888.com/f/57329/history-202005-202005-1.html,40,https://xl.16888.com/level-6-202005-202005-1.html
2020-04,109,393,https://xl.16888.com/style-202004-202004-1.html,0.35%,13,https://xl.16888.com/f/57329/history-202004-202004-1.html,36,https://xl.16888.com/level-6-202004-202004-1.html
2020-03,22,432,https://xl.16888.com/style-202003-202003-1.html,0.08%,15,https://xl.16888.com/f/57329/history-202003-202003-1.html,47,https://xl.16888.com/level-6-202003-202003-1.html
2020-02,--,--,https://xl.16888.com/style-202002-202002-1.html,--,--,https://xl.16888.com/f/57329/history-202002-202002-1.html,--,https://xl.16888.com/level-6-202002-202002-1.html
2020-01,47,426,https://xl.16888.com/style-202001-202001-1.html,0.18%,16,https://xl.16888.com/f/57329/history-202001-202001-1.html,44,https://xl.16888.com/level-6-202001-202001-1.html
2019-12,207,414,https://xl.16888.com/style-201912-201912-1.html,0.53%,15,https://xl.16888.com/f/57329/history-201912-201912-1.html,48,https://xl.16888.com/level-6-201912-201912-1.html
2019-11,191,393,https://xl.16888.com/style-201911-201911-1.html,0.48%,15,https://xl.16888.com/f/57329/history-201911-201911-1.html,42,https://xl.16888.com/level-6-201911-201911-1.html
2019-10,293,360,https://xl.16888.com/style-201910-201910-1.html,0.70%,11,https://xl.16888.com/f/57329/history-201910-201910-1.html,40,https://xl.16888.com/level-6-201910-201910-1.html
2019-09,375,350,https://xl.16888.com/style-201909-201909-1.html,0.94%,10,https://xl.16888.com/f/57329/history-201909-201909-1.html,39,https://xl.16888.com/level-6-201909-201909-1.html
2019-08,331,353,https://xl.16888.com/style-201908-201908-1.html,0.95%,12,https://xl.16888.com/f/57329/history-201908-201908-1.html,40,https://xl.16888.com/level-6-201908-201908-1.html
2019-07,720,295,https://xl.16888.com/style-201907-201907-1.html,2.58%,9,https://xl.16888.com/f/57329/history-201907-201907-1.html,29,https://xl.16888.com/level-6-201907-201907-1.html
2019-06,775,311,https://xl.16888.com/style-201906-201906-1.html,2.08%,11,https://xl.16888.com/f/57329/history-201906-201906-1.html,32,https://xl.16888.com/level-6-201906-201906-1.html
2019-05,1464,232,https://xl.16888.com/style-201905-201905-1.html,4.59%,8,https://xl.16888.com/f/57329/history-201905-201905-1.html,22,https://xl.16888.com/level-6-201905-201905-1.html
2019-04,735,300,https://xl.16888.com/style-201904-201904-1.html,2.11%,10,https://xl.16888.com/f/57329/history-201904-201904-1.html,34,https://xl.16888.com/level-6-201904-201904-1.html
2019-03,66,464,https://xl.16888.com/style-201903-201903-1.html,0.15%,10,https://xl.16888.com/f/57329/history-201903-201903-1.html,57,https://xl.16888.com/level-6-201903-201903-1.html
