月份,月销量,月销量排名,月销量排名链接,占厂商份额,在厂商排名,厂商所有车型当月销量链接,在紧凑车排名,所有紧凑车当月销量链接
2021-11,193,429,https://xl.16888.com/style-202111-202111-1.html,0.20%,13,https://xl.16888.com/f/57329/history-202111-202111-1.html,42,https://xl.16888.com/level-6-202111-202111-1.html
2021-10,348,380,https://xl.16888.com/style-202110-202110-1.html,0.39%,13,https://xl.16888.com/f/57329/history-202110-202110-1.html,40,https://xl.16888.com/level-6-202110-202110-1.html
2021-09,328,362,https://xl.16888.com/style-202109-202109-1.html,0.41%,13,https://xl.16888.com/f/57329/history-202109-202109-1.html,40,https://xl.16888.com/level-6-202109-202109-1.html
2021-08,407,346,https://xl.16888.com/style-202108-202108-1.html,0.65%,11,https://xl.16888.com/f/57329/history-202108-202108-1.html,37,https://xl.16888.com/level-6-202108-202108-1.html
2021-07,121,394,https://xl.16888.com/style-202107-202107-1.html,0.21%,12,https://xl.16888.com/f/57329/history-202107-202107-1.html,46,https://xl.16888.com/level-6-202107-202107-1.html
2021-06,280,360,https://xl.16888.com/style-202106-202106-1.html,0.56%,11,https://xl.16888.com/f/57329/history-202106-202106-1.html,36,https://xl.16888.com/level-6-202106-202106-1.html
2021-05,2172,184,https://xl.16888.com/style-202105-202105-1.html,4.81%,8,https://xl.16888.com/f/57329/history-202105-202105-1.html,18,https://xl.16888.com/level-6-202105-202105-1.html
2021-04,883,281,https://xl.16888.com/style-202104-202104-1.html,1.98%,11,https://xl.16888.com/f/57329/history-202104-202104-1.html,25,https://xl.16888.com/level-6-202104-202104-1.html
2021-03,2796,159,https://xl.16888.com/style-202103-202103-1.html,7.52%,5,https://xl.16888.com/f/57329/history-202103-202103-1.html,--,https://xl.16888.com/level--202103-202103-1.html
2021-02,1166,181,https://xl.16888.com/style-202102-202102-1.html,5.97%,7,https://xl.16888.com/f/57329/history-202102-202102-1.html,16,https://xl.16888.com/level-6-202102-202102-1.html
