月份,月销量,月销量排名,月销量排名链接,占厂商份额,在厂商排名,厂商所有车型当月销量链接,在紧凑车排名,所有紧凑车当月销量链接
2021-11,1049,310,https://xl.16888.com/style-202111-202111-1.html,1.08%,10,https://xl.16888.com/f/57329/history-202111-202111-1.html,59,https://xl.16888.com/level-3-202111-202111-1.html
2021-10,1224,269,https://xl.16888.com/style-202110-202110-1.html,1.38%,10,https://xl.16888.com/f/57329/history-202110-202110-1.html,49,https://xl.16888.com/level-3-202110-202110-1.html
2021-09,1763,212,https://xl.16888.com/style-202109-202109-1.html,2.23%,9,https://xl.16888.com/f/57329/history-202109-202109-1.html,43,https://xl.16888.com/level-3-202109-202109-1.html
2021-08,1154,242,https://xl.16888.com/style-202108-202108-1.html,1.84%,9,https://xl.16888.com/f/57329/history-202108-202108-1.html,52,https://xl.16888.com/level-3-202108-202108-1.html
2021-07,1875,191,https://xl.16888.com/style-202107-202107-1.html,3.29%,9,https://xl.16888.com/f/57329/history-202107-202107-1.html,42,https://xl.16888.com/level-3-202107-202107-1.html
2021-06,2019,188,https://xl.16888.com/style-202106-202106-1.html,4.06%,7,https://xl.16888.com/f/57329/history-202106-202106-1.html,36,https://xl.16888.com/level-3-202106-202106-1.html
2021-05,3029,154,https://xl.16888.com/style-202105-202105-1.html,6.70%,6,https://xl.16888.com/f/57329/history-202105-202105-1.html,32,https://xl.16888.com/level-3-202105-202105-1.html
2021-04,5065,104,https://xl.16888.com/style-202104-202104-1.html,11.35%,4,https://xl.16888.com/f/57329/history-202104-202104-1.html,23,https://xl.16888.com/level-3-202104-202104-1.html
2021-03,3932,127,https://xl.16888.com/style-202103-202103-1.html,10.57%,3,https://xl.16888.com/f/57329/history-202103-202103-1.html,27,https://xl.16888.com/level-3-202103-202103-1.html
2021-02,2411,113,https://xl.16888.com/style-202102-202102-1.html,12.35%,3,https://xl.16888.com/f/57329/history-202102-202102-1.html,24,https://xl.16888.com/level-3-202102-202102-1.html
2021-01,3885,128,https://xl.16888.com/style-202101-202101-1.html,9.23%,3,https://xl.16888.com/f/57329/history-202101-202101-1.html,24,https://xl.16888.com/level-3-202101-202101-1.html
2020-12,2613,207,https://xl.16888.com/style-202012-202012-1.html,4.74%,5,https://xl.16888.com/f/57329/history-202012-202012-1.html,42,https://xl.16888.com/level-3-202012-202012-1.html
2020-11,1478,262,https://xl.16888.com/style-202011-202011-1.html,2.80%,9,https://xl.16888.com/f/57329/history-202011-202011-1.html,51,https://xl.16888.com/level-3-202011-202011-1.html
2020-10,2627,194,https://xl.16888.com/style-202010-202010-1.html,5.64%,6,https://xl.16888.com/f/57329/history-202010-202010-1.html,40,https://xl.16888.com/level-3-202010-202010-1.html
2020-09,559,322,https://xl.16888.com/style-202009-202009-1.html,1.37%,12,https://xl.16888.com/f/57329/history-202009-202009-1.html,62,https://xl.16888.com/level-3-202009-202009-1.html
2020-08,1044,260,https://xl.16888.com/style-202008-202008-1.html,3.48%,12,https://xl.16888.com/f/57329/history-202008-202008-1.html,48,https://xl.16888.com/level-3-202008-202008-1.html
2020-07,338,352,https://xl.16888.com/style-202007-202007-1.html,1.21%,13,https://xl.16888.com/f/57329/history-202007-202007-1.html,71,https://xl.16888.com/level-3-202007-202007-1.html
2020-06,324,348,https://xl.16888.com/style-202006-202006-1.html,1.02%,12,https://xl.16888.com/f/57329/history-202006-202006-1.html,68,https://xl.16888.com/level-3-202006-202006-1.html
2020-05,354,342,https://xl.16888.com/style-202005-202005-1.html,1.24%,12,https://xl.16888.com/f/57329/history-202005-202005-1.html,65,https://xl.16888.com/level-3-202005-202005-1.html
2020-04,348,327,https://xl.16888.com/style-202004-202004-1.html,1.12%,12,https://xl.16888.com/f/57329/history-202004-202004-1.html,65,https://xl.16888.com/level-3-202004-202004-1.html
2020-03,251,329,https://xl.16888.com/style-202003-202003-1.html,0.87%,13,https://xl.16888.com/f/57329/history-202003-202003-1.html,63,https://xl.16888.com/level-3-202003-202003-1.html
2020-02,--,--,https://xl.16888.com/style-202002-202002-1.html,--,--,https://xl.16888.com/f/57329/history-202002-202002-1.html,--,https://xl.16888.com/level-3-202002-202002-1.html
2020-01,402,330,https://xl.16888.com/style-202001-202001-1.html,1.56%,12,https://xl.16888.com/f/57329/history-202001-202001-1.html,71,https://xl.16888.com/level-3-202001-202001-1.html
2019-12,1383,272,https://xl.16888.com/style-201912-201912-1.html,3.53%,10,https://xl.16888.com/f/57329/history-201912-201912-1.html,64,https://xl.16888.com/level-3-201912-201912-1.html
2019-11,817,307,https://xl.16888.com/style-201911-201911-1.html,2.03%,12,https://xl.16888.com/f/57329/history-201911-201911-1.html,69,https://xl.16888.com/level-3-201911-201911-1.html
2019-10,4472,133,https://xl.16888.com/style-201910-201910-1.html,10.71%,3,https://xl.16888.com/f/57329/history-201910-201910-1.html,41,https://xl.16888.com/level-3-201910-201910-1.html
