月份,月销量,月销量排名,月销量排名链接,占厂商份额,在厂商排名,厂商所有车型当月销量链接,在紧凑车排名,所有紧凑车当月销量链接
2021-11,--,--,https://xl.16888.com/style-202111-202111-1.html,--,--,https://xl.16888.com/f/57329/history-202111-202111-1.html,--,https://xl.16888.com/level-6-202111-202111-1.html
2021-10,--,--,https://xl.16888.com/style-202110-202110-1.html,--,--,https://xl.16888.com/f/57329/history-202110-202110-1.html,--,https://xl.16888.com/level-6-202110-202110-1.html
2021-09,--,--,https://xl.16888.com/style-202109-202109-1.html,--,--,https://xl.16888.com/f/57329/history-202109-202109-1.html,--,https://xl.16888.com/level-6-202109-202109-1.html
2021-08,--,--,https://xl.16888.com/style-202108-202108-1.html,--,--,https://xl.16888.com/f/57329/history-202108-202108-1.html,--,https://xl.16888.com/level-6-202108-202108-1.html
2021-07,--,--,https://xl.16888.com/style-202107-202107-1.html,--,--,https://xl.16888.com/f/57329/history-202107-202107-1.html,--,https://xl.16888.com/level-6-202107-202107-1.html
2020-08,--,--,https://xl.16888.com/style-202008-202008-1.html,--,--,https://xl.16888.com/f/57329/history-202008-202008-1.html,--,https://xl.16888.com/level-6-202008-202008-1.html
2020-07,--,--,https://xl.16888.com/style-202007-202007-1.html,--,--,https://xl.16888.com/f/57329/history-202007-202007-1.html,--,https://xl.16888.com/level-6-202007-202007-1.html
2020-06,--,--,https://xl.16888.com/style-202006-202006-1.html,--,--,https://xl.16888.com/f/0/history-202006-202006-1.html,--,https://xl.16888.com/level-6-202006-202006-1.html
2020-05,--,--,https://xl.16888.com/style-202005-202005-1.html,--,--,https://xl.16888.com/f/57329/history-202005-202005-1.html,--,https://xl.16888.com/level-6-202005-202005-1.html
2020-04,--,--,https://xl.16888.com/style-202004-202004-1.html,--,--,https://xl.16888.com/f/57329/history-202004-202004-1.html,--,https://xl.16888.com/level--202004-202004-1.html
2020-03,--,--,https://xl.16888.com/style-202003-202003-1.html,--,--,https://xl.16888.com/f/57329/history-202003-202003-1.html,--,https://xl.16888.com/level-6-202003-202003-1.html
2020-02,--,--,https://xl.16888.com/style-202002-202002-1.html,--,--,https://xl.16888.com/f/57329/history-202002-202002-1.html,--,https://xl.16888.com/level-6-202002-202002-1.html
2020-01,--,--,https://xl.16888.com/style-202001-202001-1.html,--,--,https://xl.16888.com/f/57329/history-202001-202001-1.html,--,https://xl.16888.com/level-6-202001-202001-1.html
2019-12,--,--,https://xl.16888.com/style-201912-201912-1.html,--,--,https://xl.16888.com/f/57329/history-201912-201912-1.html,--,https://xl.16888.com/level-6-201912-201912-1.html
2017-08,14,437,https://xl.16888.com/style-201708-201708-1.html,0.05%,13,https://xl.16888.com/f/57329/history-201708-201708-1.html,61,https://xl.16888.com/level-6-201708-201708-1.html
2017-07,44,411,https://xl.16888.com/style-201707-201707-1.html,0.16%,13,https://xl.16888.com/f/57329/history-201707-201707-1.html,59,https://xl.16888.com/level-6-201707-201707-1.html
2017-06,32,421,https://xl.16888.com/style-201706-201706-1.html,0.10%,13,https://xl.16888.com/f/57329/history-201706-201706-1.html,60,https://xl.16888.com/level-6-201706-201706-1.html
2017-05,37,416,https://xl.16888.com/style-201705-201705-1.html,0.12%,14,https://xl.16888.com/f/57329/history-201705-201705-1.html,59,https://xl.16888.com/level-6-201705-201705-1.html
2017-04,81,400,https://xl.16888.com/style-201704-201704-1.html,0.27%,13,https://xl.16888.com/f/57329/history-201704-201704-1.html,57,https://xl.16888.com/level-6-201704-201704-1.html
2017-03,80,382,https://xl.16888.com/style-201703-201703-1.html,0.21%,13,https://xl.16888.com/f/57329/history-201703-201703-1.html,57,https://xl.16888.com/level-6-201703-201703-1.html
2017-02,69,364,https://xl.16888.com/style-201702-201702-1.html,0.29%,12,https://xl.16888.com/f/57329/history-201702-201702-1.html,49,https://xl.16888.com/level-6-201702-201702-1.html
2017-01,23,378,https://xl.16888.com/style-201701-201701-1.html,0.08%,11,https://xl.16888.com/f/57329/history-201701-201701-1.html,51,https://xl.16888.com/level-6-201701-201701-1.html
2016-12,50,394,https://xl.16888.com/style-201612-201612-1.html,0.09%,12,https://xl.16888.com/f/57329/history-201612-201612-1.html,49,https://xl.16888.com/level-6-201612-201612-1.html
2016-11,55,380,https://xl.16888.com/style-201611-201611-1.html,0.10%,12,https://xl.16888.com/f/57329/history-201611-201611-1.html,51,https://xl.16888.com/level-6-201611-201611-1.html
2016-10,148,361,https://xl.16888.com/style-201610-201610-1.html,0.29%,12,https://xl.16888.com/f/57329/history-201610-201610-1.html,49,https://xl.16888.com/level-6-201610-201610-1.html
2016-09,101,366,https://xl.16888.com/style-201609-201609-1.html,0.22%,13,https://xl.16888.com/f/57329/history-201609-201609-1.html,48,https://xl.16888.com/level-6-201609-201609-1.html
2016-08,83,356,https://xl.16888.com/style-201608-201608-1.html,0.22%,12,https://xl.16888.com/f/57329/history-201608-201608-1.html,46,https://xl.16888.com/level-6-201608-201608-1.html
2016-07,58,349,https://xl.16888.com/style-201607-201607-1.html,0.17%,11,https://xl.16888.com/f/57329/history-201607-201607-1.html,49,https://xl.16888.com/level-6-201607-201607-1.html
2016-06,111,343,https://xl.16888.com/style-201606-201606-1.html,0.29%,10,https://xl.16888.com/f/57329/history-201606-201606-1.html,48,https://xl.16888.com/level-6-201606-201606-1.html
2016-05,129,336,https://xl.16888.com/style-201605-201605-1.html,0.35%,12,https://xl.16888.com/f/57329/history-201605-201605-1.html,49,https://xl.16888.com/level-6-201605-201605-1.html
2016-04,208,319,https://xl.16888.com/style-201604-201604-1.html,0.60%,12,https://xl.16888.com/f/57329/history-201604-201604-1.html,46,https://xl.16888.com/level-6-201604-201604-1.html
2016-03,80,348,https://xl.16888.com/style-201603-201603-1.html,0.20%,12,https://xl.16888.com/f/57329/history-201603-201603-1.html,55,https://xl.16888.com/level-6-201603-201603-1.html
2016-02,81,313,https://xl.16888.com/style-201602-201602-1.html,0.45%,11,https://xl.16888.com/f/57329/history-201602-201602-1.html,45,https://xl.16888.com/level-6-201602-201602-1.html
