月份,月销量,月销量排名,月销量排名链接,占厂商份额,在厂商排名,厂商所有车型当月销量链接,在紧凑车排名,所有紧凑车当月销量链接
2021-11,450,385,https://xl.16888.com/style-202111-202111-1.html,0.46%,12,https://xl.16888.com/f/57329/history-202111-202111-1.html,64,https://xl.16888.com/level-3-202111-202111-1.html
2021-10,1012,291,https://xl.16888.com/style-202110-202110-1.html,1.14%,11,https://xl.16888.com/f/57329/history-202110-202110-1.html,53,https://xl.16888.com/level-3-202110-202110-1.html
2021-09,724,304,https://xl.16888.com/style-202109-202109-1.html,0.92%,11,https://xl.16888.com/f/57329/history-202109-202109-1.html,54,https://xl.16888.com/level-3-202109-202109-1.html
2021-08,--,--,https://xl.16888.com/style-202108-202108-1.html,--,--,https://xl.16888.com/f/57329/history-202108-202108-1.html,--,https://xl.16888.com/level-3-202108-202108-1.html
2021-07,526,305,https://xl.16888.com/style-202107-202107-1.html,0.92%,10,https://xl.16888.com/f/57329/history-202107-202107-1.html,60,https://xl.16888.com/level-3-202107-202107-1.html
2021-06,--,--,https://xl.16888.com/style-202106-202106-1.html,--,--,https://xl.16888.com/f/57329/history-202106-202106-1.html,--,https://xl.16888.com/level-3-202106-202106-1.html
2021-05,--,--,https://xl.16888.com/style-202105-202105-1.html,--,--,https://xl.16888.com/f/57329/history-202105-202105-1.html,--,https://xl.16888.com/level-3-202105-202105-1.html
2021-04,43,448,https://xl.16888.com/style-202104-202104-1.html,0.10%,15,https://xl.16888.com/f/57329/history-202104-202104-1.html,79,https://xl.16888.com/level-3-202104-202104-1.html
2021-03,114,406,https://xl.16888.com/style-202103-202103-1.html,0.31%,15,https://xl.16888.com/f/57329/history-202103-202103-1.html,73,https://xl.16888.com/level-3-202103-202103-1.html
2021-02,27,422,https://xl.16888.com/style-202102-202102-1.html,0.14%,16,https://xl.16888.com/f/57329/history-202102-202102-1.html,72,https://xl.16888.com/level-3-202102-202102-1.html
2021-01,286,367,https://xl.16888.com/style-202101-202101-1.html,0.68%,13,https://xl.16888.com/f/57329/history-202101-202101-1.html,64,https://xl.16888.com/level-3-202101-202101-1.html
2020-12,257,402,https://xl.16888.com/style-202012-202012-1.html,0.47%,14,https://xl.16888.com/f/57329/history-202012-202012-1.html,76,https://xl.16888.com/level-3-202012-202012-1.html
2020-11,420,365,https://xl.16888.com/style-202011-202011-1.html,0.80%,13,https://xl.16888.com/f/57329/history-202011-202011-1.html,70,https://xl.16888.com/level-3-202011-202011-1.html
2020-10,414,361,https://xl.16888.com/style-202010-202010-1.html,0.89%,13,https://xl.16888.com/f/57329/history-202010-202010-1.html,69,https://xl.16888.com/level-3-202010-202010-1.html
2020-09,322,352,https://xl.16888.com/style-202009-202009-1.html,0.79%,13,https://xl.16888.com/f/57329/history-202009-202009-1.html,69,https://xl.16888.com/level-3-202009-202009-1.html
2020-08,297,358,https://xl.16888.com/style-202008-202008-1.html,0.99%,15,https://xl.16888.com/f/57329/history-202008-202008-1.html,68,https://xl.16888.com/level-3-202008-202008-1.html
2020-07,292,361,https://xl.16888.com/style-202007-202007-1.html,1.05%,14,https://xl.16888.com/f/57329/history-202007-202007-1.html,73,https://xl.16888.com/level-3-202007-202007-1.html
2020-06,289,356,https://xl.16888.com/style-202006-202006-1.html,0.91%,13,https://xl.16888.com/f/57329/history-202006-202006-1.html,70,https://xl.16888.com/level-3-202006-202006-1.html
2020-05,202,375,https://xl.16888.com/style-202005-202005-1.html,0.71%,13,https://xl.16888.com/f/57329/history-202005-202005-1.html,71,https://xl.16888.com/level-3-202005-202005-1.html
2020-04,103,394,https://xl.16888.com/style-202004-202004-1.html,0.33%,14,https://xl.16888.com/f/57329/history-202004-202004-1.html,78,https://xl.16888.com/level-3-202004-202004-1.html
2020-03,46,415,https://xl.16888.com/style-202003-202003-1.html,0.16%,14,https://xl.16888.com/f/57329/history-202003-202003-1.html,80,https://xl.16888.com/level-3-202003-202003-1.html
2020-02,--,--,https://xl.16888.com/style-202002-202002-1.html,--,--,https://xl.16888.com/f/57329/history-202002-202002-1.html,--,https://xl.16888.com/level-3-202002-202002-1.html
2020-01,178,365,https://xl.16888.com/style-202001-202001-1.html,0.69%,13,https://xl.16888.com/f/57329/history-202001-202001-1.html,74,https://xl.16888.com/level-3-202001-202001-1.html
2019-12,688,335,https://xl.16888.com/style-201912-201912-1.html,1.76%,12,https://xl.16888.com/f/57329/history-201912-201912-1.html,76,https://xl.16888.com/level-3-201912-201912-1.html
2019-11,625,327,https://xl.16888.com/style-201911-201911-1.html,1.56%,13,https://xl.16888.com/f/57329/history-201911-201911-1.html,74,https://xl.16888.com/level-3-201911-201911-1.html
2019-10,336,352,https://xl.16888.com/style-201910-201910-1.html,0.80%,10,https://xl.16888.com/f/57329/history-201910-201910-1.html,75,https://xl.16888.com/level-3-201910-201910-1.html
