月份,月销量,月销量排名,月销量排名链接,占厂商份额,在厂商排名,厂商所有车型当月销量链接,在紧凑车排名,所有紧凑车当月销量链接
2021-11,12841,46,https://xl.16888.com/style-202111-202111-1.html,13.21%,3,https://xl.16888.com/f/57329/history-202111-202111-1.html,2,https://xl.16888.com/level-5-202111-202111-1.html
2021-10,11087,53,https://xl.16888.com/style-202110-202110-1.html,12.47%,3,https://xl.16888.com/f/57329/history-202110-202110-1.html,3,https://xl.16888.com/level-5-202110-202110-1.html
2021-09,10248,44,https://xl.16888.com/style-202109-202109-1.html,12.97%,3,https://xl.16888.com/f/57329/history-202109-202109-1.html,2,https://xl.16888.com/level-5-202109-202109-1.html
2021-08,9035,48,https://xl.16888.com/style-202108-202108-1.html,14.38%,3,https://xl.16888.com/f/57329/history-202108-202108-1.html,3,https://xl.16888.com/level-5-202108-202108-1.html
2021-07,8522,42,https://xl.16888.com/style-202107-202107-1.html,14.96%,2,https://xl.16888.com/f/57329/history-202107-202107-1.html,3,https://xl.16888.com/level-5-202107-202107-1.html
2021-06,8386,46,https://xl.16888.com/style-202106-202106-1.html,16.85%,2,https://xl.16888.com/f/57329/history-202106-202106-1.html,3,https://xl.16888.com/level-5-202106-202106-1.html
2021-05,8214,61,https://xl.16888.com/style-202105-202105-1.html,18.18%,3,https://xl.16888.com/f/57329/history-202105-202105-1.html,4,https://xl.16888.com/level-5-202105-202105-1.html
2021-04,8177,63,https://xl.16888.com/style-202104-202104-1.html,18.33%,2,https://xl.16888.com/f/57329/history-202104-202104-1.html,4,https://xl.16888.com/level-5-202104-202104-1.html
2021-03,10323,49,https://xl.16888.com/style-202103-202103-1.html,27.76%,1,https://xl.16888.com/f/57329/history-202103-202103-1.html,4,https://xl.16888.com/level-5-202103-202103-1.html
2021-02,10056,65,https://xl.16888.com/style-202102-202102-1.html,25.75%,1,https://xl.16888.com/f/57329/history-202102-202102-1.html,4,https://xl.16888.com/level-5-202102-202102-1.html
2021-01,24206,13,https://xl.16888.com/style-202101-202101-1.html,57.50%,1,https://xl.16888.com/f/57329/history-202101-202101-1.html,1,https://xl.16888.com/level-5-202101-202101-1.html
2020-12,24178,56,https://xl.16888.com/style-202012-202012-1.html,21.95%,1,https://xl.16888.com/f/57329/history-202012-202012-1.html,4,https://xl.16888.com/level-5-202012-202012-1.html
2020-11,10105,--,https://xl.16888.com/style-202011-202011-1.html,0.00%,2,https://xl.16888.com/f/57329/history-202011-202011-1.html,--,https://xl.16888.com/level--202011-202011-1.html
2020-10,7545,--,https://xl.16888.com/style-202010-202010-1.html,0.00%,2,https://xl.16888.com/f/57329/history-202010-202010-1.html,--,https://xl.16888.com/level--202010-202010-1.html
2020-09,5612,--,https://xl.16888.com/style-202009-202009-1.html,0.00%,2,https://xl.16888.com/f/57329/history-202009-202009-1.html,--,https://xl.16888.com/level--202009-202009-1.html
2020-08,6400,--,https://xl.16888.com/style-202008-202008-1.html,7.99%,2,https://xl.16888.com/f/57329/history-202008-202008-1.html,5,https://xl.16888.com/level-5-202008-202008-1.html
2020-07,2410,--,https://xl.16888.com/style-202007-202007-1.html,0.00%,3,https://xl.16888.com/f/57329/history-202007-202007-1.html,--,https://xl.16888.com/level--202007-202007-1.html
