月份,月销量,月销量排名,月销量排名链接,占厂商份额,在厂商排名,厂商所有车型当月销量链接,在紧凑车排名,所有紧凑车当月销量链接
2021-11,--,--,https://xl.16888.com/style-202111-202111-1.html,--,--,https://xl.16888.com/f/57329/history-202111-202111-1.html,--,https://xl.16888.com/level-3-202111-202111-1.html
2021-10,--,--,https://xl.16888.com/style-202110-202110-1.html,--,--,https://xl.16888.com/f/57329/history-202110-202110-1.html,--,https://xl.16888.com/level-3-202110-202110-1.html
2021-09,--,--,https://xl.16888.com/style-202109-202109-1.html,--,--,https://xl.16888.com/f/57329/history-202109-202109-1.html,--,https://xl.16888.com/level-3-202109-202109-1.html
2021-08,--,--,https://xl.16888.com/style-202108-202108-1.html,--,--,https://xl.16888.com/f/57329/history-202108-202108-1.html,--,https://xl.16888.com/level-3-202108-202108-1.html
2021-07,--,--,https://xl.16888.com/style-202107-202107-1.html,--,--,https://xl.16888.com/f/57329/history-202107-202107-1.html,--,https://xl.16888.com/level-3-202107-202107-1.html
2021-06,--,--,https://xl.16888.com/style-202106-202106-1.html,--,--,https://xl.16888.com/f/57329/history-202106-202106-1.html,--,https://xl.16888.com/level-3-202106-202106-1.html
2021-05,291,365,https://xl.16888.com/style-202105-202105-1.html,0.64%,13,https://xl.16888.com/f/57329/history-202105-202105-1.html,63,https://xl.16888.com/level-3-202105-202105-1.html
2021-04,204,378,https://xl.16888.com/style-202104-202104-1.html,0.46%,12,https://xl.16888.com/f/57329/history-202104-202104-1.html,63,https://xl.16888.com/level-3-202104-202104-1.html
2021-03,429,334,https://xl.16888.com/style-202103-202103-1.html,1.15%,13,https://xl.16888.com/f/57329/history-202103-202103-1.html,57,https://xl.16888.com/level-3-202103-202103-1.html
2021-02,283,309,https://xl.16888.com/style-202102-202102-1.html,1.45%,11,https://xl.16888.com/f/57329/history-202102-202102-1.html,54,https://xl.16888.com/level-3-202102-202102-1.html
2021-01,879,277,https://xl.16888.com/style-202101-202101-1.html,2.09%,9,https://xl.16888.com/f/57329/history-202101-202101-1.html,48,https://xl.16888.com/level-3-202101-202101-1.html
2020-12,716,338,https://xl.16888.com/style-202012-202012-1.html,1.30%,12,https://xl.16888.com/f/57329/history-202012-202012-1.html,64,https://xl.16888.com/level-3-202012-202012-1.html
2020-11,1021,294,https://xl.16888.com/style-202011-202011-1.html,1.93%,11,https://xl.16888.com/f/57329/history-202011-202011-1.html,56,https://xl.16888.com/level-3-202011-202011-1.html
2020-10,751,322,https://xl.16888.com/style-202010-202010-1.html,1.61%,12,https://xl.16888.com/f/57329/history-202010-202010-1.html,61,https://xl.16888.com/level-3-202010-202010-1.html
2020-09,1641,235,https://xl.16888.com/style-202009-202009-1.html,4.01%,9,https://xl.16888.com/f/57329/history-202009-202009-1.html,51,https://xl.16888.com/level-3-202009-202009-1.html
2020-08,1592,216,https://xl.16888.com/style-202008-202008-1.html,5.30%,8,https://xl.16888.com/f/57329/history-202008-202008-1.html,42,https://xl.16888.com/level-3-202008-202008-1.html
2020-07,827,279,https://xl.16888.com/style-202007-202007-1.html,2.97%,11,https://xl.16888.com/f/57329/history-202007-202007-1.html,49,https://xl.16888.com/level-3-202007-202007-1.html
2020-06,1084,256,https://xl.16888.com/style-202006-202006-1.html,3.42%,9,https://xl.16888.com/f/57329/history-202006-202006-1.html,53,https://xl.16888.com/level-3-202006-202006-1.html
2020-05,1597,224,https://xl.16888.com/style-202005-202005-1.html,5.59%,6,https://xl.16888.com/f/57329/history-202005-202005-1.html,45,https://xl.16888.com/level-3-202005-202005-1.html
2020-04,1564,205,https://xl.16888.com/style-202004-202004-1.html,5.03%,6,https://xl.16888.com/f/57329/history-202004-202004-1.html,45,https://xl.16888.com/level-3-202004-202004-1.html
2020-03,1531,165,https://xl.16888.com/style-202003-202003-1.html,5.32%,5,https://xl.16888.com/f/57329/history-202003-202003-1.html,40,https://xl.16888.com/level-3-202003-202003-1.html
2020-02,688,97,https://xl.16888.com/style-202002-202002-1.html,13.24%,3,https://xl.16888.com/f/57329/history-202002-202002-1.html,26,https://xl.16888.com/level-3-202002-202002-1.html
2020-01,3587,133,https://xl.16888.com/style-202001-202001-1.html,13.96%,2,https://xl.16888.com/f/57329/history-202001-202001-1.html,37,https://xl.16888.com/level-3-202001-202001-1.html
2019-12,3776,161,https://xl.16888.com/style-201912-201912-1.html,9.64%,2,https://xl.16888.com/f/57329/history-201912-201912-1.html,46,https://xl.16888.com/level-3-201912-201912-1.html
2019-11,3683,156,https://xl.16888.com/style-201911-201911-1.html,9.17%,2,https://xl.16888.com/f/57329/history-201911-201911-1.html,43,https://xl.16888.com/level-3-201911-201911-1.html
