月份,月销量,月销量排名,月销量排名链接,占厂商份额,在厂商排名,厂商所有车型当月销量链接,在紧凑车排名,所有紧凑车当月销量链接
2021-11,28151,7,https://xl.16888.com/style-202111-202111-1.html,28.95%,1,https://xl.16888.com/f/57329/history-202111-202111-1.html,4,https://xl.16888.com/level-3-202111-202111-1.html
2021-10,25908,8,https://xl.16888.com/style-202110-202110-1.html,29.14%,1,https://xl.16888.com/f/57329/history-202110-202110-1.html,4,https://xl.16888.com/level-3-202110-202110-1.html
2021-09,23560,668,https://xl.16888.com/style-202109-202109-1.html,29.81%,1,https://xl.16888.com/f/57329/history-202109-202109-1.html,112,https://xl.16888.com/level-3-202109-202109-1.html
2021-08,20676,8,https://xl.16888.com/style-202108-202108-1.html,32.90%,1,https://xl.16888.com/f/57329/history-202108-202108-1.html,4,https://xl.16888.com/level-3-202108-202108-1.html
2021-07,16753,--,https://xl.16888.com/style-202107-202107-1.html,0.00%,1,https://xl.16888.com/f/57329/history-202107-202107-1.html,111,https://xl.16888.com/level-3-202107-202107-1.html
2021-06,13541,21,https://xl.16888.com/style-202106-202106-1.html,27.21%,1,https://xl.16888.com/f/57329/history-202106-202106-1.html,7,https://xl.16888.com/level-3-202106-202106-1.html
2021-05,8805,52,https://xl.16888.com/style-202105-202105-1.html,19.49%,2,https://xl.16888.com/f/57329/history-202105-202105-1.html,13,https://xl.16888.com/level-3-202105-202105-1.html
2021-04,5654,89,https://xl.16888.com/style-202104-202104-1.html,12.68%,3,https://xl.16888.com/f/57329/history-202104-202104-1.html,21,https://xl.16888.com/level-3-202104-202104-1.html
2021-03,2903,154,https://xl.16888.com/style-202103-202103-1.html,7.81%,4,https://xl.16888.com/f/57329/history-202103-202103-1.html,30,https://xl.16888.com/level-3-202103-202103-1.html
2021-02,626,246,https://xl.16888.com/style-202102-202102-1.html,3.21%,8,https://xl.16888.com/f/57329/history-202102-202102-1.html,44,https://xl.16888.com/level-3-202102-202102-1.html
2021-01,1491,233,https://xl.16888.com/style-202101-202101-1.html,3.54%,6,https://xl.16888.com/f/57329/history-202101-202101-1.html,40,https://xl.16888.com/level-3-202101-202101-1.html
2020-12,1472,279,https://xl.16888.com/style-202012-202012-1.html,2.67%,9,https://xl.16888.com/f/57329/history-202012-202012-1.html,55,https://xl.16888.com/level-3-202012-202012-1.html
2020-11,1909,240,https://xl.16888.com/style-202011-202011-1.html,3.62%,8,https://xl.16888.com/f/57329/history-202011-202011-1.html,48,https://xl.16888.com/level-3-202011-202011-1.html
2020-10,1525,254,https://xl.16888.com/style-202010-202010-1.html,3.28%,9,https://xl.16888.com/f/57329/history-202010-202010-1.html,50,https://xl.16888.com/level-3-202010-202010-1.html
2020-09,2386,195,https://xl.16888.com/style-202009-202009-1.html,5.83%,6,https://xl.16888.com/f/57329/history-202009-202009-1.html,42,https://xl.16888.com/level-3-202009-202009-1.html
2020-08,845,283,https://xl.16888.com/style-202008-202008-1.html,2.81%,14,https://xl.16888.com/f/57329/history-202008-202008-1.html,52,https://xl.16888.com/level-3-202008-202008-1.html
2020-07,723,297,https://xl.16888.com/style-202007-202007-1.html,2.59%,12,https://xl.16888.com/f/57329/history-202007-202007-1.html,55,https://xl.16888.com/level-3-202007-202007-1.html
2020-06,924,276,https://xl.16888.com/style-202006-202006-1.html,2.91%,11,https://xl.16888.com/f/57329/history-202006-202006-1.html,54,https://xl.16888.com/level-3-202006-202006-1.html
2020-05,604,302,https://xl.16888.com/style-202005-202005-1.html,2.12%,11,https://xl.16888.com/f/57329/history-202005-202005-1.html,56,https://xl.16888.com/level-3-202005-202005-1.html
2020-04,510,303,https://xl.16888.com/style-202004-202004-1.html,1.64%,11,https://xl.16888.com/f/57329/history-202004-202004-1.html,60,https://xl.16888.com/level-3-202004-202004-1.html
2020-03,618,256,https://xl.16888.com/style-202003-202003-1.html,2.15%,11,https://xl.16888.com/f/57329/history-202003-202003-1.html,53,https://xl.16888.com/level-3-202003-202003-1.html
2020-02,217,198,https://xl.16888.com/style-202002-202002-1.html,4.18%,8,https://xl.16888.com/f/57329/history-202002-202002-1.html,46,https://xl.16888.com/level-3-202002-202002-1.html
2020-01,705,284,https://xl.16888.com/style-202001-202001-1.html,2.74%,10,https://xl.16888.com/f/57329/history-202001-202001-1.html,62,https://xl.16888.com/level-3-202001-202001-1.html
2019-12,2002,229,https://xl.16888.com/style-201912-201912-1.html,5.11%,5,https://xl.16888.com/f/57329/history-201912-201912-1.html,55,https://xl.16888.com/level-3-201912-201912-1.html
2019-11,2733,187,https://xl.16888.com/style-201911-201911-1.html,6.80%,3,https://xl.16888.com/f/57329/history-201911-201911-1.html,45,https://xl.16888.com/level-3-201911-201911-1.html
2019-10,3761,153,https://xl.16888.com/style-201910-201910-1.html,9.01%,4,https://xl.16888.com/f/57329/history-201910-201910-1.html,--,https://xl.16888.com/level--201910-201910-1.html
2019-09,2150,210,https://xl.16888.com/style-201909-201909-1.html,5.39%,8,https://xl.16888.com/f/57329/history-201909-201909-1.html,--,https://xl.16888.com/level--201909-201909-1.html
2019-08,3635,146,https://xl.16888.com/style-201908-201908-1.html,10.43%,4,https://xl.16888.com/f/57329/history-201908-201908-1.html,--,https://xl.16888.com/level--201908-201908-1.html
2019-07,5071,90,https://xl.16888.com/style-201907-201907-1.html,18.20%,2,https://xl.16888.com/f/57329/history-201907-201907-1.html,--,https://xl.16888.com/level--201907-201907-1.html
2019-06,7397,67,https://xl.16888.com/style-201906-201906-1.html,19.86%,1,https://xl.16888.com/f/57329/history-201906-201906-1.html,--,https://xl.16888.com/level--201906-201906-1.html
2019-05,5253,92,https://xl.16888.com/style-201905-201905-1.html,16.46%,3,https://xl.16888.com/f/57329/history-201905-201905-1.html,--,https://xl.16888.com/level--201905-201905-1.html
2019-04,4556,115,https://xl.16888.com/style-201904-201904-1.html,13.05%,5,https://xl.16888.com/f/57329/history-201904-201904-1.html,--,https://xl.16888.com/level--201904-201904-1.html
2019-03,4590,130,https://xl.16888.com/style-201903-201903-1.html,10.34%,5,https://xl.16888.com/f/57329/history-201903-201903-1.html,--,https://xl.16888.com/level--201903-201903-1.html
2019-02,3081,125,https://xl.16888.com/style-201902-201902-1.html,11.67%,5,https://xl.16888.com/f/57329/history-201902-201902-1.html,--,https://xl.16888.com/level--201902-201902-1.html
2019-01,5543,117,https://xl.16888.com/style-201901-201901-1.html,12.81%,3,https://xl.16888.com/f/57329/history-201901-201901-1.html,--,https://xl.16888.com/level--201901-201901-1.html
2018-12,8615,83,https://xl.16888.com/style-201812-201812-1.html,14.36%,2,https://xl.16888.com/f/57329/history-201812-201812-1.html,--,https://xl.16888.com/level--201812-201812-1.html
2018-11,7456,91,https://xl.16888.com/style-201811-201811-1.html,15.02%,2,https://xl.16888.com/f/57329/history-201811-201811-1.html,--,https://xl.16888.com/level--201811-201811-1.html
2018-10,7226,85,https://xl.16888.com/style-201810-201810-1.html,15.41%,2,https://xl.16888.com/f/57329/history-201810-201810-1.html,--,https://xl.16888.com/level--201810-201810-1.html
2018-09,6076,97,https://xl.16888.com/style-201809-201809-1.html,13.49%,2,https://xl.16888.com/f/57329/history-201809-201809-1.html,--,https://xl.16888.com/level--201809-201809-1.html
2018-08,4916,101,https://xl.16888.com/style-201808-201808-1.html,12.03%,4,https://xl.16888.com/f/57329/history-201808-201808-1.html,--,https://xl.16888.com/level--201808-201808-1.html
