月份,月销量,月销量排名,月销量排名链接,占厂商份额,在厂商排名,厂商所有车型当月销量链接,在紧凑车排名,所有紧凑车当月销量链接
2021-11,1898,243,https://xl.16888.com/style-202111-202111-1.html,1.95%,9,https://xl.16888.com/f/57329/history-202111-202111-1.html,50,https://xl.16888.com/level-3-202111-202111-1.html
2021-10,1817,230,https://xl.16888.com/style-202110-202110-1.html,2.04%,9,https://xl.16888.com/f/57329/history-202110-202110-1.html,44,https://xl.16888.com/level-3-202110-202110-1.html
2021-09,1428,239,https://xl.16888.com/style-202109-202109-1.html,1.81%,10,https://xl.16888.com/f/57329/history-202109-202109-1.html,48,https://xl.16888.com/level-3-202109-202109-1.html
2021-08,1708,198,https://xl.16888.com/style-202108-202108-1.html,2.72%,8,https://xl.16888.com/f/57329/history-202108-202108-1.html,42,https://xl.16888.com/level-3-202108-202108-1.html
2021-07,2279,170,https://xl.16888.com/style-202107-202107-1.html,4.00%,8,https://xl.16888.com/f/57329/history-202107-202107-1.html,40,https://xl.16888.com/level-3-202107-202107-1.html
2021-06,1968,193,https://xl.16888.com/style-202106-202106-1.html,3.95%,8,https://xl.16888.com/f/57329/history-202106-202106-1.html,38,https://xl.16888.com/level-3-202106-202106-1.html
2021-05,1470,220,https://xl.16888.com/style-202105-202105-1.html,3.25%,9,https://xl.16888.com/f/57329/history-202105-202105-1.html,40,https://xl.16888.com/level-3-202105-202105-1.html
2021-04,1085,258,https://xl.16888.com/style-202104-202104-1.html,2.43%,9,https://xl.16888.com/f/57329/history-202104-202104-1.html,45,https://xl.16888.com/level-3-202104-202104-1.html
2021-03,1715,210,https://xl.16888.com/style-202103-202103-1.html,4.61%,7,https://xl.16888.com/f/57329/history-202103-202103-1.html,37,https://xl.16888.com/level-3-202103-202103-1.html
2021-02,1196,178,https://xl.16888.com/style-202102-202102-1.html,6.12%,5,https://xl.16888.com/f/57329/history-202102-202102-1.html,35,https://xl.16888.com/level-3-202102-202102-1.html
2021-01,1559,224,https://xl.16888.com/style-202101-202101-1.html,3.70%,5,https://xl.16888.com/f/57329/history-202101-202101-1.html,39,https://xl.16888.com/level-3-202101-202101-1.html
2020-12,4446,142,https://xl.16888.com/style-202012-202012-1.html,8.07%,3,https://xl.16888.com/f/57329/history-202012-202012-1.html,33,https://xl.16888.com/level-3-202012-202012-1.html
2020-11,4955,122,https://xl.16888.com/style-202011-202011-1.html,9.38%,3,https://xl.16888.com/f/57329/history-202011-202011-1.html,29,https://xl.16888.com/level-3-202011-202011-1.html
2020-10,4535,125,https://xl.16888.com/style-202010-202010-1.html,9.74%,3,https://xl.16888.com/f/57329/history-202010-202010-1.html,30,https://xl.16888.com/level-3-202010-202010-1.html
2020-09,4095,125,https://xl.16888.com/style-202009-202009-1.html,10.01%,3,https://xl.16888.com/f/57329/history-202009-202009-1.html,32,https://xl.16888.com/level-3-202009-202009-1.html
2020-08,3029,147,https://xl.16888.com/style-202008-202008-1.html,10.09%,4,https://xl.16888.com/f/57329/history-202008-202008-1.html,33,https://xl.16888.com/level-3-202008-202008-1.html
2020-07,3988,113,https://xl.16888.com/style-202007-202007-1.html,14.30%,2,https://xl.16888.com/f/57329/history-202007-202007-1.html,28,https://xl.16888.com/level-3-202007-202007-1.html
2020-06,4883,104,https://xl.16888.com/style-202006-202006-1.html,15.39%,2,https://xl.16888.com/f/57329/history-202006-202006-1.html,26,https://xl.16888.com/level-3-202006-202006-1.html
2020-05,3532,130,https://xl.16888.com/style-202005-202005-1.html,12.37%,2,https://xl.16888.com/f/57329/history-202005-202005-1.html,33,https://xl.16888.com/level-3-202005-202005-1.html
2020-04,5632,81,https://xl.16888.com/style-202004-202004-1.html,18.12%,2,https://xl.16888.com/f/57329/history-202004-202004-1.html,21,https://xl.16888.com/level-3-202004-202004-1.html
2020-03,5683,50,https://xl.16888.com/style-202003-202003-1.html,19.76%,2,https://xl.16888.com/f/57329/history-202003-202003-1.html,14,https://xl.16888.com/level-3-202003-202003-1.html
2020-02,1531,43,https://xl.16888.com/style-202002-202002-1.html,29.46%,1,https://xl.16888.com/f/57329/history-202002-202002-1.html,10,https://xl.16888.com/level-3-202002-202002-1.html
2020-01,1690,195,https://xl.16888.com/style-202001-202001-1.html,6.57%,3,https://xl.16888.com/f/57329/history-202001-202001-1.html,48,https://xl.16888.com/level-3-202001-202001-1.html
2019-12,1669,252,https://xl.16888.com/style-201912-201912-1.html,4.26%,7,https://xl.16888.com/f/57329/history-201912-201912-1.html,60,https://xl.16888.com/level-3-201912-201912-1.html
2019-11,1622,240,https://xl.16888.com/style-201911-201911-1.html,4.04%,7,https://xl.16888.com/f/57329/history-201911-201911-1.html,58,https://xl.16888.com/level-3-201911-201911-1.html
