time,total_sales,portion,portion_rank
2021-11,97242,4.49%,4
2021-10,88898,4.53%,3
2021-09,79037,4.61%,4
2021-08,62848,4.13%,7
2021-07,56975,3.66%,10
2021-06,49765,3.01%,17
2021-05,45176,2.59%,17
2021-04,44606,2.56%,17
2021-03,37189,1.88%,19
2021-02,19529,1.59%,19
2021-01,42094,2.2%,18
2020-12,55075,2.45%,17
2020-11,52806,2.31%,19
2020-10,46560,2.22%,19
2020-09,40905,2%,20
2020-08,30024,1.73%,19
2020-07,27890,1.69%,19
2020-06,31738,1.87%,18
2020-05,28546,1.72%,19
2020-04,31076,2%,18
2020-03,28758,2.83%,14
2020-02,5197,2.4%,15
2020-01,25704,1.61%,20
2019-12,39164,1.78%,20
2019-11,40167,1.96%,18
2019-10,41759,2.16%,19
2019-09,39893,2.06%,19
2019-08,34840,2.09%,19
2019-07,27869,1.81%,20
2019-06,37254,2.17%,18
2019-05,31905,1.98%,19
2019-04,34912,2.21%,17
2019-03,44378,2.21%,19
2019-02,26409,2.13%,20
2019-01,43257,2.11%,18
2018-12,59997,2.68%,12
2018-11,49645,2.28%,18
2018-10,46896,2.32%,17
2018-09,45029,2.26%,17
2018-08,40853,2.34%,15
2018-07,36725,2.34%,16
2018-06,36767,2.06%,18
2018-05,36927,1.99%,20
2018-04,36550,1.94%,21
2018-03,42328,1.96%,18
2018-02,26152,1.8%,20
2018-01,42159,1.73%,22
2017-12,51215,1.92%,18
2017-11,45596,1.77%,19
2017-10,35093,1.51%,21
